ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
182,402,285990,6212,285990
182,402,286990,6212,286990
182,402,287460,6212,287460
183,404,287930,6212,287930
183,404,288740,6212,288740
184,406,289330,6212,289330
184,406,289800,6212,289800
185,408,290800,6212,290800
185,408,291030,6212,291030
185,408,291350,6212,291350
185,408,292350,6212,292350
186,410,293350,6212,293350
186,410,294350,6212,294350
187,412,295160,6212,295160
188,420,295160,6212,295160
189,422,296160,6212,296160
189,422,296630,6212,296630
189,422,296950,6212,296950
189,422,297950,6212,297950
189,422,298270,6212,298270
189,422,298820,6212,298820
189,422,298820,6212,298820
190,424,299290,6212,299290
190,424,299520,6212,299520
191,426,299990,6212,299990
191,426,299990,6212,299990
191,426,300800,6212,300800
191,426,300800,6212,300800
191,426,301030,6212,301030
192,428,301500,6212,301500
192,428,301970,6212,301970
192,428,302780,6212,302780
193,430,303780,6212,303780
193,430,304590,6212,304590
194,432,305400,6212,305400
194,432,305400,6212,305400
194,432,305400,6212,305400
194,432,305630,6212,305630
194,432,306630,6212,306630
195,434,307630,6212,307630
195,434,308100,6212,308100
195,434,308570,6212,308570
196,436,309570,6212,309570
196,436,310570,6212,310570
197,438,311570,6212,311570
198,440,312040,6212,312040
199,442,312510,6212,312510
199,442,312510,6212,312510
199,442,313320,6212,313320
199,442,314320,6212,314320
199,442,315130,6212,315130
200,444,316130,6212,316130
201,446,316780,6212,316780
201,446,317250,6212,317250
201,446,317480,6212,317480
201,446,317800,6212,317800
201,446,318120,6212,318120
201,446,318930,6212,318930
202,448,319740,6212,319740
202,448,320210,6212,320210
203,450,320760,6212,320760
203,450,321760,6212,321760
203,450,322410,6212,322410
203,450,322410,6212,322410
204,452,323410,6212,323410
204,452,324410,6212,324410
204,452,325410,6212,325410
204,452,325730,6212,325730
205,454,326280,6212,326280
205,454,326280,6212,326280
205,454,327090,6212,327090
205,454,327410,6212,327410
205,454,327880,6212,327880
206,456,328350,6212,328350
207,458,329000,6212,329000
208,460,330000,6212,330000
208,460,331000,6212,331000
209,462,332000,6212,332000
209,462,332590,6212,332590
209,462,333240,6212,333240
210,464,333710,6212,333710
211,466,334710,6212,334710
211,466,335030,6212,335030
211,466,335030,6212,335030
211,466,336030,6212,336030
211,466,336030,6212,336030
212,474,336030,6212,336030
212,474,337030,6212,337030
213,476,338030,6212,338030
213,476,339030,6212,339030
213,476,339030,6212,339030
213,476,339840,6212,339840
214,478,340650,6212,340650
215,480,341650,6212,341650
215,480,342120,6212,342120
215,480,342930,6212,342930
215,480,343150,6212,343150
216,482,343800,6212,343800
216,482,343800,6212,343800
216,482,344800,6212,344800
216,482,345130,6212,345130
216,482,345940,6212,345940
217,484,346750,6212,346750
217,484,347400,6212,347400
217,484,347720,6212,347720
218,486,348370,6212,348370
219,488,349370,6212,349370
219,488,349840,6212,349840
220,490,350650,6212,350650
220,490,350880,6212,350880
220,490,351880,6212,351880
220,490,351880,6212,351880
220,490,352110,6212,352110
220,490,352340,6212,352340
220,490,352810,6212,352810
220,490,352810,6212,352810
220,490,353620,6212,353620
221,492,354620,6212,354620
222,494,355430,6212,355430
222,494,356430,6212,356430
223,496,357430,6212,357430
223,496,358240,6212,358240
223,496,358240,6212,358240
223,496,358240,6212,358240
224,498,358700,6212,358700
224,498,358700,6212,358700
224,498,358700,6212,358700
224,498,359290,6212,359290
225,506,367290,6212,367290
226,508,367940,6212,367940
226,508,368410,6212,368410
226,508,369220,6212,369220
227,510,370030,6212,370030
227,510,370840,6212,370840
227,510,371840,6212,371840
227,510,372160,6212,372160
228,512,373160,6212,373160
228,512,373390,6212,373390
229,514,374200,6212,374200
229,514,374200,6212,374200
229,514,375010,6212,375010
230,516,375820,6212,375820
230,516,376630,6212,376630
231,518,377100,6212,377100
231,518,377100,6212,377100
232,520,377570,6212,377570
232,520,378040,6212,378040
232,520,379040,6212,379040
232,520,379040,6212,379040
232,520,379150,6212,379150
232,520,379150,6212,379150
233,522,380150,6212,380150
233,522,380150,6212,380150
234,524,381150,6212,381150
234,524,381470,6212,381470
234,524,381470,6212,381470
234,524,381470,6212,381470
234,524,382470,6212,382470
234,524,383280,6212,383280
235,526,383750,6212,383750
235,526,383860,6212,383860
235,526,384670,6212,384670
235,526,385140,6212,385140
235,526,385950,6212,385950
236,528,386420,6212,386420
236,528,386890,6212,386890
236,528,387360,6212,387360
236,528,387360,6212,387360
236,528,387360,6212,387360
237,530,388170,6212,388170
237,530,388640,6212,388640
237,530,389110,6212,389110
238,532,389920,6212,389920
238,532,390730,6212,390730
239,540,390730,6212,390730
240,542,391200,6212,391200
240,542,391670,6212,391670
240,542,392480,6212,392480
241,544,393290,6212,393290
241,544,394290,6212,394290
241,544,395100,6212,395100
242,546,396100,6212,396100
242,546,397100,6212,397100
243,548,397910,6212,397910
244,550,398910,6212,398910
244,550,399720,6212,399720
245,552,400530,6212,400530
245,552,401530,6212,401530
246,554,402530,6212,402530
246,554,403010,6212,403010
246,554,404010,6212,404010
246,554,404820,6212,404820
247,556,405820,6212,405820
248,558,406630,6212,406630
248,558,406630,6212,406630
248,558,407100,6212,407100
248,558,407570,6212,407570
249,562,411570,6212,411570
249,562,411890,6212,411890
249,562,412890,6212,412890
250,564,413360,6212,413360
250,564,414170,6212,414170
250,564,414640,6212,414640
250,564,414640,6212,414640
251,566,415110,6212,415110
252,568,416110,6212,416110
252,568,416920,6212,416920
252,568,416920,6212,416920
252,568,417150,6212,417150
252,568,417150,6212,417150
252,568,418150,6212,418150
252,568,418150,6212,418150
252,568,418620,6212,418620
253,570,419090,6212,419090
254,572,419560,6212,419560
255,574,420560,6212,420560
255,574,421560,6212,421560
256,576,422560,6212,422560
256,576,422560,6212,422560
256,576,422890,6212,422890
256,576,423890,6212,423890
256,576,424540,6212,424540
256,576,425350,6212,425350
257,578,426350,6212,426350
258,580,427160,6212,427160
258,580,428160,6212,428160
258,580,428970,6212,428970
258,580,429200,6212,429200
258,580,429200,6212,429200
259,588,429200,6212,429200
259,588,429670,6212,429670
260,590,430480,6212,430480
260,590,430800,6212,430800
260,590,431270,6212,431270
261,592,432270,6212,432270
261,592,433270,6212,433270
262,594,434080,6212,434080
263,596,435080,6212,435080
263,596,435890,6212,435890
264,598,436480,6212,436480
264,598,437480,6212,437480
264,598,437950,6212,437950
264,598,438270,6212,438270
264,598,438740,6212,438740
264,598,439210,6212,439210
265,600,439800,6212,439800
266,602,440800,6212,440800
266,602,440800,6212,440800
266,602,441800,6212,441800
266,602,442270,6212,442270
266,602,442740,6212,442740
267,604,443210,6212,443210
268,606,443860,6212,443860
268,606,444670,6212,444670
268,606,445320,6212,445320
268,606,445690,6212,445690
269,608,446160,6212,446160
270,610,446630,6212,446630
270,610,447440,6212,447440
270,610,447900,6212,447900
270,610,448710,6212,448710
271,612,449360,6212,449360
272,614,450360,6212,450360
272,614,451170,6212,451170
272,614,451540,6212,451540
273,616,452540,6212,452540
274,618,453540,6212,453540
274,618,453540,6212,453540
275,620,454350,6212,454350
276,622,455350,6212,455350
276,622,455670,6212,455670
276,622,456320,6212,456320
277,624,456790,6212,456790
277,624,457380,6212,457380
277,624,457540,6212,457540
278,626,458350,6212,458350
278,626,459350,6212,459350
278,626,460160,6212,460160
279,628,461160,6212,461160
279,628,461160,6212,461160
279,628,461630,6212,461630
280,630,462100,6212,462100
280,630,463100,6212,463100
280,630,463570,6212,463570
280,630,463800,6212,463800
280,630,464120,6212,464120
281,632,464590,6212,464590
281,632,465400,6212,465400
282,634,466210,6212,466210
282,634,466210,6212,466210
282,634,466210,6212,466210
282,634,467020,6212,467020
283,636,467570,6212,467570
283,636,468030,6212,468030
284,638,469030,6212,469030
284,638,469500,6212,469500
285,646,469500,6212,469500
286,648,470310,6212,470310
286,648,470310,6212,470310
286,648,470780,6212,470780
286,648,470780,6212,470780
286,648,471430,6212,471430
287,650,472430,6212,472430
288,652,472890,6212,472890
288,652,473360,6212,473360
288,652,473830,6212,473830
289,654,474640,6212,474640
289,654,475450,6212,475450
290,656,476260,6212,476260
290,656,477070,6212,477070
290,656,477390,6212,477390
290,656,477710,6212,477710
291,658,478520,6212,478520
291,658,478990,6212,478990
292,660,479540,6212,479540
292,660,480540,6212,480540
292,660,481350,6212,481350
292,660,481670,6212,481670
292,660,481670,6212,481670
293,662,482670,6212,482670
294,664,483670,6212,483670
294,664,484130,6212,484130
295,666,484600,6212,484600
295,666,485410,6212,485410
295,666,485730,6212,485730
295,666,486730,6212,486730
295,666,486730,6212,486730
295,666,487200,6212,487200
296,668,488200,6212,488200
297,670,489010,6212,489010
297,670,490010,6212,490010
297,670,490820,6212,490820
298,672,491290,6212,491290
298,672,491760,6212,491760
298,672,492080,6212,492080
299,674,493080,6212,493080
300,682,493080,6212,493080
301,684,494080,6212,494080
301,684,494540,6212,494540
301,684,495540,6212,495540
302,686,496350,6212,496350
302,686,497160,6212,497160
302,686,497630,6212,497630
302,686,497790,6212,497790
303,688,498260,6212,498260
304,690,498720,6212,498720
304,690,499370,6212,499370
304,690,500180,6212,500180
304,690,500180,6212,500180
305,692,500990,6212,500990
305,692,501310,6212,501310
305,692,501770,6212,501770
306,694,502770,6212,502770
306,694,503240,6212,503240
306,694,503240,6212,503240
306,694,503240,6212,503240
306,694,503710,6212,503710
307,696,504300,6212,504300
307,696,505300,6212,505300
308,698,506300,6212,506300
308,698,506760,6212,506760
308,698,507080,6212,507080
309,700,508080,6212,508080
310,702,508890,6212,508890
311,704,509890,6212,509890
311,704,510890,6212,510890
311,704,511700,6212,511700
311,704,512170,6212,512170
312,706,512640,6212,512640
312,706,513110,6212,513110
312,706,513340,6212,513340
312,706,514340,6212,514340
312,706,514660,6212,514660
312,706,514660,6212,514660
312,706,514660,6212,514660
312,706,514660,6212,514660
312,706,515660,6212,515660
313,708,516470,6212,516470
313,708,517280,6212,517280
314,710,518280,6212,518280
314,710,518750,6212,518750
315,712,519220,6212,519220
315,712,519690,6212,519690
315,712,519690,6212,519690
315,712,520500,6212,520500
316,714,521310,6212,521310
316,714,522310,6212,522310
316,714,522780,6212,522780
317,716,523780,6212,523780
318,718,524780,6212,524780
318,718,525780,6212,525780
318,718,526250,6212,526250
318,718,527250,6212,527250
319,722,527250,6212,527250
320,730,527250,6212,527250
321,732,528060,6212,528060
321,732,528530,6212,528530
321,732,528800,6212,528800
322,734,529610,6212,529610
322,734,530080,6212,530080
322,734,530080,6212,530080
322,734,530310,6212,530310
323,736,531310,6212,531310
323,736,532310,6212,532310
323,736,532780,6212,532780
324,738,533590,6212,533590
324,738,534590,6212,534590
324,738,535050,6212,535050
325,740,535860,6212,535860
326,742,536860,6212,536860
326,742,537510,6212,537510
326,742,537980,6212,537980
326,742,538980,6212,538980
327,744,539790,6212,539790
327,744,540790,6212,540790
327,744,541600,6212,541600
328,746,542070,6212,542070
328,746,542720,6212,542720
328,746,542950,6212,542950
329,748,543760,6212,543760
329,748,544570,6212,544570
329,748,544890,6212,544890
330,750,545700,6212,545700
330,750,545920,6212,545920
330,750,546730,6212,546730
331,752,547730,6212,547730
331,752,548200,6212,548200
332,754,548430,6212,548430
333,756,549430,6212,549430
333,756,549430,6212,549430
333,756,549750,6212,549750
333,756,550220,6212,550220
333,756,551220,6212,551220
