ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
90,206,126240,6212,126240
90,206,126240,6212,126240
91,208,127240,6212,127240
92,210,128240,6212,128240
93,212,128710,6212,128710
94,214,129710,6212,129710
94,214,129710,6212,129710
94,214,129710,6212,129710
94,214,129710,6212,129710
95,222,129710,6212,129710
95,222,129710,6212,129710
95,222,130710,6212,130710
95,222,131520,6212,131520
95,222,131980,6212,131980
96,224,132980,6212,132980
97,226,133790,6212,133790
97,226,134790,6212,134790
97,226,135600,6212,135600
97,226,135600,6212,135600
98,228,136070,6212,136070
98,228,136390,6212,136390
98,228,136850,6212,136850
98,228,137850,6212,137850
99,230,138850,6212,138850
99,230,138850,6212,138850
99,230,138850,6212,138850
99,230,138850,6212,138850
99,230,138850,6212,138850
100,232,139660,6212,139660
100,232,139890,6212,139890
100,232,140890,6212,140890
101,234,141890,6212,141890
101,234,141890,6212,141890
102,236,142700,6212,142700
102,236,142930,6212,142930
102,236,142930,6212,142930
102,236,143520,6212,143520
102,236,144520,6212,144520
103,238,145520,6212,145520
103,238,145520,6212,145520
103,238,146520,6212,146520
103,238,146990,6212,146990
103,238,147310,6212,147310
104,246,147310,6212,147310
104,246,147780,6212,147780
104,246,148780,6212,148780
105,248,149590,6212,149590
105,248,149590,6212,149590
105,248,149910,6212,149910
105,248,149910,6212,149910
105,248,150380,6212,150380
106,250,150930,6212,150930
106,250,151400,6212,151400
107,252,152210,6212,152210
107,252,152530,6212,152530
108,254,153530,6212,153530
108,254,154530,6212,154530
109,256,155530,6212,155530
109,256,155530,6212,155530
109,256,156180,6212,156180
109,256,156180,6212,156180
110,258,157180,6212,157180
110,258,158180,6212,158180
110,258,159180,6212,159180
111,260,159990,6212,159990
112,268,159990,6212,159990
112,268,160460,6212,160460
112,268,160460,6212,160460
113,270,161460,6212,161460
113,270,162460,6212,162460
113,270,162460,6212,162460
114,272,163460,6212,163460
114,272,164460,6212,164460
115,274,165460,6212,165460
115,274,166460,6212,166460
115,274,166460,6212,166460
115,274,166460,6212,166460
116,276,167460,6212,167460
117,278,168460,6212,168460
118,280,169460,6212,169460
119,282,170460,6212,170460
119,282,171460,6212,171460
119,282,171570,6212,171570
119,282,172220,6212,172220
119,282,172540,6212,172540
119,282,173540,6212,173540
119,282,173540,6212,173540
120,284,174540,6212,174540
120,284,174540,6212,174540
120,284,174770,6212,174770
121,286,175580,6212,175580
121,286,176050,6212,176050
121,286,177050,6212,177050
121,286,178050,6212,178050
122,288,178700,6212,178700
122,288,178700,6212,178700
122,288,179170,6212,179170
122,288,180170,6212,180170
122,288,180820,6212,180820
123,290,181290,6212,181290
124,292,181760,6212,181760
124,292,181760,6212,181760
124,292,182230,6212,182230
124,292,182700,6212,182700
125,294,183700,6212,183700
125,294,184700,6212,184700
126,296,185700,6212,185700
127,298,186700,6212,186700
127,298,186700,6212,186700
127,298,186700,6212,186700
127,298,187700,6212,187700
127,298,187700,6212,187700
127,298,187700,6212,187700
127,298,188510,6212,188510
128,300,189510,6212,189510
128,300,190510,6212,190510
129,302,191510,6212,191510
129,302,192510,6212,192510
130,304,193320,6212,193320
131,306,194320,6212,194320
131,306,195320,6212,195320
132,308,196320,6212,196320
132,308,197320,6212,197320
132,308,197320,6212,197320
132,308,197640,6212,197640
132,308,197640,6212,197640
133,310,198640,6212,198640
134,312,199640,6212,199640
134,312,200640,6212,200640
135,314,201640,6212,201640
135,314,202290,6212,202290
136,322,202290,6212,202290
136,322,202290,6212,202290
137,324,203100,6212,203100
137,324,203100,6212,203100
137,324,204100,6212,204100
137,324,204910,6212,204910
138,326,205720,6212,205720
139,328,206720,6212,206720
139,328,207190,6212,207190
139,328,208190,6212,208190
140,330,209000,6212,209000
140,330,210000,6212,210000
141,332,211000,6212,211000
141,332,211810,6212,211810
141,332,212810,6212,212810
141,332,212810,6212,212810
142,334,213620,6212,213620
143,336,214620,6212,214620
143,336,214940,6212,214940
143,336,215940,6212,215940
144,338,216940,6212,216940
144,338,217310,6212,217310
144,338,218310,6212,218310
145,340,219310,6212,219310
145,340,220310,6212,220310
146,342,221310,6212,221310
146,342,222310,6212,222310
147,350,230310,6212,230310
147,350,230310,6212,230310
148,352,231310,6212,231310
148,352,231310,6212,231310
148,352,232310,6212,232310
149,354,233310,6212,233310
149,354,233310,6212,233310
149,354,233310,6212,233310
149,354,234120,6212,234120
149,354,234120,6212,234120
149,354,234120,6212,234120
149,354,235120,6212,235120
150,356,235930,6212,235930
150,356,235930,6212,235930
151,358,236930,6212,236930
151,358,237740,6212,237740
151,358,238740,6212,238740
152,360,239550,6212,239550
153,362,240550,6212,240550
153,362,241020,6212,241020
154,364,243020,6212,243020
154,364,243020,6212,243020
154,364,243020,6212,243020
155,366,243830,6212,243830
155,366,244300,6212,244300
155,366,244410,6212,244410
155,366,245410,6212,245410
155,366,246220,6212,246220
156,368,247220,6212,247220
156,368,247220,6212,247220
156,368,247220,6212,247220
156,368,247440,6212,247440
157,370,248090,6212,248090
158,372,249090,6212,249090
158,372,249900,6212,249900
159,374,250370,6212,250370
159,374,250370,6212,250370
159,374,251370,6212,251370
160,382,251370,6212,251370
160,382,251370,6212,251370
161,384,252370,6212,252370
161,384,252370,6212,252370
161,384,252370,6212,252370
162,386,253370,6212,253370
162,386,254370,6212,254370
162,386,254690,6212,254690
162,386,255500,6212,255500
163,388,256500,6212,256500
163,388,257500,6212,257500
164,390,258500,6212,258500
164,390,259500,6212,259500
165,392,260500,6212,260500
165,392,260500,6212,260500
165,392,260500,6212,260500
165,392,260970,6212,260970
166,394,261780,6212,261780
167,396,262780,6212,262780
168,398,263780,6212,263780
168,398,264430,6212,264430
168,398,265430,6212,265430
168,398,265430,6212,265430
168,398,265750,6212,265750
169,400,266750,6212,266750
169,400,266750,6212,266750
170,402,267340,6212,267340
170,402,268340,6212,268340
170,402,269340,6212,269340
170,402,269340,6212,269340
170,402,269340,6212,269340
170,402,269340,6212,269340
170,402,270340,6212,270340
170,402,270340,6212,270340
170,402,271340,6212,271340
171,410,279340,6212,279340
171,410,279810,6212,279810
172,412,280810,6212,280810
172,412,281810,6212,281810
172,412,282280,6212,282280
173,420,282280,6212,282280
174,422,283280,6212,283280
174,422,284280,6212,284280
175,424,285280,6212,285280
176,426,287280,6212,287280
177,428,288090,6212,288090
177,428,289090,6212,289090
178,430,290090,6212,290090
178,430,290900,6212,290900
178,430,290900,6212,290900
178,430,291900,6212,291900
179,432,292900,6212,292900
179,432,292900,6212,292900
179,432,293900,6212,293900
180,434,294710,6212,294710
180,434,294710,6212,294710
180,434,294710,6212,294710
180,434,295360,6212,295360
181,436,296170,6212,296170
181,436,296980,6212,296980
182,438,297450,6212,297450
183,440,298450,6212,298450
183,440,298450,6212,298450
183,440,299450,6212,299450
184,442,300450,6212,300450
184,442,300450,6212,300450
184,442,301450,6212,301450
184,442,301450,6212,301450
184,442,302450,6212,302450
185,444,303100,6212,303100
186,446,304100,6212,304100
186,446,304420,6212,304420
186,446,304420,6212,304420
186,446,304890,6212,304890
186,446,304890,6212,304890
186,446,305890,6212,305890
186,446,306120,6212,306120
187,448,307120,6212,307120
187,448,307590,6212,307590
187,448,308400,6212,308400
188,450,308870,6212,308870
188,450,309870,6212,309870
188,450,310330,6212,310330
188,450,311140,6212,311140
189,452,312140,6212,312140
190,454,312610,6212,312610
190,454,313610,6212,313610
191,456,314610,6212,314610
191,456,315610,6212,315610
192,458,316610,6212,316610
192,458,316610,6212,316610
192,458,317080,6212,317080
192,458,318080,6212,318080
193,460,319080,6212,319080
193,460,319550,6212,319550
193,460,319550,6212,319550
194,462,320360,6212,320360
195,470,320360,6212,320360
195,470,320830,6212,320830
195,470,321830,6212,321830
196,472,322830,6212,322830
196,472,322830,6212,322830
196,472,323300,6212,323300
196,472,324300,6212,324300
196,472,324760,6212,324760
197,474,325760,6212,325760
198,476,326230,6212,326230
198,476,326230,6212,326230
198,476,327040,6212,327040
199,478,327850,6212,327850
199,478,328170,6212,328170
199,478,328820,6212,328820
199,478,328820,6212,328820
199,478,329140,6212,329140
199,478,330140,6212,330140
199,478,330140,6212,330140
200,480,331140,6212,331140
201,482,331730,6212,331730
201,482,332050,6212,332050
201,482,333050,6212,333050
202,484,334050,6212,334050
202,484,334050,6212,334050
202,484,334210,6212,334210
202,484,334430,6212,334430
202,484,334430,6212,334430
