ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
175,412,288790,6212,288790
175,412,289790,6212,289790
175,412,289900,6212,289900
175,412,290370,6212,290370
176,414,291370,6212,291370
177,422,299370,6212,299370
177,422,300020,6212,300020
178,424,300670,6212,300670
178,424,301670,6212,301670
179,428,302670,6212,302670
179,428,303320,6212,303320
180,432,304320,6212,304320
180,432,305130,6212,305130
180,432,305450,6212,305450
180,432,306450,6212,306450
180,432,306450,6212,306450
180,432,307450,6212,307450
180,432,308260,6212,308260
181,434,309260,6212,309260
181,434,310070,6212,310070
181,434,311070,6212,311070
181,434,311880,6212,311880
181,434,312350,6212,312350
181,434,313160,6212,313160
182,438,314160,6212,314160
182,438,315160,6212,315160
183,442,316160,6212,316160
183,442,317160,6212,317160
184,444,318160,6212,318160
184,444,319160,6212,319160
184,444,320160,6212,320160
184,444,321160,6212,321160
184,444,321390,6212,321390
185,448,322390,6212,322390
185,448,322390,6212,322390
185,448,322390,6212,322390
185,448,322390,6212,322390
185,448,323390,6212,323390
185,448,324200,6212,324200
186,452,325200,6212,325200
186,452,326010,6212,326010
186,452,327010,6212,327010
186,452,328010,6212,328010
187,456,329010,6212,329010
187,456,329470,6212,329470
187,456,329470,6212,329470
187,456,329790,6212,329790
187,456,330790,6212,330790
187,456,331380,6212,331380
187,456,332190,6212,332190
188,460,333190,6212,333190
188,460,333660,6212,333660
188,460,334660,6212,334660
189,464,335660,6212,335660
189,464,336660,6212,336660
189,464,337660,6212,337660
189,464,338660,6212,338660
189,464,339660,6212,339660
189,464,339660,6212,339660
190,468,340660,6212,340660
190,468,341660,6212,341660
190,468,342470,6212,342470
190,468,342840,6212,342840
190,468,343000,6212,343000
190,468,344000,6212,344000
191,470,345000,6212,345000
191,470,346000,6212,346000
191,470,346230,6212,346230
191,470,346230,6212,346230
191,470,346550,6212,346550
191,470,347550,6212,347550
191,470,348550,6212,348550
192,472,349550,6212,349550
