ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
902212.25,15.19,1.85,316910.68,5.34
901930.7,15.19,1.84,316584.19,5.33
902109.1,15.19,1.85,316618.87,5.33
901812.23,15.19,1.84,316368.7,5.33
901812.23,15.19,1.84,316368.7,5.33
902150.55,15.19,1.85,316876.23,5.34
902002.08,15.19,1.85,316986.97,5.34
901853.61,15.19,1.85,316955.55,5.34
901352.05,15.19,1.84,316409.06,5.33
901530.45,15.19,1.85,316585.88,5.33
901413.82,15.19,1.85,316577.88,5.34
902102.09,15.21,1.86,316634.34,5.34
901410.54,15.2,1.85,315897.85,5.33
901251.83,15.19,1.85,315739.15,5.32
901103.36,15.19,1.85,315662.44,5.32
900954.89,15.19,1.85,315604.39,5.32
900934.93,15.2,1.85,315065.25,5.31
900934.93,15.2,1.85,315065.25,5.31
901736.8,15.21,1.87,316272.7,5.34
901620.17,15.21,1.87,316264.69,5.34
901598.61,15.21,1.87,316198.2,5.34
902527.47,15.23,1.89,316542.0,5.34
902025.92,15.23,1.88,315995.51,5.33
901909.29,15.23,1.88,316041.26,5.34
903432.03,15.25,1.91,316925.19,5.35
903666.02,15.26,1.92,317478.68,5.36
903292.19,15.25,1.91,317100.78,5.35
903143.72,15.25,1.91,317053.57,5.36
901955.95,15.25,1.91,316619.14,5.35
902134.35,15.26,1.92,316853.28,5.36
902312.75,15.26,1.92,316887.95,5.36
902164.28,15.26,1.92,317041.39,5.36
902155.31,15.27,1.92,317066.88,5.37
903343.97,15.29,1.94,317667.2,5.38
903227.34,15.29,1.95,316847.01,5.36
902725.78,15.28,1.94,316300.52,5.35
902714.23,15.28,1.94,316244.03,5.35
902737.35,15.29,1.94,316355.03,5.36
902737.35,15.29,1.94,316355.03,5.36
903236.97,15.3,1.95,316993.9,5.37
902735.41,15.29,1.95,316447.4,5.36
902586.94,15.29,1.95,316327.68,5.36
902085.39,15.28,1.94,315781.19,5.35
901487.71,15.28,1.93,314966.69,5.34
901080.04,15.27,1.93,314342.2,5.33
901365.4,15.28,1.93,314764.08,5.34
900957.72,15.27,1.93,314139.58,5.33
900841.09,15.27,1.93,314131.58,5.33
901578.65,15.29,1.95,314345.62,5.33
901462.02,15.29,1.95,314337.61,5.33
901247.21,15.29,1.95,314061.25,5.33
901098.74,15.29,1.95,314014.04,5.33
900950.27,15.29,1.95,313926.5,5.33
900544.15,15.28,1.94,313144.22,5.31
901281.71,15.3,1.96,313358.26,5.32
901628.13,15.31,1.96,313782.13,5.33
901608.17,15.31,1.97,313573.9,5.32
901608.17,15.31,1.97,313573.9,5.32
901608.17,15.31,1.97,313573.9,5.32
901608.17,15.31,1.97,313573.9,5.32
903034.25,15.34,1.99,314711.81,5.34
902714.73,15.33,1.99,314119.53,5.34
902694.77,15.33,1.99,313911.31,5.33
902307.82,15.33,1.99,313184.85,5.32
