ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1057692.32,17.69,0.85,560117.33,9.37
1057678.32,17.69,0.85,560149.35,9.37
1057678.32,17.69,0.85,560149.35,9.37
1057386.0,17.69,0.85,559842.82,9.37
1057005.26,17.69,0.84,559548.82,9.36
1056805.26,17.69,0.84,559484.47,9.36
1056805.26,17.69,0.84,559484.47,9.36
1056506.84,17.68,0.84,559188.12,9.36
1056492.84,17.68,0.84,558851.03,9.35
1056292.84,17.68,0.84,558613.08,9.35
1056424.42,17.69,0.85,559222.68,9.36
1056224.42,17.69,0.84,559007.73,9.36
1056024.42,17.69,0.84,558959.92,9.36
1056156.0,17.69,0.85,559087.34,9.36
1056156.0,17.69,0.85,559087.34,9.36
1055956.0,17.69,0.85,559041.24,9.37
1056196.74,17.7,0.85,559276.33,9.37
1056196.74,17.7,0.85,559276.33,9.37
1056040.74,17.69,0.85,559125.56,9.37
1055840.74,17.69,0.85,558949.35,9.37
1055460.0,17.69,0.85,558607.25,9.36
1055260.0,17.69,0.85,558570.36,9.36
1055246.0,17.69,0.85,558602.38,9.36
1055046.0,17.69,0.85,558538.02,9.36
1055046.0,17.69,0.85,558538.02,9.36
1055046.0,17.69,0.85,558538.02,9.36
1054846.0,17.69,0.85,558472.23,9.37
1054646.0,17.69,0.85,558324.92,9.36
1054446.0,17.69,0.85,558072.3,9.36
1054446.0,17.69,0.85,558072.3,9.36
1054686.74,17.69,0.85,558110.35,9.36
1054686.74,17.69,0.85,558110.35,9.36
1054913.05,17.7,0.86,558777.13,9.38
1053565.68,17.7,0.86,558264.96,9.38
1053269.37,17.7,0.85,558044.44,9.38
1053069.37,17.7,0.85,558149.81,9.38
1052913.37,17.69,0.85,557999.04,9.38
1052734.42,17.69,0.85,557153.2,9.36
1052353.68,17.69,0.85,556856.67,9.36
1052318.63,17.69,0.85,557239.2,9.37
1052118.63,17.69,0.85,557173.41,9.37
1051817.05,17.69,0.84,556895.51,9.36
1052005.47,17.69,0.85,557067.57,9.37
1051991.47,17.69,0.85,557099.59,9.37
1052123.05,17.7,0.86,557275.1,9.37
1051923.05,17.7,0.86,557191.52,9.37
1052172.11,17.7,0.86,557420.09,9.38
