ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
132,364,335660,6212,335660
133,372,336660,6212,336660
133,372,337660,6212,337660
133,372,338660,6212,338660
133,372,339660,6212,339660
133,372,339660,6212,339660
133,372,340660,6212,340660
133,372,341660,6212,341660
133,372,342470,6212,342470
133,372,342840,6212,342840
133,372,343000,6212,343000
133,372,344000,6212,344000
134,380,345000,6212,345000
135,382,346000,6212,346000
135,382,346230,6212,346230
135,382,346230,6212,346230
135,382,346550,6212,346550
135,382,347550,6212,347550
135,382,348550,6212,348550
135,382,349550,6212,349550
135,382,350550,6212,350550
135,382,351010,6212,351010
135,382,355010,6212,355010
136,390,356010,6212,356010
136,390,357010,6212,357010
136,390,357480,6212,357480
136,390,358070,6212,358070
136,390,358540,6212,358540
136,390,359540,6212,359540
136,390,360540,6212,360540
137,398,361540,6212,361540
137,398,362540,6212,362540
137,398,362860,6212,362860
137,398,363860,6212,363860
137,398,364670,6212,364670
137,398,364900,6212,364900
137,398,365900,6212,365900
137,398,366710,6212,366710
137,398,367180,6212,367180
137,398,367650,6212,367650
137,398,368650,6212,368650
137,398,368650,6212,368650
138,406,369650,6212,369650
138,406,370300,6212,370300
138,406,370770,6212,370770
138,406,371580,6212,371580
138,406,371580,6212,371580
138,406,372580,6212,372580
138,406,373580,6212,373580
138,406,374580,6212,374580
138,406,375580,6212,375580
138,406,375580,6212,375580
139,414,376580,6212,376580
139,414,377050,6212,377050
139,414,378050,6212,378050
139,414,378860,6212,378860
139,414,378860,6212,378860
139,414,379860,6212,379860
139,414,380670,6212,380670
139,414,380670,6212,380670
139,414,381670,6212,381670
139,414,382670,6212,382670
140,422,383670,6212,383670
140,422,384670,6212,384670
140,422,385140,6212,385140
140,422,386140,6212,386140
140,422,386610,6212,386610
140,422,387610,6212,387610
140,422,387610,6212,387610
140,422,387930,6212,387930
140,422,388930,6212,388930
140,422,389930,6212,389930
141,430,390930,6212,390930
141,430,391930,6212,391930
141,430,392740,6212,392740
141,430,393210,6212,393210
141,430,394210,6212,394210
141,430,394680,6212,394680
141,430,395680,6212,395680
141,430,396680,6212,396680
142,438,397680,6212,397680
142,438,398680,6212,398680
142,438,399680,6212,399680
142,438,400150,6212,400150
142,438,400610,6212,400610
142,438,401610,6212,401610
142,438,402610,6212,402610
142,438,403610,6212,403610
142,438,404610,6212,404610
143,446,405080,6212,405080
143,446,405080,6212,405080
143,446,406080,6212,406080
143,446,407080,6212,407080
143,446,407080,6212,407080
143,446,407890,6212,407890
143,446,408890,6212,408890
143,446,409700,6212,409700
143,446,410510,6212,410510
143,446,411510,6212,411510
144,454,412510,6212,412510
144,454,413510,6212,413510
144,454,414510,6212,414510
144,454,415320,6212,415320
144,454,416320,6212,416320
144,454,416970,6212,416970
144,454,417970,6212,417970
144,454,418970,6212,418970
145,462,419970,6212,419970
145,462,420520,6212,420520
145,462,421520,6212,421520
145,462,422520,6212,422520
145,462,422840,6212,422840
145,462,423310,6212,423310
145,462,424310,6212,424310
145,462,425310,6212,425310
145,462,425310,6212,425310
145,462,425630,6212,425630
145,462,426440,6212,426440
145,462,426440,6212,426440
145,462,427440,6212,427440
146,470,428090,6212,428090
146,470,428900,6212,428900
146,470,429710,6212,429710
147,478,437710,6212,437710
147,478,438710,6212,438710
147,478,439710,6212,439710
147,478,439710,6212,439710
147,478,440520,6212,440520
147,478,440750,6212,440750
147,478,441340,6212,441340
147,478,442340,6212,442340
148,486,443340,6212,443340
148,486,443810,6212,443810
148,486,444810,6212,444810
148,486,444810,6212,444810
148,486,445280,6212,445280
148,486,446280,6212,446280
148,486,447280,6212,447280
149,494,448090,6212,448090
149,494,448560,6212,448560
149,494,449370,6212,449370
149,494,449840,6212,449840
149,494,450840,6212,450840
149,494,451160,6212,451160
149,494,451160,6212,451160
149,494,451970,6212,451970
149,494,452970,6212,452970
149,494,453970,6212,453970
149,494,453970,6212,453970
149,494,454520,6212,454520
150,502,455330,6212,455330
150,502,456330,6212,456330
150,502,457330,6212,457330
150,502,458330,6212,458330
150,502,459330,6212,459330
150,502,460330,6212,460330
150,502,461140,6212,461140
150,502,461950,6212,461950
151,510,462950,6212,462950
151,510,463950,6212,463950
151,510,464950,6212,464950
151,510,465950,6212,465950
151,510,466760,6212,466760
151,510,467230,6212,467230
151,510,468230,6212,468230
151,510,469230,6212,469230
151,510,469230,6212,469230
151,510,469230,6212,469230
151,510,470040,6212,470040
151,510,470150,6212,470150
151,510,470960,6212,470960
151,510,471960,6212,471960
151,510,472770,6212,472770
151,510,473770,6212,473770
151,510,474580,6212,474580
151,510,475390,6212,475390
151,510,475710,6212,475710
152,518,476710,6212,476710
152,518,477710,6212,477710
152,518,478520,6212,478520
152,518,479070,6212,479070
152,518,479070,6212,479070
152,518,480070,6212,480070
152,518,481070,6212,481070
152,518,482070,6212,482070
152,518,484070,6212,484070
152,518,484070,6212,484070
152,518,484530,6212,484530
152,518,485530,6212,485530
152,518,485530,6212,485530
153,526,486530,6212,486530
153,526,487530,6212,487530
153,526,487530,6212,487530
153,526,488530,6212,488530
153,526,488530,6212,488530
153,526,488850,6212,488850
153,526,489850,6212,489850
153,526,489850,6212,489850
153,526,490850,6212,490850
154,534,498850,6212,498850
155,542,499850,6212,499850
155,542,500500,6212,500500
155,542,501500,6212,501500
155,542,502500,6212,502500
155,542,503310,6212,503310
155,542,504310,6212,504310
155,542,504780,6212,504780
156,550,505780,6212,505780
156,550,506780,6212,506780
156,550,507780,6212,507780
156,550,508590,6212,508590
156,550,509590,6212,509590
156,550,509590,6212,509590
156,550,510590,6212,510590
156,550,511590,6212,511590
156,550,512400,6212,512400
156,550,513400,6212,513400
156,550,514210,6212,514210
157,558,515020,6212,515020
157,558,515670,6212,515670
157,558,516670,6212,516670
157,558,517480,6212,517480
157,558,518480,6212,518480
157,558,518940,6212,518940
157,558,518940,6212,518940
157,558,519940,6212,519940
157,558,520490,6212,520490
157,558,520490,6212,520490
157,558,520490,6212,520490
157,558,521300,6212,521300
157,558,521770,6212,521770
158,560,522770,6212,522770
158,560,523580,6212,523580
158,560,524050,6212,524050
158,560,524050,6212,524050
159,562,525050,6212,525050
159,562,525860,6212,525860
160,564,526330,6212,526330
160,564,526800,6212,526800
160,564,527120,6212,527120
160,564,527440,6212,527440
160,564,527440,6212,527440
160,564,528440,6212,528440
160,564,528760,6212,528760
161,566,529570,6212,529570
161,566,530570,6212,530570
162,568,531040,6212,531040
162,568,531040,6212,531040
162,568,533040,6212,533040
162,568,533590,6212,533590
163,570,534240,6212,534240
163,570,535240,6212,535240
163,570,535710,6212,535710
164,572,536710,6212,536710
164,572,536710,6212,536710
164,572,536710,6212,536710
164,572,536710,6212,536710
164,572,536940,6212,536940
164,572,537260,6212,537260
164,572,538260,6212,538260
164,572,538260,6212,538260
165,580,546260,6212,546260
166,582,546580,6212,546580
166,582,546580,6212,546580
166,582,546900,6212,546900
166,582,547710,6212,547710
166,582,547710,6212,547710
166,582,547940,6212,547940
166,582,548940,6212,548940
166,582,549410,6212,549410
167,584,550410,6212,550410
167,584,551410,6212,551410
168,586,552060,6212,552060
169,588,553060,6212,553060
170,596,561060,6212,561060
170,596,561060,6212,561060
170,596,562060,6212,562060
170,596,562060,6212,562060
170,596,562870,6212,562870
171,598,563870,6212,563870
171,598,564090,6212,564090
171,598,565090,6212,565090
171,598,565090,6212,565090
172,600,566090,6212,566090
173,602,567090,6212,567090
173,602,567900,6212,567900
173,602,568370,6212,568370
174,604,569020,6212,569020
174,604,569020,6212,569020
174,604,570020,6212,570020
174,604,570490,6212,570490
174,604,570810,6212,570810
174,604,570810,6212,570810
175,606,571810,6212,571810
175,606,572810,6212,572810
176,608,573810,6212,573810
176,608,574810,6212,574810
177,610,575810,6212,575810
177,610,576810,6212,576810
178,612,577810,6212,577810
178,612,578810,6212,578810
179,614,579620,6212,579620
179,614,580620,6212,580620
180,618,581430,6212,581430
181,620,581900,6212,581900
181,620,581900,6212,581900
181,620,582710,6212,582710
181,620,583710,6212,583710
181,620,583760,6212,583760
182,622,584760,6212,584760
182,622,585570,6212,585570
182,622,585890,6212,585890
183,624,586700,6212,586700
183,624,587350,6212,587350
184,626,588350,6212,588350
184,626,589350,6212,589350
184,626,590350,6212,590350
185,628,591350,6212,591350
185,628,592350,6212,592350
185,628,592350,6212,592350
186,630,593350,6212,593350
186,630,594160,6212,594160
187,632,594970,6212,594970
187,632,594970,6212,594970
187,632,594970,6212,594970
187,632,595970,6212,595970
188,634,596780,6212,596780
188,634,597780,6212,597780
188,634,598780,6212,598780
188,634,599250,6212,599250
189,636,600250,6212,600250
189,636,601250,6212,601250
189,636,601250,6212,601250
189,636,601720,6212,601720
190,638,602530,6212,602530
190,638,602760,6212,602760
190,638,602760,6212,602760
190,638,603570,6212,603570
191,640,604380,6212,604380
191,640,605380,6212,605380
192,642,606380,6212,606380
192,642,607380,6212,607380
193,644,608380,6212,608380
193,644,608840,6212,608840
193,644,609840,6212,609840
193,644,609840,6212,609840
194,652,617840,6212,617840
194,652,618300,6212,618300
194,652,618760,6212,618760
194,652,619230,6212,619230
194,652,619460,6212,619460
194,652,619460,6212,619460
194,652,619460,6212,619460
194,652,619830,6212,619830
195,654,620830,6212,620830
195,654,621480,6212,621480
196,656,622480,6212,622480
196,656,623480,6212,623480
196,656,624480,6212,624480
197,658,624950,6212,624950
197,658,625950,6212,625950
197,658,626420,6212,626420
198,660,627420,6212,627420
198,660,628230,6212,628230
198,660,628550,6212,628550
199,662,629550,6212,629550
199,662,630550,6212,630550
199,662,630550,6212,630550
200,664,631200,6212,631200
200,664,632200,6212,632200
201,666,632670,6212,632670
201,666,633670,6212,633670
201,666,634670,6212,634670
202,670,635670,6212,635670
203,672,636670,6212,636670
203,672,637670,6212,637670
203,672,638480,6212,638480
204,674,639480,6212,639480
205,678,640290,6212,640290
205,678,641290,6212,641290
205,678,642100,6212,642100
205,678,642100,6212,642100
206,680,643100,6212,643100
206,680,644100,6212,644100
206,680,644570,6212,644570
207,682,645040,6212,645040
207,682,646040,6212,646040
207,682,646360,6212,646360
207,682,647170,6212,647170
207,682,647170,6212,647170
207,682,647980,6212,647980
207,682,648980,6212,648980
208,684,649980,6212,649980
209,686,650980,6212,650980
209,686,650980,6212,650980
209,686,651570,6212,651570
209,686,652380,6212,652380
209,686,652850,6212,652850
210,688,653320,6212,653320
210,688,653320,6212,653320
210,688,653790,6212,653790
210,688,654790,6212,654790
211,690,655790,6212,655790
211,690,656790,6212,656790
212,692,657600,6212,657600
212,692,658070,6212,658070
212,692,658070,6212,658070
213,696,658620,6212,658620
213,696,659090,6212,659090
214,698,660090,6212,660090
214,698,660410,6212,660410
214,698,661410,6212,661410
215,700,662410,6212,662410
216,702,663410,6212,663410
216,702,664220,6212,664220
216,702,665220,6212,665220
217,704,666220,6212,666220
217,704,666220,6212,666220
217,704,666540,6212,666540
217,704,667540,6212,667540
217,704,668130,6212,668130
218,706,669130,6212,669130
218,706,670130,6212,670130
218,706,670450,6212,670450
219,708,671450,6212,671450
219,708,672450,6212,672450
220,712,672920,6212,672920
220,712,673920,6212,673920
220,712,673920,6212,673920
220,712,674730,6212,674730
220,712,675200,6212,675200
220,712,675200,6212,675200
220,712,676200,6212,676200
221,714,676670,6212,676670
221,714,677130,6212,677130
221,714,678130,6212,678130
222,716,679130,6212,679130
222,716,680130,6212,680130
222,716,680130,6212,680130
223,718,681130,6212,681130
223,718,682130,6212,682130
224,722,683130,6212,683130
224,722,683130,6212,683130
224,722,684130,6212,684130
225,724,685130,6212,685130
226,732,693130,6212,693130
226,732,693130,6212,693130
226,732,694130,6212,694130
227,734,694780,6212,694780
227,734,695780,6212,695780
228,738,696590,6212,696590
229,740,697590,6212,697590
229,740,697910,6212,697910
229,740,697910,6212,697910
229,740,698720,6212,698720
230,742,699720,6212,699720
230,742,699720,6212,699720
230,742,700720,6212,700720
230,742,701530,6212,701530
231,744,702180,6212,702180
231,744,702990,6212,702990
232,746,703990,6212,703990
232,746,704990,6212,704990
233,748,705990,6212,705990
233,748,705990,6212,705990
233,748,706310,6212,706310
233,748,706780,6212,706780
234,750,707590,6212,707590
234,750,708400,6212,708400
234,750,708870,6212,708870
235,752,709340,6212,709340
235,752,709340,6212,709340
235,752,709810,6212,709810
235,752,710810,6212,710810
236,754,711810,6212,711810
236,754,712810,6212,712810
237,756,713810,6212,713810
237,756,713810,6212,713810
237,756,713810,6212,713810
237,756,714810,6212,714810
238,758,715810,6212,715810
239,760,716810,6212,716810
239,760,717810,6212,717810
239,760,718620,6212,718620
240,762,719620,6212,719620
240,762,720620,6212,720620
241,764,721620,6212,721620
241,764,722620,6212,722620
242,766,723430,6212,723430
243,768,724430,6212,724430
243,768,725430,6212,725430
243,768,726430,6212,726430
244,770,727240,6212,727240
244,770,727240,6212,727240
244,770,728240,6212,728240
245,772,729240,6212,729240
245,772,729710,6212,729710
246,774,730300,6212,730300
246,774,731300,6212,731300
246,774,731300,6212,731300
247,776,732300,6212,732300
248,778,733300,6212,733300
248,778,734300,6212,734300
248,778,734300,6212,734300
249,782,735110,6212,735110
249,782,735110,6212,735110
249,782,735110,6212,735110
249,782,735110,6212,735110
249,782,735570,6212,735570
249,782,736570,6212,736570
250,784,737570,6212,737570
250,784,737790,6212,737790
250,784,738260,6212,738260
250,784,738260,6212,738260
250,784,738730,6212,738730
251,786,739730,6212,739730
251,786,739730,6212,739730
251,786,740730,6212,740730
252,788,741730,6212,741730
252,788,741730,6212,741730
252,788,742730,6212,742730
252,788,742840,6212,742840
253,790,743840,6212,743840
253,790,744840,6212,744840
253,790,744840,6212,744840
254,792,745840,6212,745840
254,792,746310,6212,746310
254,792,746310,6212,746310
255,794,747310,6212,747310
255,794,748120,6212,748120
255,794,748120,6212,748120
256,796,748930,6212,748930
256,796,749930,6212,749930
256,796,750930,6212,750930
256,796,750930,6212,750930
256,796,751400,6212,751400
257,798,752400,6212,752400
