ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
210,560,497180,6212,497180
211,568,505180,6212,505180
212,570,506180,6212,506180
212,570,506830,6212,506830
213,572,507830,6212,507830
214,580,515830,6212,515830
214,580,516830,6212,516830
215,582,517830,6212,517830
215,582,518300,6212,518300
216,584,520300,6212,520300
216,584,521110,6212,521110
217,586,522110,6212,522110
217,586,523110,6212,523110
218,588,523570,6212,523570
218,588,524040,6212,524040
218,588,524040,6212,524040
218,588,524040,6212,524040
218,588,525040,6212,525040
219,590,526040,6212,526040
219,590,527040,6212,527040
220,592,527510,6212,527510
220,592,528510,6212,528510
221,594,529160,6212,529160
221,594,530160,6212,530160
222,596,531160,6212,531160
222,596,531810,6212,531810
222,596,532130,6212,532130
223,598,533130,6212,533130
223,598,534130,6212,534130
224,600,535130,6212,535130
224,600,535940,6212,535940
225,604,539940,6212,539940
226,606,540750,6212,540750
226,606,541070,6212,541070
227,614,549070,6212,549070
227,614,549070,6212,549070
227,614,549300,6212,549300
228,618,553300,6212,553300
228,618,553770,6212,553770
228,618,553770,6212,553770
228,618,554000,6212,554000
228,618,554470,6212,554470
229,620,555470,6212,555470
229,620,556470,6212,556470
230,622,557470,6212,557470
231,624,559470,6212,559470
231,624,560470,6212,560470
232,626,561470,6212,561470
232,626,562470,6212,562470
233,628,563470,6212,563470
233,628,564470,6212,564470
234,630,566470,6212,566470
235,632,566940,6212,566940
235,632,567940,6212,567940
236,634,568750,6212,568750
237,636,570750,6212,570750
238,638,571750,6212,571750
238,638,572750,6212,572750
239,646,580750,6212,580750
239,646,580750,6212,580750
240,648,582750,6212,582750
240,648,583400,6212,583400
241,650,584400,6212,584400
241,650,585400,6212,585400
242,652,586400,6212,586400
242,652,587400,6212,587400
243,654,588400,6212,588400
243,654,589400,6212,589400
243,654,589400,6212,589400
243,654,589400,6212,589400
244,662,597400,6212,597400
245,670,605400,6212,605400
246,672,606210,6212,606210
246,672,607020,6212,607020
247,674,609020,6212,609020
248,676,610020,6212,610020
249,684,618020,6212,618020
249,684,619020,6212,619020
249,684,619490,6212,619490
250,686,620490,6212,620490
250,686,620490,6212,620490
250,686,621490,6212,621490
250,686,621490,6212,621490
251,688,622490,6212,622490
251,688,623490,6212,623490
252,690,624490,6212,624490
252,690,625490,6212,625490
253,692,625960,6212,625960
254,694,627960,6212,627960
254,694,628430,6212,628430
254,694,629240,6212,629240
255,696,630240,6212,630240
256,700,634240,6212,634240
256,700,634240,6212,634240
256,700,634710,6212,634710
257,702,635710,6212,635710
257,702,636180,6212,636180
257,702,636990,6212,636990
258,704,637460,6212,637460
258,704,638270,6212,638270
258,704,638590,6212,638590
258,704,639060,6212,639060
259,706,640060,6212,640060
259,706,640380,6212,640380
259,706,640840,6212,640840
260,708,641840,6212,641840
260,708,642650,6212,642650
260,708,642760,6212,642760
261,710,643570,6212,643570
261,710,643890,6212,643890
262,712,644890,6212,644890
263,714,646890,6212,646890
263,714,646890,6212,646890
263,714,647890,6212,647890
264,716,648890,6212,648890
264,716,648890,6212,648890
264,716,649890,6212,649890
265,718,650700,6212,650700
266,726,658700,6212,658700
266,726,659020,6212,659020
266,726,660020,6212,660020
267,728,661020,6212,661020
267,728,662020,6212,662020
268,730,662830,6212,662830
268,730,663830,6212,663830
268,730,663830,6212,663830
269,732,664830,6212,664830
269,732,665830,6212,665830
270,734,666830,6212,666830
270,734,667640,6212,667640
270,734,667640,6212,667640
271,736,668640,6212,668640
271,736,668870,6212,668870
271,736,669870,6212,669870
272,738,670870,6212,670870
272,738,671870,6212,671870
273,740,672870,6212,672870
273,740,673870,6212,673870
274,742,674870,6212,674870
274,742,674870,6212,674870
274,742,675340,6212,675340
275,744,676340,6212,676340
275,744,677340,6212,677340
276,746,678340,6212,678340
276,746,678340,6212,678340
276,746,678560,6212,678560
276,746,679020,6212,679020
276,746,679490,6212,679490
277,748,680490,6212,680490
277,748,680810,6212,680810
277,748,681360,6212,681360
278,756,689360,6212,689360
278,756,689360,6212,689360
279,758,690170,6212,690170
280,762,694170,6212,694170
280,762,694170,6212,694170
281,764,695170,6212,695170
281,764,696170,6212,696170
281,764,697170,6212,697170
281,764,697640,6212,697640
282,766,698450,6212,698450
282,766,698770,6212,698770
282,766,699770,6212,699770
282,766,699990,6212,699990
283,768,701990,6212,701990
284,776,709990,6212,709990
285,784,717990,6212,717990
286,786,718990,6212,718990
286,786,719990,6212,719990
287,788,720990,6212,720990
287,788,721990,6212,721990
288,790,722990,6212,722990
288,790,723990,6212,723990
289,792,724990,6212,724990
289,792,725460,6212,725460
289,792,725780,6212,725780
290,794,726590,6212,726590
290,794,726910,6212,726910
