ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
870270.41,14.49,2.23,796751.64,13.27
870079.35,14.49,2.23,796496.3,13.27
870043.88,14.49,2.23,796576.16,13.27
869852.83,14.49,2.23,796317.61,13.27
869852.83,14.49,2.23,796317.61,13.27
869628.55,14.49,2.23,796214.86,13.27
869628.55,14.49,2.23,796214.86,13.27
869628.55,14.49,2.23,796214.86,13.27
869437.49,14.49,2.22,795962.94,13.27
869402.03,14.49,2.23,796039.38,13.27
869210.97,14.49,2.23,795864.49,13.27
868986.7,14.49,2.22,795678.08,13.27
868795.64,14.49,2.22,795426.16,13.26
868571.37,14.49,2.22,795316.79,13.26
868547.28,14.49,2.22,794810.87,13.26
868421.69,14.49,2.22,794609.32,13.26
868672.24,14.49,2.23,794595.79,13.26
868447.96,14.49,2.23,794624.63,13.26
868239.22,14.49,2.22,794422.42,13.26
868239.22,14.49,2.22,794422.42,13.26
868376.91,14.49,2.23,794314.53,13.26
868152.63,14.49,2.23,794382.56,13.26
867771.03,14.49,2.22,794065.95,13.26
867786.78,14.49,2.22,793412.41,13.25
867595.72,14.49,2.22,793237.52,13.25
867296.98,14.48,2.22,792941.93,13.24
867296.98,14.48,2.22,792941.93,13.24
867072.71,14.48,2.22,792755.52,13.24
867395.96,14.49,2.22,792272.53,13.23
867371.88,14.49,2.23,791766.61,13.23
867371.88,14.49,2.23,791766.61,13.23
867371.88,14.49,2.23,791766.61,13.23
867058.67,14.49,2.22,791385.61,13.22
867058.67,14.49,2.22,791385.61,13.22
865627.77,14.48,2.22,789932.26,13.22
865526.96,14.48,2.22,789235.35,13.21
865336.95,14.48,2.22,789189.26,13.21
865033.48,14.48,2.21,790368.22,13.23
864842.42,14.48,2.21,790109.68,13.23
865094.01,14.48,2.22,789771.85,13.22
865094.01,14.48,2.22,789771.85,13.22
864827.39,14.48,2.22,792030.01,13.26
864603.12,14.48,2.21,791927.27,13.26
864853.67,14.48,2.22,791913.73,13.26
864629.39,14.48,2.22,791942.58,13.27
864629.39,14.48,2.22,791942.58,13.27
864438.33,14.48,2.22,791690.65,13.26
864205.41,14.48,2.21,791519.41,13.26
863981.14,14.48,2.21,791410.04,13.26
864151.08,14.48,2.22,789729.35,13.24
864288.77,14.49,2.22,789623.65,13.23
864064.49,14.48,2.22,789692.0,13.24
864202.17,14.49,2.22,789586.3,13.24
863977.9,14.49,2.22,789654.31,13.24
863786.84,14.49,2.22,789469.62,13.24
863751.38,14.49,2.22,789458.53,13.24
863560.32,14.49,2.22,789283.64,13.24
863336.05,14.49,2.22,789097.23,13.24
862523.97,14.48,2.22,787604.7,13.22
862380.18,14.48,2.22,787392.07,13.22
862236.39,14.48,2.22,787179.45,13.22
862464.32,14.49,2.22,786700.78,13.21
862165.58,14.48,2.22,786406.84,13.21
861974.52,14.48,2.22,786147.17,13.21
862191.86,14.49,2.22,786486.87,13.22
862000.8,14.49,2.22,786302.18,13.21
861776.52,14.49,2.22,786125.58,13.21
861394.92,14.48,2.22,785744.25,13.21
860659.96,14.48,2.21,785096.26,13.21
860468.9,14.48,2.21,784836.59,13.2
860468.9,14.48,2.21,784836.59,13.2
860694.57,14.48,2.22,785186.65,13.21
860694.57,14.48,2.22,785186.65,13.21
860503.51,14.48,2.22,785045.48,13.21
860503.51,14.48,2.22,785045.48,13.21
860279.24,14.48,2.21,784825.36,13.21
859899.3,14.47,2.21,784443.67,13.2
859899.3,14.47,2.21,784443.67,13.2
860149.85,14.48,2.21,784430.14,13.2
859925.57,14.48,2.21,784458.98,13.21
859716.83,14.48,2.21,784255.38,13.2
859335.23,14.47,2.2,783938.78,13.2
859335.23,14.47,2.2,783938.78,13.2
859144.17,14.47,2.2,783686.85,13.2
859108.7,14.47,2.21,783763.29,13.2
858917.65,14.47,2.2,783588.4,13.2
858917.65,14.47,2.2,783588.4,13.2
858618.91,14.47,2.2,783089.9,13.19
858394.63,14.46,2.2,782903.5,13.19
858203.58,14.46,2.2,782718.8,13.19
857979.3,14.46,2.2,782542.21,13.19
857788.25,14.46,2.2,782367.32,13.19
857563.97,14.46,2.19,782180.91,13.19
857823.9,14.47,2.2,783661.74,13.21
857632.84,14.46,2.2,783402.08,13.21
857408.57,14.46,2.2,783300.45,13.21
857406.32,14.47,2.2,783241.02,13.21
857382.23,14.47,2.2,782735.09,13.21
856966.9,14.46,2.2,782373.8,13.21
856819.08,14.46,2.2,781461.72,13.19
856505.87,14.46,2.19,781080.72,13.19
856505.87,14.46,2.19,781080.72,13.19
856201.94,14.46,2.19,782799.31,13.22
855977.67,14.45,2.19,782683.26,13.22
856228.22,14.46,2.19,782669.72,13.22
856003.94,14.46,2.19,782763.26,13.22
855791.05,14.46,2.19,781995.24,13.21
855476.65,14.45,2.19,781686.33,13.21
855285.59,14.45,2.19,781434.41,13.21
855250.13,14.45,2.19,781510.85,13.21
855059.07,14.45,2.19,781251.18,13.21
855059.07,14.45,2.19,781251.18,13.21
854677.46,14.45,2.18,780869.89,13.2
854642.0,14.45,2.19,780954.07,13.2
854642.0,14.45,2.19,780954.07,13.2
854617.92,14.45,2.19,780448.14,13.2
854802.98,14.46,2.19,780555.67,13.2
854604.7,14.45,2.19,780367.14,13.2
854413.65,14.45,2.19,780107.48,13.2
854189.37,14.45,2.19,780005.85,13.2
854165.29,14.45,2.19,779499.93,13.19
854039.7,14.45,2.19,779298.38,13.19
854039.7,14.45,2.19,779298.38,13.19
853848.64,14.45,2.19,779123.49,13.19
854065.97,14.46,2.19,779313.69,13.19
853048.55,14.46,2.19,778502.28,13.2
853024.47,14.46,2.2,777996.36,13.19
852642.86,14.46,2.19,777679.76,13.18
852642.86,14.46,2.19,777679.76,13.18
852328.46,14.45,2.19,777293.49,13.18
852137.4,14.45,2.19,777108.79,13.18
851913.13,14.45,2.19,776932.19,13.18
852210.95,14.46,2.19,776548.92,13.17
852019.89,14.46,2.19,776374.03,13.17
852019.89,14.46,2.19,776374.03,13.17
851259.84,14.45,2.19,775539.4,13.17
851418.52,14.46,2.19,775732.84,13.17
851227.46,14.46,2.19,775476.94,13.17
851227.46,14.46,2.19,775476.94,13.17
851003.19,14.45,2.19,775371.55,13.17
851000.94,14.46,2.19,775312.11,13.17
850776.67,14.45,2.19,775196.06,13.17
850585.61,14.45,2.19,774936.39,13.17
850550.15,14.46,2.19,775020.57,13.17
850359.09,14.45,2.19,774762.03,13.17
850200.28,14.45,2.19,774603.22,13.17
849976.01,14.45,2.19,774500.47,13.17
849976.01,14.45,2.19,774500.47,13.17
849991.76,14.45,2.19,773846.93,13.16
850199.07,14.46,2.19,773335.41,13.15
850008.01,14.46,2.19,773083.48,13.15
849725.25,14.45,2.19,772475.9,13.14
849500.98,14.45,2.19,772366.53,13.14
849309.92,14.45,2.19,772107.99,13.14
849085.65,14.45,2.19,772005.24,13.14
849085.65,14.45,2.19,772005.24,13.14
848894.59,14.45,2.18,771742.53,13.14
848670.32,14.45,2.18,771639.79,13.14
848667.14,14.45,2.19,772343.68,13.15
847649.72,14.45,2.19,771532.27,13.15
847458.66,14.45,2.19,771272.61,13.15
847234.39,14.45,2.19,771170.98,13.15
847040.24,14.45,2.18,770976.94,13.15
846995.02,14.45,2.18,770921.77,13.15
846995.02,14.45,2.18,770921.77,13.15
846803.96,14.45,2.18,770737.07,13.15
846768.5,14.45,2.18,770725.98,13.15
846744.41,14.45,2.19,770220.06,13.14
846553.36,14.45,2.19,769964.71,13.14
846240.15,14.45,2.18,769583.71,13.14
846015.87,14.45,2.18,769477.76,13.14
845203.79,14.44,2.18,767985.23,13.12
845060.01,14.44,2.18,767772.6,13.12
845336.89,14.45,2.18,767101.77,13.11
844319.47,14.45,2.19,766290.37,13.11
844314.78,14.45,2.19,766938.55,13.13
844123.72,14.45,2.19,766753.86,13.13
843899.45,14.45,2.19,766577.26,13.13
843646.12,14.45,2.18,765970.41,13.12
843896.67,14.45,2.19,765956.88,13.12
843693.88,14.45,2.18,765711.24,13.11
843469.6,14.45,2.18,765740.08,13.12
