ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
164,403,272710,6212,272710
165,404,273180,6212,273180
165,404,273180,6212,273180
166,406,274180,6212,274180
166,406,274990,6212,274990
166,406,275990,6212,275990
166,406,275990,6212,275990
166,406,276310,6212,276310
167,410,277310,6212,277310
167,410,278310,6212,278310
167,410,279310,6212,279310
168,412,280310,6212,280310
168,412,281310,6212,281310
169,413,281770,6212,281770
170,415,282770,6212,282770
171,416,283770,6212,283770
171,416,284580,6212,284580
171,416,285390,6212,285390
172,418,287390,6212,287390
172,418,287620,6212,287620
172,418,288620,6212,288620
172,418,288620,6212,288620
172,418,288990,6212,288990
173,420,289990,6212,289990
173,420,290460,6212,290460
173,420,291460,6212,291460
173,420,292460,6212,292460
174,422,293460,6212,293460
174,422,294460,6212,294460
174,422,295270,6212,295270
175,424,296270,6212,296270
176,428,296270,6212,296270
176,428,296740,6212,296740
176,428,297550,6212,297550
176,428,297550,6212,297550
176,428,298360,6212,298360
176,428,298830,6212,298830
176,428,299060,6212,299060
177,432,300060,6212,300060
178,434,301060,6212,301060
178,434,301870,6212,301870
178,434,302680,6212,302680
178,434,302680,6212,302680
178,434,303680,6212,303680
179,438,304150,6212,304150
180,446,312150,6212,312150
180,446,312960,6212,312960
180,446,313430,6212,313430
181,450,313430,6212,313430
181,450,314430,6212,314430
181,450,315430,6212,315430
182,452,316430,6212,316430
182,452,316900,6212,316900
183,454,317900,6212,317900
183,454,317900,6212,317900
183,454,321900,6212,321900
183,454,322490,6212,322490
183,454,323490,6212,323490
183,454,323490,6212,323490
183,454,324490,6212,324490
183,454,325300,6212,325300
184,456,326300,6212,326300
184,456,327300,6212,327300
184,456,328110,6212,328110
184,456,329110,6212,329110
184,456,329270,6212,329270
185,458,330270,6212,330270
185,458,330270,6212,330270
185,458,331080,6212,331080
185,458,331630,6212,331630
185,458,332630,6212,332630
185,458,333090,6212,333090
186,460,334090,6212,334090
186,460,335090,6212,335090
187,462,336090,6212,336090
187,462,336090,6212,336090
187,462,337090,6212,337090
188,464,338090,6212,338090
188,464,338900,6212,338900
189,472,346900,6212,346900
189,472,347900,6212,347900
190,474,348900,6212,348900
190,474,349120,6212,349120
190,474,349930,6212,349930
190,474,349930,6212,349930
190,474,350930,6212,350930
190,474,351740,6212,351740
190,474,352550,6212,352550
190,474,353550,6212,353550
191,476,354550,6212,354550
191,476,355550,6212,355550
192,480,359550,6212,359550
193,484,360550,6212,360550
193,484,361010,6212,361010
194,492,369010,6212,369010
194,492,369820,6212,369820
194,492,370820,6212,370820
195,496,371820,6212,371820
195,496,372280,6212,372280
195,496,372750,6212,372750
195,496,372980,6212,372980
195,496,373980,6212,373980
195,496,374980,6212,374980
196,500,375980,6212,375980
196,500,375980,6212,375980
196,500,376980,6212,376980
197,504,377980,6212,377980
197,504,378450,6212,378450
197,504,378680,6212,378680
198,508,379150,6212,379150
198,508,379620,6212,379620
198,508,379620,6212,379620
198,508,380430,6212,380430
198,508,381240,6212,381240
198,508,381560,6212,381560
199,512,382560,6212,382560
199,512,383030,6212,383030
200,514,383400,6212,383400
200,514,383400,6212,383400
200,514,384400,6212,384400
