ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
1784646.64,29.39,0.83,204836.31,3.37
1784431.14,29.39,0.83,204941.88,3.38
1784243.65,29.39,0.83,204831.33,3.37
1784243.65,29.39,0.83,204776.78,3.37
1784026.61,29.39,0.83,204702.72,3.37
1783758.43,29.39,0.83,204707.24,3.37
1783542.94,29.39,0.83,204644.17,3.37
1783437.05,29.4,0.83,204207.78,3.37
1783688.49,29.4,0.84,204200.31,3.37
1783904.94,29.41,0.84,204271.27,3.37
1783689.44,29.41,0.85,204207.76,3.37
1783905.89,29.42,0.85,204278.72,3.37
1783690.39,29.42,0.85,204271.36,3.37
1783422.22,29.42,0.85,204275.87,3.37
1783598.85,29.42,0.86,204280.17,3.37
1783330.68,29.42,0.86,204282.5,3.37
1783220.78,29.43,0.86,204265.35,3.37
1783131.03,29.43,0.86,204274.3,3.37
1782915.54,29.43,0.86,204211.24,3.37
1782930.0,29.43,0.86,204198.49,3.37
1782714.5,29.43,0.86,204203.75,3.37
1782874.22,29.44,0.87,204475.23,3.38
1782576.09,29.44,0.87,204505.54,3.38
1782792.54,29.44,0.87,204576.5,3.38
1783161.17,29.45,0.88,204250.1,3.37
1782945.67,29.45,0.88,204242.73,3.37
1782840.3,29.45,0.88,204254.0,3.37
1782812.77,29.46,0.89,204350.13,3.38
1783037.36,29.46,0.89,204289.48,3.38
1782927.47,29.46,0.89,204269.93,3.38
1783038.9,29.47,0.9,204255.68,3.38
1783350.04,29.48,0.9,203827.89,3.37
1783350.04,29.48,0.9,203773.35,3.37
1783379.99,29.48,0.9,203785.6,3.37
1783409.95,29.48,0.9,203797.85,3.37
1783141.78,29.48,0.91,203794.56,3.37
1783035.88,29.48,0.91,203358.17,3.36
1781834.08,29.48,0.91,203322.61,3.36
1781617.03,29.48,0.91,203341.13,3.36
1781318.91,29.48,0.91,203304.83,3.36
1781050.73,29.48,0.91,203303.57,3.37
1780835.24,29.48,0.91,203240.28,3.36
1780567.07,29.48,0.91,203239.02,3.37
1780743.7,29.49,0.92,203243.87,3.37
1780450.09,29.49,0.92,203239.16,3.37
1780234.59,29.49,0.92,203175.64,3.37
1780411.22,29.49,0.92,203180.49,3.37
1780195.73,29.5,0.92,203173.13,3.37
1779978.69,29.5,0.92,203167.39,3.37
1779898.75,29.5,0.92,203176.34,3.37
1779683.25,29.5,0.92,203113.07,3.37
1780136.31,29.51,0.93,203278.29,3.37
1779838.18,29.51,0.93,203255.04,3.37
1779540.05,29.51,0.93,203239.29,3.37
1779271.88,29.51,0.93,203243.81,3.37
1779003.71,29.51,0.94,203248.33,3.37
1778735.53,29.51,0.94,203245.91,3.37
1778920.56,29.52,0.94,203246.39,3.37
1778652.38,29.52,0.94,203246.83,3.37
1778652.38,29.52,0.94,203190.69,3.37
1778374.4,29.52,0.94,203195.21,3.37
1778157.35,29.52,0.94,203189.91,3.37
1777859.23,29.52,0.94,203165.19,3.37
1778166.57,29.53,0.95,203105.28,3.37
1777679.28,29.52,0.95,202575.22,3.36
1777650.2,29.52,0.95,202753.32,3.37
1777849.67,29.53,0.95,202692.19,3.37
1778064.56,29.54,0.96,202925.59,3.37
1778079.03,29.54,0.96,202918.7,3.37
1778426.55,29.54,0.97,202920.82,3.37
1778643.0,29.55,0.97,202991.78,3.37
1779025.68,29.56,0.98,204063.48,3.39
1778727.56,29.56,0.98,204035.37,3.39
1778647.62,29.56,0.98,204044.32,3.39
1778379.44,29.56,0.98,204048.84,3.39
1778299.5,29.56,0.98,204057.79,3.39
1778299.5,29.56,0.98,204002.76,3.39
1778476.13,29.57,0.99,204007.06,3.39
1778182.53,29.57,0.99,204008.51,3.39
1777914.35,29.57,0.99,204005.53,3.39
1777834.41,29.57,0.99,204014.48,3.39
1777825.76,29.58,1.0,203674.09,3.39
1777610.27,29.58,1.0,203610.58,3.39
