ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
124,266,213360,6212,213360
124,266,214360,6212,214360
125,268,215360,6212,215360
126,270,216360,6212,216360
126,270,217360,6212,217360
126,270,218360,6212,218360
126,270,219170,6212,219170
127,272,220170,6212,220170
127,272,221170,6212,221170
127,272,221170,6212,221170
128,274,222170,6212,222170
128,274,223170,6212,223170
129,282,231170,6212,231170
130,284,232170,6212,232170
130,284,233170,6212,233170
131,288,233170,6212,233170
132,290,234170,6212,234170
132,290,235170,6212,235170
133,292,235980,6212,235980
134,294,236980,6212,236980
134,294,237980,6212,237980
135,296,238980,6212,238980
135,296,239450,6212,239450
135,296,239450,6212,239450
135,296,239920,6212,239920
136,298,240730,6212,240730
136,298,241730,6212,241730
137,300,242730,6212,242730
137,300,243730,6212,243730
138,302,244730,6212,244730
138,302,245200,6212,245200
138,302,245200,6212,245200
138,302,245670,6212,245670
138,302,246670,6212,246670
139,304,247670,6212,247670
139,304,247670,6212,247670
139,304,248670,6212,248670
140,306,249480,6212,249480
140,306,249950,6212,249950
141,308,250950,6212,250950
141,308,251950,6212,251950
141,308,252110,6212,252110
142,312,252110,6212,252110
142,312,252920,6212,252920
143,314,253730,6212,253730
144,316,254730,6212,254730
144,316,255730,6212,255730
145,318,256730,6212,256730
145,318,257730,6212,257730
145,318,258200,6212,258200
146,320,259200,6212,259200
147,322,259850,6212,259850
148,324,260850,6212,260850
148,324,261850,6212,261850
149,326,262850,6212,262850
149,326,263850,6212,263850
150,328,264850,6212,264850
150,328,265850,6212,265850
150,328,266320,6212,266320
150,328,267320,6212,267320
150,328,267320,6212,267320
150,328,268130,6212,268130
151,330,269130,6212,269130
152,332,270130,6212,270130
152,332,270130,6212,270130
152,332,271130,6212,271130
152,332,271130,6212,271130
153,334,272130,6212,272130
153,334,273130,6212,273130
153,334,273130,6212,273130
153,334,273130,6212,273130
154,342,281130,6212,281130
155,344,282130,6212,282130
155,344,283130,6212,283130
155,344,283130,6212,283130
156,346,284130,6212,284130
157,348,284780,6212,284780
158,356,292780,6212,292780
158,356,293590,6212,293590
159,358,294400,6212,294400
159,358,294870,6212,294870
159,358,295190,6212,295190
159,358,296190,6212,296190
159,358,296190,6212,296190
160,360,297000,6212,297000
160,360,297470,6212,297470
161,362,298470,6212,298470
162,366,298470,6212,298470
162,366,298470,6212,298470
162,366,298940,6212,298940
162,366,299940,6212,299940
163,368,300750,6212,300750
164,370,301750,6212,301750
164,370,302750,6212,302750
164,370,303220,6212,303220
164,370,303540,6212,303540
164,370,303860,6212,303860
165,372,304860,6212,304860
165,372,304860,6212,304860
165,372,305860,6212,305860
166,374,306860,6212,306860
166,374,307670,6212,307670
166,374,308670,6212,308670
167,376,309140,6212,309140
168,378,310140,6212,310140
168,378,310790,6212,310790
168,378,311120,6212,311120
169,380,311930,6212,311930
169,380,312740,6212,312740
170,382,313740,6212,313740
171,384,314740,6212,314740
171,384,315740,6212,315740
171,384,315740,6212,315740
172,386,316740,6212,316740
172,386,317740,6212,317740
172,386,317740,6212,317740
173,388,318740,6212,318740
173,388,318740,6212,318740
173,388,319740,6212,319740
173,388,319740,6212,319740
174,390,320740,6212,320740
174,390,320740,6212,320740
174,390,321740,6212,321740
174,390,322210,6212,322210
175,392,323210,6212,323210
175,392,324210,6212,324210
176,394,325210,6212,325210
177,398,325210,6212,325210
178,400,326020,6212,326020
179,408,326020,6212,326020
180,410,327020,6212,327020
180,410,327670,6212,327670
180,410,328670,6212,328670
181,412,329140,6212,329140
181,412,329620,6212,329620
181,412,329620,6212,329620
181,412,330620,6212,330620
182,414,331430,6212,331430
182,414,332240,6212,332240
183,416,333050,6212,333050
183,416,334050,6212,334050
183,416,334600,6212,334600
184,418,335070,6212,335070
185,420,336070,6212,336070
185,420,337070,6212,337070
186,422,338070,6212,338070
186,422,338880,6212,338880
187,424,339430,6212,339430
187,424,339590,6212,339590
187,424,340590,6212,340590
187,424,341400,6212,341400
188,426,342400,6212,342400
188,426,342720,6212,342720
189,428,343370,6212,343370
189,428,344370,6212,344370
189,428,344840,6212,344840
189,428,345650,6212,345650
189,428,345650,6212,345650
190,430,346650,6212,346650
190,430,347650,6212,347650
191,432,348460,6212,348460
192,434,349460,6212,349460
192,434,350270,6212,350270
192,434,351270,6212,351270
193,436,351740,6212,351740
193,436,352550,6212,352550
194,438,353200,6212,353200
194,438,353200,6212,353200
195,440,354200,6212,354200
195,440,355010,6212,355010
195,440,355010,6212,355010
195,440,356010,6212,356010
196,442,356820,6212,356820
196,442,356820,6212,356820
197,444,357820,6212,357820
197,444,358820,6212,358820
197,444,359290,6212,359290
197,444,359290,6212,359290
198,446,360290,6212,360290
198,446,361290,6212,361290
198,446,361290,6212,361290
199,448,362290,6212,362290
199,448,363290,6212,363290
200,456,363290,6212,363290
200,456,363760,6212,363760
201,458,364760,6212,364760
201,458,365080,6212,365080
202,460,365890,6212,365890
202,460,366700,6212,366700
203,462,367170,6212,367170
203,462,368170,6212,368170
203,462,368640,6212,368640
203,462,368800,6212,368800
204,464,369270,6212,369270
204,464,369730,6212,369730
205,466,370730,6212,370730
205,466,371540,6212,371540
206,468,372350,6212,372350
206,468,372900,6212,372900
207,470,373550,6212,373550
207,470,374360,6212,374360
207,470,375360,6212,375360
207,470,375360,6212,375360
208,472,376360,6212,376360
209,474,377170,6212,377170
209,474,378170,6212,378170
209,474,378490,6212,378490
210,476,379490,6212,379490
210,476,379810,6212,379810
210,476,380810,6212,380810
210,476,380810,6212,380810
211,478,381810,6212,381810
211,478,382280,6212,382280
212,480,382930,6212,382930
212,480,382930,6212,382930
212,480,382930,6212,382930
212,480,382930,6212,382930
212,480,382930,6212,382930
212,480,383930,6212,383930
212,480,384740,6212,384740
213,482,385550,6212,385550
214,484,386550,6212,386550
214,484,387550,6212,387550
214,484,387550,6212,387550
215,486,388550,6212,388550
215,486,389020,6212,389020
215,486,389830,6212,389830
215,486,389830,6212,389830
215,486,390830,6212,390830
216,488,391830,6212,391830
217,490,392300,6212,392300
217,490,393300,6212,393300
217,490,393760,6212,393760
217,490,394570,6212,394570
218,492,395570,6212,395570
218,492,396570,6212,396570
219,494,397380,6212,397380
219,494,397850,6212,397850
220,496,398850,6212,398850
220,496,399850,6212,399850
221,498,400660,6212,400660
221,498,400890,6212,400890
221,498,400890,6212,400890
222,500,401890,6212,401890
223,502,402890,6212,402890
223,502,403890,6212,403890
224,510,403890,6212,403890
224,510,404700,6212,404700
225,512,405510,6212,405510
226,514,406510,6212,406510
226,514,407510,6212,407510
226,514,408510,6212,408510
227,516,409510,6212,409510
227,516,410510,6212,410510
228,518,411510,6212,411510
228,518,412320,6212,412320
228,518,412320,6212,412320
228,518,413320,6212,413320
229,520,414320,6212,414320
229,520,414320,6212,414320
229,520,414800,6212,414800
229,520,414800,6212,414800
229,520,414800,6212,414800
229,520,415800,6212,415800
229,520,415800,6212,415800
230,522,416800,6212,416800
230,522,416800,6212,416800
230,522,416800,6212,416800
230,522,417120,6212,417120
231,530,417120,6212,417120
231,530,418120,6212,418120
231,530,418120,6212,418120
231,530,418120,6212,418120
232,532,419120,6212,419120
233,534,419930,6212,419930
233,534,419930,6212,419930
233,534,420740,6212,420740
233,534,421740,6212,421740
234,536,422210,6212,422210
235,538,422680,6212,422680
235,538,423160,6212,423160
236,540,424160,6212,424160
236,540,424480,6212,424480
236,540,424480,6212,424480
236,540,424480,6212,424480
236,540,425480,6212,425480
237,542,426480,6212,426480
237,542,427480,6212,427480
238,544,428480,6212,428480
238,544,428480,6212,428480
238,544,428800,6212,428800
238,544,429260,6212,429260
238,544,429730,6212,429730
238,544,429730,6212,429730
238,544,430730,6212,430730
239,546,431730,6212,431730
239,546,431950,6212,431950
239,546,432950,6212,432950
239,546,432950,6212,432950
239,546,432950,6212,432950
240,554,432950,6212,432950
241,556,433420,6212,433420
