ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
844486.96,13.79,0.2,196521.0,3.21
844221.38,13.78,0.19,196324.61,3.21
843965.76,13.78,0.19,196324.61,3.21
844125.44,13.78,0.19,196611.64,3.21
843989.53,13.78,0.19,197784.6,3.23
843989.53,13.78,0.19,197784.6,3.23
844039.98,13.79,0.2,197450.11,3.23
843884.63,13.78,0.19,197303.39,3.22
843748.72,13.78,0.19,197329.92,3.22
843483.14,13.78,0.19,197022.9,3.22
843307.55,13.78,0.19,196360.76,3.21
843487.26,13.78,0.19,196357.4,3.21
843351.35,13.78,0.19,196843.59,3.22
843215.44,13.78,0.19,196670.78,3.21
842969.83,13.78,0.19,196485.71,3.21
843035.21,13.78,0.19,196195.89,3.21
843214.91,13.79,0.2,196195.47,3.21
843262.27,13.79,0.2,196183.27,3.21
843152.63,13.79,0.2,196183.27,3.21
843191.24,13.79,0.2,197264.87,3.23
843370.95,13.79,0.2,197264.87,3.23
843105.36,13.79,0.2,196973.32,3.22
843265.04,13.79,0.2,197048.3,3.22
843009.43,13.79,0.2,197024.74,3.22
842852.07,13.79,0.2,196867.8,3.22
843031.77,13.79,0.2,196849.26,3.22
842879.31,13.79,0.2,196795.3,3.22
842929.75,13.79,0.2,197865.13,3.24
842929.75,13.79,0.2,197865.13,3.24
842674.14,13.79,0.2,197832.26,3.24
842724.59,13.79,0.2,197472.63,3.23
842782.5,13.8,0.21,197371.54,3.23
842942.18,13.8,0.21,198972.8,3.26
842942.18,13.8,0.21,198848.52,3.26
842985.17,13.8,0.21,198842.71,3.26
843035.62,13.81,0.21,198555.84,3.25
843227.16,13.81,0.22,198625.95,3.25
843277.61,13.81,0.22,198688.91,3.25
843391.06,13.81,0.22,198420.24,3.25
843186.52,13.81,0.22,198782.44,3.26
843346.19,13.82,0.23,199167.32,3.26
843080.61,13.81,0.22,198882.33,3.26
843260.31,13.82,0.23,198881.91,3.26
843124.41,13.82,0.23,198881.91,3.26
843124.41,13.82,0.23,198910.81,3.26
843096.93,13.82,0.23,198919.62,3.26
843096.93,13.82,0.23,198919.62,3.26
843256.61,13.82,0.23,198917.25,3.26
843442.27,13.83,0.24,198910.81,3.26
843601.95,13.83,0.24,199321.08,3.27
843403.81,13.83,0.24,198956.02,3.26
843138.23,13.82,0.23,198910.81,3.26
843188.67,13.83,0.24,199656.69,3.27
843052.77,13.83,0.24,199375.19,3.27
843212.45,13.83,0.24,199374.77,3.27
843046.86,13.83,0.24,199374.77,3.27
842817.13,13.83,0.23,199044.08,3.27
843010.68,13.83,0.24,200000.87,3.28
843061.13,13.83,0.24,200020.58,3.28
843111.58,13.84,0.24,200013.75,3.28
842793.7,13.83,0.24,199688.71,3.28
842539.56,13.83,0.24,199362.37,3.27
842719.27,13.83,0.24,199361.41,3.27
842473.66,13.83,0.24,199349.49,3.27
842473.66,13.83,0.24,199349.49,3.27
842524.1,13.83,0.24,199349.49,3.27
842388.2,13.83,0.24,199970.2,3.28
842567.9,13.84,0.24,200013.55,3.28
842312.29,13.83,0.24,199819.19,3.28
842053.19,13.83,0.24,199565.05,3.28
842232.89,13.83,0.24,199565.02,3.28
841977.28,13.83,0.24,199564.63,3.28
842215.97,13.83,0.24,200307.64,3.29
841971.37,13.83,0.24,200036.2,3.29
842210.06,13.84,0.25,200036.2,3.29
842260.51,13.84,0.25,200079.75,3.29
842015.91,13.84,0.25,200050.05,3.29
842256.48,13.84,0.25,200036.2,3.29
842256.48,13.84,0.25,200036.2,3.29
842306.93,13.84,0.25,200315.05,3.29
842306.93,13.84,0.25,200411.32,3.29
842306.93,13.84,0.25,200396.72,3.29
842305.05,13.84,0.25,200199.8,3.29
842464.73,13.85,0.26,200164.57,3.29
842650.39,13.85,0.26,201533.97,3.31
842810.07,13.86,0.27,201985.64,3.32
842860.51,13.86,0.27,201985.59,3.32
842641.06,13.86,0.27,201657.86,3.32
842821.16,13.86,0.27,202016.44,3.32
843057.09,13.87,0.27,201579.55,3.32
842892.26,13.86,0.27,201507.52,3.31
842573.01,13.86,0.27,201138.27,3.31
842623.46,13.86,0.27,201137.89,3.31
842805.35,13.87,0.28,201140.18,3.31
842805.35,13.87,0.28,201137.89,3.31
842673.9,13.87,0.27,201137.89,3.31
842853.61,13.87,0.28,201317.63,3.31
842717.7,13.87,0.28,201380.65,3.31
842462.09,13.87,0.28,201273.38,3.31
842658.66,13.87,0.28,201272.95,3.31
842700.78,13.87,0.28,201272.95,3.31
842751.23,13.87,0.28,202454.93,3.33
842944.35,13.88,0.29,202046.95,3.33
842944.35,13.88,0.29,202397.39,3.33
842944.35,13.88,0.29,202467.84,3.33
842808.44,13.88,0.29,202315.21,3.33
842777.08,13.88,0.29,202047.89,3.33
842807.05,13.88,0.29,202708.18,3.34
842807.05,13.88,0.29,202606.9,3.34
842986.76,13.88,0.29,202955.3,3.34
842825.05,13.88,0.29,208763.3,3.44
842666.07,13.88,0.29,208570.85,3.44
842825.75,13.88,0.29,208867.7,3.44
843005.46,13.89,0.3,208867.67,3.44
843070.83,13.89,0.3,208553.41,3.44
843070.83,13.89,0.3,208517.64,3.44
842934.93,13.89,0.3,208538.86,3.44
842669.34,13.89,0.3,208307.78,3.43
842716.7,13.89,0.3,208021.93,3.43
842767.15,13.89,0.3,208013.85,3.43
842608.47,13.89,0.3,208000.31,3.43
842735.56,13.9,0.3,208641.14,3.44
842402.4,13.89,0.3,208136.55,3.43
842582.1,13.9,0.3,208136.55,3.43
842264.22,13.89,0.3,207823.57,3.43
842314.67,13.89,0.3,208003.13,3.43
