ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1566870.42,25.84,0.26,217503.59,3.59
1566592.17,25.84,0.26,216699.41,3.57
1566438.81,25.84,0.26,216529.06,3.57
1566438.81,25.84,0.26,216485.29,3.57
1566202.36,25.84,0.26,215952.78,3.56
1566202.36,25.84,0.26,215952.78,3.56
1566419.89,25.84,0.27,215532.19,3.56
1566604.39,25.85,0.27,216470.71,3.57
1566793.84,25.85,0.28,216324.69,3.57
1566746.02,25.85,0.28,215911.91,3.56
1566556.36,25.85,0.28,219124.96,3.62
1566300.63,25.85,0.28,219124.96,3.62
1566044.89,25.85,0.28,219124.96,3.62
1565789.15,25.85,0.28,219120.08,3.62
1565789.15,25.85,0.28,219120.08,3.62
1565825.24,25.86,0.28,219243.86,3.62
1565825.24,25.86,0.28,219241.34,3.62
1565569.5,25.86,0.28,219241.34,3.62
1565313.76,25.86,0.28,219534.56,3.63
1565068.94,25.86,0.28,218759.72,3.61
1564915.59,25.86,0.28,218617.44,3.61
1564915.59,25.86,0.28,219011.44,3.62
1564761.73,25.86,0.28,220880.22,3.65
1564761.73,25.86,0.28,220875.71,3.65
1564505.99,25.86,0.28,219294.38,3.62
1564250.25,25.86,0.28,219291.49,3.62
1564250.25,25.86,0.28,220119.64,3.64
1564005.43,25.86,0.28,219344.8,3.63
1563663.22,25.86,0.28,219013.67,3.62
1563407.48,25.86,0.28,220882.5,3.65
1563151.75,25.86,0.28,220054.36,3.64
1563151.75,25.86,0.28,221150.08,3.66
1563151.75,25.86,0.28,221150.08,3.66
1562896.01,25.86,0.28,221145.21,3.66
1562640.27,25.86,0.28,221142.68,3.66
1562384.53,25.86,0.28,221142.68,3.66
1562128.79,25.86,0.28,221419.03,3.66
1561863.69,25.86,0.28,219914.14,3.64
1561754.83,25.86,0.28,219806.61,3.64
1561828.7,25.86,0.29,221178.89,3.66
1561557.18,25.86,0.28,220621.79,3.65
