ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
69,274,187700,6212,187700
70,282,187700,6212,187700
70,282,187700,6212,187700
70,282,188510,6212,188510
70,282,189510,6212,189510
70,282,190510,6212,190510
70,282,191510,6212,191510
70,282,192510,6212,192510
70,282,193320,6212,193320
70,282,194320,6212,194320
71,290,195320,6212,195320
72,292,196320,6212,196320
72,292,197320,6212,197320
72,292,197320,6212,197320
72,292,197640,6212,197640
72,292,197640,6212,197640
72,292,198640,6212,198640
73,300,199640,6212,199640
73,300,200640,6212,200640
73,300,201640,6212,201640
73,300,202290,6212,202290
73,300,202290,6212,202290
74,308,202290,6212,202290
74,308,203100,6212,203100
74,308,203100,6212,203100
74,308,204100,6212,204100
74,308,204910,6212,204910
74,308,205720,6212,205720
74,308,206720,6212,206720
74,308,207190,6212,207190
74,308,208190,6212,208190
74,308,209000,6212,209000
74,308,210000,6212,210000
74,308,211000,6212,211000
74,308,211810,6212,211810
74,308,212810,6212,212810
75,310,212810,6212,212810
75,310,213620,6212,213620
76,312,214620,6212,214620
76,312,214940,6212,214940
76,312,215940,6212,215940
76,312,216940,6212,216940
76,312,217310,6212,217310
76,312,218310,6212,218310
77,314,219310,6212,219310
77,314,220310,6212,220310
78,316,221310,6212,221310
78,316,222310,6212,222310
79,324,230310,6212,230310
79,324,230310,6212,230310
79,324,231310,6212,231310
79,324,231310,6212,231310
80,332,232310,6212,232310
80,332,233310,6212,233310
80,332,233310,6212,233310
80,332,233310,6212,233310
80,332,234120,6212,234120
80,332,234120,6212,234120
80,332,234120,6212,234120
80,332,235120,6212,235120
80,332,235930,6212,235930
80,332,235930,6212,235930
80,332,236930,6212,236930
80,332,237740,6212,237740
80,332,238740,6212,238740
80,332,239550,6212,239550
80,332,240550,6212,240550
80,332,241020,6212,241020
80,332,243020,6212,243020
80,332,243020,6212,243020
80,332,243020,6212,243020
81,334,243830,6212,243830
81,334,244300,6212,244300
81,334,244410,6212,244410
81,334,245410,6212,245410
81,334,246220,6212,246220
82,342,247220,6212,247220
82,342,247220,6212,247220
82,342,247220,6212,247220
82,342,247440,6212,247440
82,342,248090,6212,248090
82,342,249090,6212,249090
82,342,249900,6212,249900
82,342,250370,6212,250370
82,342,250370,6212,250370
82,342,251370,6212,251370
82,342,251370,6212,251370
82,342,251370,6212,251370
82,342,252370,6212,252370
83,344,252370,6212,252370
83,344,252370,6212,252370
83,344,253370,6212,253370
83,344,254370,6212,254370
83,344,254690,6212,254690
83,344,255500,6212,255500
84,352,256500,6212,256500
84,352,257500,6212,257500
84,352,258500,6212,258500
84,352,259500,6212,259500
84,352,260500,6212,260500
84,352,260500,6212,260500
84,352,260500,6212,260500
84,352,260970,6212,260970
84,352,261780,6212,261780
84,352,262780,6212,262780
84,352,263780,6212,263780
84,352,264430,6212,264430
85,360,265430,6212,265430
85,360,265430,6212,265430
85,360,265750,6212,265750
85,360,266750,6212,266750
85,360,266750,6212,266750
85,360,267340,6212,267340
85,360,268340,6212,268340
85,360,269340,6212,269340
86,362,269340,6212,269340
86,362,269340,6212,269340
86,362,269340,6212,269340
86,362,270340,6212,270340
87,366,270340,6212,270340
87,366,271340,6212,271340
88,374,279340,6212,279340
88,374,279810,6212,279810
89,376,280810,6212,280810
89,376,281810,6212,281810
89,376,282280,6212,282280
89,376,282280,6212,282280
90,378,283280,6212,283280
90,378,284280,6212,284280
91,380,285280,6212,285280
91,380,287280,6212,287280
91,380,288090,6212,288090
91,380,289090,6212,289090
92,382,290090,6212,290090
92,382,290900,6212,290900
92,382,290900,6212,290900
92,382,291900,6212,291900
92,382,292900,6212,292900
92,382,292900,6212,292900
93,390,293900,6212,293900
93,390,294710,6212,294710
93,390,294710,6212,294710
93,390,294710,6212,294710
93,390,295360,6212,295360
93,390,296170,6212,296170
93,390,296980,6212,296980
93,390,297450,6212,297450
93,390,298450,6212,298450
93,390,298450,6212,298450
93,390,299450,6212,299450
93,390,300450,6212,300450
93,390,300450,6212,300450
93,390,301450,6212,301450
93,390,301450,6212,301450
94,392,302450,6212,302450
94,392,303100,6212,303100
94,392,304100,6212,304100
94,392,304420,6212,304420
94,392,304420,6212,304420
94,392,304890,6212,304890
94,392,304890,6212,304890
95,400,305890,6212,305890
95,400,306120,6212,306120
95,400,307120,6212,307120
95,400,307590,6212,307590
95,400,308400,6212,308400
95,400,308870,6212,308870
95,400,309870,6212,309870
95,400,310330,6212,310330
95,400,311140,6212,311140
95,400,312140,6212,312140
95,400,312610,6212,312610
96,408,313610,6212,313610
96,408,314610,6212,314610
96,408,315610,6212,315610
96,408,316610,6212,316610
96,408,316610,6212,316610
96,408,317080,6212,317080
96,408,318080,6212,318080
96,408,319080,6212,319080
96,408,319550,6212,319550
96,408,319550,6212,319550
96,408,320360,6212,320360
96,408,320360,6212,320360
96,408,320830,6212,320830
96,408,321830,6212,321830
97,410,322830,6212,322830
97,410,322830,6212,322830
97,410,323300,6212,323300
98,412,324300,6212,324300
98,412,324760,6212,324760
98,412,325760,6212,325760
99,420,326230,6212,326230
99,420,326230,6212,326230
99,420,327040,6212,327040
99,420,327850,6212,327850
99,420,328170,6212,328170
99,420,328820,6212,328820
99,420,328820,6212,328820
99,420,329140,6212,329140
99,420,330140,6212,330140
99,420,330140,6212,330140
99,420,331140,6212,331140
99,420,331730,6212,331730
99,420,332050,6212,332050
99,420,333050,6212,333050
100,422,334050,6212,334050
100,422,334050,6212,334050
100,422,334210,6212,334210
100,422,334430,6212,334430
100,422,334430,6212,334430
100,422,335080,6212,335080
100,422,335080,6212,335080
100,422,335080,6212,335080
101,430,336080,6212,336080
101,430,337080,6212,337080
101,430,337890,6212,337890
102,432,338890,6212,338890
102,432,339350,6212,339350
102,432,340350,6212,340350
102,432,340350,6212,340350
102,432,340820,6212,340820
102,432,340820,6212,340820
103,440,344820,6212,344820
103,440,344820,6212,344820
103,440,345280,6212,345280
103,440,346280,6212,346280
103,440,347280,6212,347280
103,440,348280,6212,348280
103,440,349280,6212,349280
104,448,350280,6212,350280
104,448,350440,6212,350440
104,448,350440,6212,350440
104,448,350440,6212,350440
104,448,351440,6212,351440
104,448,352440,6212,352440
104,448,352670,6212,352670
104,448,353670,6212,353670
104,448,354670,6212,354670
105,450,356670,6212,356670
105,450,356670,6212,356670
105,450,357130,6212,357130
105,450,358130,6212,358130
105,450,358130,6212,358130
106,452,359130,6212,359130
106,452,359940,6212,359940
106,452,360940,6212,360940
106,452,361940,6212,361940
107,460,362940,6212,362940
107,460,363940,6212,363940
107,460,364260,6212,364260
107,460,364260,6212,364260
107,460,365260,6212,365260
107,460,365730,6212,365730
107,460,366380,6212,366380
107,460,366850,6212,366850
107,460,367850,6212,367850
107,460,368320,6212,368320
107,460,369320,6212,369320
108,462,369970,6212,369970
108,462,370440,6212,370440
108,462,370670,6212,370670
108,462,371670,6212,371670
109,470,372670,6212,372670
109,470,373670,6212,373670
109,470,373670,6212,373670
109,470,373670,6212,373670
109,470,373670,6212,373670
109,470,374670,6212,374670
109,470,375670,6212,375670
110,478,383670,6212,383670
110,478,383900,6212,383900
110,478,383900,6212,383900
111,482,384710,6212,384710
111,482,385180,6212,385180
111,482,386180,6212,386180
111,482,386180,6212,386180
111,482,386180,6212,386180
112,484,387180,6212,387180
112,484,388180,6212,388180
112,484,388180,6212,388180
113,486,389180,6212,389180
113,486,390180,6212,390180
114,488,391180,6212,391180
114,488,391180,6212,391180
114,488,391990,6212,391990
114,488,392990,6212,392990
115,490,393990,6212,393990
115,490,394990,6212,394990
115,490,395220,6212,395220
115,490,396030,6212,396030
116,498,397030,6212,397030
116,498,397350,6212,397350
116,498,397720,6212,397720
116,498,398720,6212,398720
116,498,398720,6212,398720
116,498,399720,6212,399720
116,498,399720,6212,399720
116,498,399720,6212,399720
116,498,399880,6212,399880
116,498,399880,6212,399880
116,498,400880,6212,400880
116,498,401530,6212,401530
116,498,402340,6212,402340
116,498,402810,6212,402810
116,498,402810,6212,402810
116,498,403810,6212,403810
116,498,404400,6212,404400
116,498,405210,6212,405210
117,506,406210,6212,406210
117,506,407210,6212,407210
117,506,408210,6212,408210
117,506,409210,6212,409210
117,506,409760,6212,409760
117,506,410760,6212,410760
117,506,411760,6212,411760
117,506,412230,6212,412230
117,506,412700,6212,412700
118,508,413700,6212,413700
118,508,413700,6212,413700
118,508,414170,6212,414170
119,516,422170,6212,422170
120,518,422820,6212,422820
120,518,423820,6212,423820
121,526,424820,6212,424820
121,526,425820,6212,425820
121,526,426470,6212,426470
121,526,426790,6212,426790
121,526,426790,6212,426790
121,526,427790,6212,427790
121,526,427790,6212,427790
121,526,427790,6212,427790
121,526,428110,6212,428110
122,534,436110,6212,436110
122,534,436340,6212,436340
122,534,437340,6212,437340
