ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
234,528,291700,6212,291700
235,530,292510,6212,292510
235,530,292830,6212,292830
235,530,293640,6212,293640
236,532,294290,6212,294290
236,532,294940,6212,294940
237,534,295750,6212,295750
237,534,296220,6212,296220
237,534,296540,6212,296540
237,534,296650,6212,296650
237,534,297120,6212,297120
237,534,297120,6212,297120
238,536,297590,6212,297590
238,536,297590,6212,297590
238,536,297590,6212,297590
238,536,298240,6212,298240
239,538,299050,6212,299050
239,538,299640,6212,299640
239,538,299640,6212,299640
240,540,300450,6212,300450
240,540,301040,6212,301040
241,542,302040,6212,302040
241,542,302510,6212,302510
241,542,302730,6212,302730
241,542,303540,6212,303540
242,544,304010,6212,304010
242,544,304010,6212,304010
242,544,305010,6212,305010
243,546,305820,6212,305820
243,546,306290,6212,306290
243,546,306940,6212,306940
244,548,307490,6212,307490
244,548,308300,6212,308300
245,550,308950,6212,308950
245,550,309420,6212,309420
246,552,310230,6212,310230
246,552,310550,6212,310550
246,552,311360,6212,311360
247,554,311950,6212,311950
247,554,311950,6212,311950
247,554,312420,6212,312420
247,554,312890,6212,312890
247,554,312940,6212,312940
247,554,312940,6212,312940
247,554,313260,6212,313260
247,554,313730,6212,313730
247,554,314050,6212,314050
248,556,315050,6212,315050
248,556,316050,6212,316050
249,558,316860,6212,316860
249,558,316860,6212,316860
249,558,316860,6212,316860
249,558,317670,6212,317670
249,558,317670,6212,317670
249,558,317670,6212,317670
250,560,318480,6212,318480
250,560,319030,6212,319030
251,562,319840,6212,319840
251,562,320160,6212,320160
251,562,320480,6212,320480
251,562,320950,6212,320950
251,562,321410,6212,321410
252,564,322220,6212,322220
252,564,322870,6212,322870
253,566,323340,6212,323340
253,566,324150,6212,324150
253,566,324470,6212,324470
253,566,324470,6212,324470
253,566,324940,6212,324940
254,568,325750,6212,325750
254,568,326070,6212,326070
254,568,326620,6212,326620
254,568,326620,6212,326620
255,570,327430,6212,327430
255,570,328240,6212,328240
