ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
1213,6212,5911070,6212,6483060
1213,6212,5911070,6212,6483610
1213,6212,5911070,6212,6484080
1213,6212,5911070,6212,6485080
1213,6212,5911070,6212,6486080
1213,6212,5911070,6212,6486890
1213,6212,5911070,6212,6486890
1213,6212,5911070,6212,6486890
1213,6212,5911070,6212,6487890
1213,6212,5911070,6212,6488890
1213,6212,5911070,6212,6489890
1213,6212,5911070,6212,6490350
1213,6212,5911070,6212,6491350
1213,6212,5911070,6212,6492350
1213,6212,5911070,6212,6492350
1213,6212,5911070,6212,6493350
1213,6212,5911070,6212,6494350
1213,6212,5911070,6212,6495160
1213,6212,5911070,6212,6495970
1213,6212,5911070,6212,6496970
1213,6212,5911070,6212,6497780
1213,6212,5911070,6212,6498780
1213,6212,5911070,6212,6499330
1213,6212,5911070,6212,6500140
1213,6212,5911070,6212,6501140
1213,6212,5911070,6212,6501460
1213,6212,5911070,6212,6502270
1213,6212,5911070,6212,6503270
1213,6212,5911070,6212,6503920
1213,6212,5911070,6212,6504920
1213,6212,5911070,6212,6505570
1213,6212,5911070,6212,6506570
1213,6212,5911070,6212,6507570
1213,6212,5911070,6212,6508380
1213,6212,5911070,6212,6509380
1213,6212,5911070,6212,6509380
1213,6212,5911070,6212,6510380
1213,6212,5911070,6212,6511380
1213,6212,5911070,6212,6512380
1213,6212,5911070,6212,6513380
1213,6212,5911070,6212,6513700
1213,6212,5911070,6212,6514700
1213,6212,5911070,6212,6515700
1213,6212,5911070,6212,6516510
1213,6212,5911070,6212,6516980
1213,6212,5911070,6212,6517980
1213,6212,5911070,6212,6517980
1213,6212,5911070,6212,6518980
1213,6212,5911070,6212,6519980
1213,6212,5911070,6212,6520980
1213,6212,5911070,6212,6521980
1213,6212,5911070,6212,6522980
1213,6212,5911070,6212,6523300
1213,6212,5911070,6212,6524300
1213,6212,5911070,6212,6524300
1213,6212,5911070,6212,6525300
1213,6212,5911070,6212,6525620
1213,6212,5911070,6212,6526620
1213,6212,5911070,6212,6527210
1213,6212,5911070,6212,6528020
1213,6212,5911070,6212,6528490
1213,6212,5911070,6212,6529490
1213,6212,5911070,6212,6530490
1213,6212,5911070,6212,6531080
1213,6212,5911070,6212,6532080
1213,6212,5911070,6212,6533080
1213,6212,5911070,6212,6534080
1213,6212,5911070,6212,6534550
1213,6212,5911070,6212,6535550
1213,6212,5911070,6212,6536020
1213,6212,5911070,6212,6536240
1213,6212,5911070,6212,6536610
1213,6212,5911070,6212,6537610
1213,6212,5911070,6212,6538610
1213,6212,5911070,6212,6538840
1213,6212,5911070,6212,6538840
1213,6212,5911070,6212,6539300
1213,6212,5911070,6212,6540110
1213,6212,5911070,6212,6541110
1213,6212,5911070,6212,6541110
1213,6212,5911070,6212,6541110
1213,6212,5911070,6212,6542110
1213,6212,5911070,6212,6542920
1213,6212,5911070,6212,6543240
1213,6212,5911070,6212,6543240
1213,6212,5911070,6212,6544240
1213,6212,5911070,6212,6545240
1213,6212,5911070,6212,6546240
1213,6212,5911070,6212,6546460
1213,6212,5911070,6212,6546830
1213,6212,5911070,6212,6547640
1213,6212,5911070,6212,6547960
1213,6212,5911070,6212,6548960
1213,6212,5911070,6212,6549430
1213,6212,5911070,6212,6550430
1213,6212,5911070,6212,6551430
1213,6212,5911070,6212,6552080
1213,6212,5911070,6212,6552540
1213,6212,5911070,6212,6553540
1213,6212,5911070,6212,6554540
1213,6212,5911070,6212,6554540
1213,6212,5911230,6212,6554700
1213,6212,5911230,6212,6555170
1213,6212,5911230,6212,6555170
1213,6212,5911390,6212,6555330
1213,6212,5911390,6212,6556330
1213,6212,5911390,6212,6556790
1213,6212,5911390,6212,6557020
1213,6212,5911390,6212,6557250
1213,6212,5911390,6212,6557250
1213,6212,5911390,6212,6558250
1213,6212,5911390,6212,6559250
1213,6212,5911390,6212,6559480
1213,6212,5911390,6212,6559940
1213,6212,5911390,6212,6560940
1213,6212,5911390,6212,6561410
1213,6212,5911550,6212,6561570
1213,6212,5911550,6212,6562570
1213,6212,5911550,6212,6562570
1213,6212,5911550,6212,6563570
1213,6212,5911550,6212,6564570
1213,6212,5911550,6212,6564570
1213,6212,5911550,6212,6564570
1213,6212,5911550,6212,6565380
1213,6212,5911550,6212,6565850
1213,6212,5911550,6212,6566080
1213,6212,5911710,6212,6566240
1213,6212,5911710,6212,6567240
1213,6212,5911710,6212,6567240
1213,6212,5911710,6212,6568240
1213,6212,5911710,6212,6569240
1213,6212,5911710,6212,6570240
1213,6212,5911710,6212,6570560
1213,6212,5911710,6212,6570880
1213,6212,5911710,6212,6571880
1213,6212,5911710,6212,6571880
1213,6212,5911710,6212,6572690
1213,6212,5911710,6212,6573010
1213,6212,5911710,6212,6573010
1213,6212,5911710,6212,6573010
1213,6212,5911710,6212,6573010
1213,6212,5911710,6212,6574010
1213,6212,5911710,6212,6574480
1213,6212,5911710,6212,6575030
1213,6212,5911710,6212,6576030
1213,6212,5911710,6212,6577030
1213,6212,5911710,6212,6578030
1213,6212,5911710,6212,6579030
1213,6212,5911710,6212,6580030
1213,6212,5911710,6212,6581030
1213,6212,5911710,6212,6589030
1213,6212,5911710,6212,6589840
1213,6212,5911710,6212,6589840
1213,6212,5911710,6212,6590490
1213,6212,5911710,6212,6591490
1213,6212,5911710,6212,6592490
1213,6212,5911710,6212,6592960
1213,6212,5911710,6212,6592960
1213,6212,5911710,6212,6593770
1213,6212,5911710,6212,6594580
1213,6212,5911710,6212,6595580
1213,6212,5911710,6212,6595580
1213,6212,5911710,6212,6596580
1213,6212,5911710,6212,6597040
1213,6212,5911710,6212,6598040
1213,6212,5911710,6212,6599040
1213,6212,5911710,6212,6600040
1213,6212,5911710,6212,6600040
1213,6212,5911710,6212,6601040
1213,6212,5911710,6212,6601850
1213,6212,5911710,6212,6602850
1213,6212,5911710,6212,6603850
1213,6212,5911710,6212,6604660
1213,6212,5911710,6212,6605030
1213,6212,5911710,6212,6605500
1213,6212,5911710,6212,6606500
1213,6212,5911710,6212,6607500
1213,6212,5911710,6212,6607960
1213,6212,5911710,6212,6608960
1213,6212,5911710,6212,6609960
1213,6212,5911710,6212,6610960
1213,6212,5911710,6212,6611960
1213,6212,5911710,6212,6612960
1213,6212,5911710,6212,6613430
1213,6212,5911710,6212,6614430
1213,6212,5911710,6212,6615430
1213,6212,5911710,6212,6615430
1213,6212,5911710,6212,6616430
1213,6212,5911710,6212,6617430
1213,6212,5911710,6212,6617900
1213,6212,5911710,6212,6618900
1213,6212,5911710,6212,6619900
1213,6212,5911710,6212,6620900
1213,6212,5911710,6212,6621900
