ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
108,452,390730,6212,390730
108,452,391200,6212,391200
109,460,391670,6212,391670
109,460,392480,6212,392480
109,460,393290,6212,393290
109,460,394290,6212,394290
109,460,395100,6212,395100
109,460,396100,6212,396100
109,460,397100,6212,397100
109,460,397910,6212,397910
110,468,398910,6212,398910
110,468,399720,6212,399720
110,468,400530,6212,400530
110,468,401530,6212,401530
110,468,402530,6212,402530
110,468,403010,6212,403010
110,468,404010,6212,404010
110,468,404820,6212,404820
110,468,405820,6212,405820
111,470,406630,6212,406630
111,470,406630,6212,406630
112,478,407100,6212,407100
112,478,407570,6212,407570
112,478,411570,6212,411570
112,478,411890,6212,411890
112,478,412890,6212,412890
112,478,413360,6212,413360
112,478,414170,6212,414170
112,478,414640,6212,414640
112,478,414640,6212,414640
112,478,415110,6212,415110
113,486,416110,6212,416110
113,486,416920,6212,416920
113,486,416920,6212,416920
113,486,417150,6212,417150
113,486,417150,6212,417150
113,486,418150,6212,418150
113,486,418150,6212,418150
113,486,418620,6212,418620
113,486,419090,6212,419090
113,486,419560,6212,419560
113,486,420560,6212,420560
113,486,421560,6212,421560
113,486,422560,6212,422560
113,486,422560,6212,422560
113,486,422890,6212,422890
114,488,423890,6212,423890
114,488,424540,6212,424540
115,490,425350,6212,425350
115,490,426350,6212,426350
116,492,427160,6212,427160
116,492,428160,6212,428160
117,494,428970,6212,428970
117,494,429200,6212,429200
117,494,429200,6212,429200
117,494,429200,6212,429200
117,494,429670,6212,429670
118,502,430480,6212,430480
118,502,430800,6212,430800
118,502,431270,6212,431270
118,502,432270,6212,432270
118,502,433270,6212,433270
118,502,434080,6212,434080
118,502,435080,6212,435080
118,502,435890,6212,435890
118,502,436480,6212,436480
118,502,437480,6212,437480
119,504,437950,6212,437950
119,504,438270,6212,438270
119,504,438740,6212,438740
119,504,439210,6212,439210
120,512,439800,6212,439800
120,512,440800,6212,440800
120,512,440800,6212,440800
120,512,441800,6212,441800
120,512,442270,6212,442270
120,512,442740,6212,442740
120,512,443210,6212,443210
120,512,443860,6212,443860
120,512,444670,6212,444670
