ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
398,2090,343010,6212,343010
399,2098,343010,6212,343010
399,2098,343820,6212,343820
399,2098,344820,6212,344820
400,2100,345050,6212,345050
401,2102,346050,6212,346050
401,2102,346860,6212,346860
402,2110,347670,6212,347670
403,2118,347670,6212,347670
404,2122,348670,6212,348670
405,2124,349020,6212,349020
405,2124,350020,6212,350020
406,2132,351020,6212,351020
407,2140,351020,6212,351020
408,2142,351340,6212,351340
409,2150,352340,6212,352340
409,2150,353340,6212,353340
410,2152,353340,6212,353340
410,2152,354340,6212,354340
410,2152,355340,6212,355340
411,2160,356150,6212,356150
411,2160,357150,6212,357150
412,2162,357150,6212,357150
412,2162,358150,6212,358150
413,2164,359150,6212,359150
414,2168,360150,6212,360150
414,2168,360620,6212,360620
415,2176,361620,6212,361620
416,2178,362620,6212,362620
417,2186,363430,6212,363430
418,2194,364240,6212,364240
418,2194,365240,6212,365240
419,2202,365240,6212,365240
420,2210,365240,6212,365240
420,2210,366240,6212,366240
420,2210,366470,6212,366470
421,2212,367470,6212,367470
422,2220,368470,6212,368470
422,2220,369280,6212,369280
423,2222,369930,6212,369930
424,2230,369930,6212,369930
424,2230,370930,6212,370930
425,2232,371930,6212,371930
425,2232,372390,6212,372390
426,2240,373200,6212,373200
426,2240,374200,6212,374200
426,2240,375200,6212,375200
426,2240,376200,6212,376200
427,2248,377200,6212,377200
428,2250,378010,6212,378010
428,2250,378010,6212,378010
429,2258,379010,6212,379010
429,2258,380010,6212,380010
430,2266,381010,6212,381010
430,2266,381480,6212,381480
430,2266,382480,6212,382480
431,2268,383480,6212,383480
432,2276,383480,6212,383480
432,2276,384480,6212,384480
432,2276,385290,6212,385290
433,2284,385520,6212,385520
434,2292,386520,6212,386520
435,2294,387520,6212,387520
436,2302,388520,6212,388520
436,2302,389520,6212,389520
437,2304,389990,6212,389990
437,2304,390990,6212,390990
437,2304,391990,6212,391990
437,2304,392990,6212,392990
438,2312,393990,6212,393990
438,2312,394800,6212,394800
438,2312,395800,6212,395800
439,2320,396800,6212,396800
440,2322,397800,6212,397800
440,2322,398030,6212,398030
440,2322,398030,6212,398030
441,2330,399030,6212,399030
442,2332,399840,6212,399840
442,2332,400840,6212,400840
442,2332,401840,6212,401840
443,2340,402160,6212,402160
444,2348,403160,6212,403160
444,2348,403160,6212,403160
445,2356,404160,6212,404160
445,2356,404970,6212,404970
446,2358,405520,6212,405520
447,2366,405520,6212,405520
448,2374,405680,6212,405680
448,2374,406000,6212,406000
449,2376,406810,6212,406810
449,2376,407280,6212,407280
450,2378,408280,6212,408280
451,2386,409090,6212,409090
452,2394,409560,6212,409560
453,2402,410020,6212,410020
454,2410,411020,6212,411020
455,2418,412020,6212,412020
456,2426,413020,6212,413020
