ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
192,435,274700,6212,274700
193,436,275510,6212,275510
193,436,275980,6212,275980
193,436,276980,6212,276980
193,436,277980,6212,277980
194,440,278980,6212,278980
195,442,279790,6212,279790
195,442,280790,6212,280790
196,450,288790,6212,288790
197,452,289600,6212,289600
197,452,290600,6212,290600
197,452,291150,6212,291150
197,452,292150,6212,292150
197,452,293150,6212,293150
197,452,293620,6212,293620
198,454,294620,6212,294620
198,454,295430,6212,295430
199,458,296080,6212,296080
199,458,297080,6212,297080
199,458,298080,6212,298080
199,458,299080,6212,299080
200,460,300080,6212,300080
200,460,301080,6212,301080
201,464,302080,6212,302080
202,466,303080,6212,303080
202,466,304080,6212,304080
202,466,304550,6212,304550
202,466,305550,6212,305550
202,466,305550,6212,305550
202,466,306550,6212,306550
202,466,306550,6212,306550
203,468,307550,6212,307550
203,468,308550,6212,308550
203,468,308550,6212,308550
204,470,309550,6212,309550
204,470,309780,6212,309780
204,470,310780,6212,310780
205,472,311780,6212,311780
205,472,311780,6212,311780
205,472,311780,6212,311780
205,472,312240,6212,312240
206,474,313240,6212,313240
206,474,314050,6212,314050
206,474,314050,6212,314050
207,476,315050,6212,315050
207,476,315270,6212,315270
207,476,316270,6212,316270
208,478,317080,6212,317080
208,478,318080,6212,318080
208,478,318540,6212,318540
209,480,319350,6212,319350
209,480,320160,6212,320160
210,482,320810,6212,320810
210,482,321810,6212,321810
210,482,322040,6212,322040
211,484,323040,6212,323040
211,484,324040,6212,324040
212,486,325040,6212,325040
212,486,326040,6212,326040
213,490,326510,6212,326510
213,490,326980,6212,326980
213,490,327980,6212,327980
213,490,328980,6212,328980
213,490,329980,6212,329980
214,492,330980,6212,330980
214,492,331300,6212,331300
214,492,332300,6212,332300
215,494,333110,6212,333110
215,494,333920,6212,333920
216,496,334920,6212,334920
216,496,335920,6212,335920
217,498,336920,6212,336920
217,498,337730,6212,337730
218,500,338540,6212,338540
218,500,339540,6212,339540
219,502,340010,6212,340010
219,502,341010,6212,341010
219,502,341010,6212,341010
219,502,341010,6212,341010
220,504,342010,6212,342010
220,504,342010,6212,342010
220,504,343010,6212,343010
220,504,343010,6212,343010
221,506,343820,6212,343820
221,506,344820,6212,344820
221,506,345050,6212,345050
222,508,346050,6212,346050
222,508,346860,6212,346860
223,510,347670,6212,347670
223,510,347670,6212,347670
223,510,348670,6212,348670
224,512,349020,6212,349020
224,512,350020,6212,350020
225,514,351020,6212,351020
225,514,351020,6212,351020
225,514,351340,6212,351340
225,514,352340,6212,352340
226,516,353340,6212,353340
226,516,353340,6212,353340
226,516,354340,6212,354340
227,518,355340,6212,355340
227,518,356150,6212,356150
228,520,357150,6212,357150
228,520,357150,6212,357150
228,520,358150,6212,358150
229,522,359150,6212,359150
229,522,360150,6212,360150
229,522,360620,6212,360620
230,524,361620,6212,361620
230,524,362620,6212,362620
231,526,363430,6212,363430
231,526,364240,6212,364240
232,528,365240,6212,365240
232,528,365240,6212,365240
232,528,365240,6212,365240
232,528,366240,6212,366240
232,528,366470,6212,366470
233,530,367470,6212,367470
233,530,368470,6212,368470
234,532,369280,6212,369280
234,532,369930,6212,369930
234,532,369930,6212,369930
235,534,370930,6212,370930
235,534,371930,6212,371930
236,536,372390,6212,372390
236,536,373200,6212,373200
237,538,374200,6212,374200
237,538,375200,6212,375200
238,540,376200,6212,376200
238,540,377200,6212,377200
239,542,378010,6212,378010
239,542,378010,6212,378010
239,542,379010,6212,379010
240,544,380010,6212,380010
240,544,381010,6212,381010
240,544,381480,6212,381480
241,546,382480,6212,382480
241,546,383480,6212,383480
241,546,383480,6212,383480
242,548,384480,6212,384480
242,548,385290,6212,385290
242,548,385520,6212,385520
243,550,386520,6212,386520
243,550,387520,6212,387520
244,552,388520,6212,388520
244,552,389520,6212,389520
245,556,389990,6212,389990
245,556,390990,6212,390990
245,556,391990,6212,391990
245,556,392990,6212,392990
246,558,393990,6212,393990
246,558,394800,6212,394800
247,560,395800,6212,395800
247,560,396800,6212,396800
247,560,397800,6212,397800
247,560,398030,6212,398030
247,560,398030,6212,398030
248,562,399030,6212,399030
248,562,399840,6212,399840
249,564,400840,6212,400840
249,564,401840,6212,401840
249,564,402160,6212,402160
250,566,403160,6212,403160
250,566,403160,6212,403160
250,566,404160,6212,404160
251,568,404970,6212,404970
251,568,405520,6212,405520
251,568,405520,6212,405520
251,568,405680,6212,405680
251,568,406000,6212,406000
252,570,406810,6212,406810
252,570,407280,6212,407280
253,572,408280,6212,408280
253,572,409090,6212,409090
253,572,409560,6212,409560
254,574,410020,6212,410020
254,574,411020,6212,411020
255,576,412020,6212,412020
255,576,413020,6212,413020
256,584,413240,6212,413240
256,584,413240,6212,413240
257,586,414240,6212,414240
258,594,422240,6212,422240
258,594,423240,6212,423240
259,596,424050,6212,424050
259,596,424050,6212,424050
259,596,425050,6212,425050
260,598,426050,6212,426050
260,598,426270,6212,426270
260,598,426920,6212,426920
261,600,427920,6212,427920
261,600,428920,6212,428920
262,602,429920,6212,429920
262,602,430570,6212,430570
263,604,431380,6212,431380
263,604,432380,6212,432380
264,606,433030,6212,433030
264,606,433500,6212,433500
264,606,433500,6212,433500
264,606,434310,6212,434310
264,606,434780,6212,434780
264,606,435250,6212,435250
264,606,435720,6212,435720
264,606,436190,6212,436190
265,608,437000,6212,437000
265,608,438000,6212,438000
265,608,438320,6212,438320
265,608,439320,6212,439320
266,610,440130,6212,440130
267,614,440600,6212,440600
267,614,441600,6212,441600
267,614,441920,6212,441920
267,614,442730,6212,442730
267,614,442890,6212,442890
267,614,443890,6212,443890
267,614,444540,6212,444540
267,614,444540,6212,444540
268,616,445540,6212,445540
268,616,446010,6212,446010
269,618,447010,6212,447010
269,618,447330,6212,447330
269,618,448330,6212,448330
270,620,449330,6212,449330
270,620,449700,6212,449700
270,620,450700,6212,450700
271,622,451700,6212,451700
271,622,452700,6212,452700
272,624,453700,6212,453700
272,624,454700,6212,454700
273,626,455700,6212,455700
273,626,456700,6212,456700
273,626,456700,6212,456700
273,626,456700,6212,456700
273,626,456930,6212,456930
274,628,457930,6212,457930
274,628,457930,6212,457930
274,628,458250,6212,458250
274,628,458720,6212,458720
275,630,459720,6212,459720
275,630,460720,6212,460720
276,632,461720,6212,461720
276,632,462530,6212,462530
277,634,463340,6212,463340
277,634,463820,6212,463820
277,634,464820,6212,464820
278,636,465820,6212,465820
278,636,466820,6212,466820
278,636,466820,6212,466820
279,638,467820,6212,467820
279,638,468820,6212,468820
280,640,469630,6212,469630
280,640,470630,6212,470630
281,642,471100,6212,471100
281,642,472100,6212,472100
282,644,472910,6212,472910
282,644,473720,6212,473720
283,646,474720,6212,474720
283,646,475720,6212,475720
284,648,476720,6212,476720
284,648,477530,6212,477530
284,648,477760,6212,477760
285,650,478760,6212,478760
285,650,478760,6212,478760
285,650,479760,6212,479760
285,650,479980,6212,479980
286,652,480450,6212,480450
286,652,481260,6212,481260
287,654,482260,6212,482260
287,654,483260,6212,483260
288,656,484260,6212,484260
288,656,485070,6212,485070
289,658,485660,6212,485660
289,658,486660,6212,486660
290,666,494660,6212,494660
291,668,495210,6212,495210
291,668,496020,6212,496020
291,668,496020,6212,496020
292,670,497020,6212,497020
292,670,498020,6212,498020
292,670,498020,6212,498020
293,672,499020,6212,499020
293,672,500020,6212,500020
293,672,500250,6212,500250
294,674,501250,6212,501250
294,674,501410,6212,501410
294,674,502410,6212,502410
295,676,503410,6212,503410
295,676,504410,6212,504410
296,678,504880,6212,504880
296,678,505350,6212,505350
296,678,505820,6212,505820
297,680,506820,6212,506820
297,680,507630,6212,507630
298,682,508630,6212,508630
298,682,509630,6212,509630
298,682,509950,6212,509950
299,684,510760,6212,510760
299,684,511080,6212,511080
299,684,511550,6212,511550
299,684,512360,6212,512360
300,686,512830,6212,512830
300,686,513830,6212,513830
300,686,514300,6212,514300
300,686,514300,6212,514300
301,688,514620,6212,514620
301,688,515620,6212,515620
302,690,516620,6212,516620
302,690,517430,6212,517430
303,692,518430,6212,518430
303,692,518900,6212,518900
303,692,519220,6212,519220
303,692,519690,6212,519690
304,694,520500,6212,520500
304,694,520970,6212,520970
305,696,521970,6212,521970
305,696,522970,6212,522970
306,698,523970,6212,523970
306,698,523970,6212,523970
306,698,524620,6212,524620
307,700,525620,6212,525620
307,700,526430,6212,526430
307,700,526430,6212,526430
308,702,527240,6212,527240
308,702,528240,6212,528240
309,704,529240,6212,529240
309,704,529710,6212,529710
309,704,529710,6212,529710
309,704,529710,6212,529710
309,704,530710,6212,530710
310,706,531710,6212,531710
310,706,532710,6212,532710
311,708,533710,6212,533710
311,708,534710,6212,534710
311,708,535030,6212,535030
312,710,536030,6212,536030
312,710,537030,6212,537030
312,710,537030,6212,537030
312,710,537030,6212,537030
313,712,538030,6212,538030
313,712,539030,6212,539030
314,714,539500,6212,539500
314,714,540500,6212,540500
314,714,540500,6212,540500
315,716,541150,6212,541150
315,716,542150,6212,542150
315,716,542620,6212,542620
315,716,542620,6212,542620
315,716,542730,6212,542730
316,718,543200,6212,543200
316,718,544200,6212,544200
316,718,544200,6212,544200
317,720,545200,6212,545200
317,720,546200,6212,546200
318,722,547200,6212,547200
318,722,548200,6212,548200
319,724,549200,6212,549200
319,724,550200,6212,550200
320,726,551200,6212,551200
320,726,551430,6212,551430
320,726,552430,6212,552430
321,728,553430,6212,553430
321,728,554240,6212,554240
322,730,555240,6212,555240
322,730,556240,6212,556240
322,730,556700,6212,556700
323,732,557700,6212,557700
323,732,558160,6212,558160
324,734,559160,6212,559160
324,734,559970,6212,559970
324,734,559970,6212,559970
325,736,560970,6212,560970
325,736,561970,6212,561970
326,738,562970,6212,562970
326,738,563780,6212,563780
327,740,564370,6212,564370
327,740,564840,6212,564840
327,740,565840,6212,565840
328,744,569840,6212,569840
328,744,569840,6212,569840
329,746,570310,6212,570310
329,746,570310,6212,570310
329,746,570630,6212,570630
329,746,571440,6212,571440
330,748,572440,6212,572440
330,748,573440,6212,573440
330,748,573440,6212,573440
331,750,574440,6212,574440
331,750,574670,6212,574670
331,750,575670,6212,575670
332,752,576670,6212,576670
332,752,577670,6212,577670
332,752,577670,6212,577670
333,754,578670,6212,578670
333,754,579140,6212,579140
333,754,579790,6212,579790
