ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7fa7-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_ratio
912654.67,14.97,1.37,183593.18,3.01
911957.28,14.96,1.36,182837.75,3.0
911451.14,14.95,1.35,182337.74,2.99
911808.34,14.96,1.36,182111.76,2.99
912131.03,14.97,1.37,181851.27,2.98
912125.35,14.97,1.37,181779.38,2.98
912448.04,14.98,1.38,181518.89,2.98
912917.64,14.98,1.39,181559.9,2.98
913255.78,14.99,1.39,181372.89,2.98
913640.44,15.0,1.4,181657.58,2.98
913683.71,15.0,1.4,181490.65,2.98
912967.25,14.99,1.39,180774.2,2.97
916423.34,15.05,1.45,183798.71,3.02
916780.54,15.06,1.46,183572.73,3.01
917118.68,15.06,1.47,183385.72,3.01
916611.28,15.06,1.46,182820.3,3.0
916949.42,15.07,1.47,182633.28,3.0
919090.03,15.1,1.5,184601.34,3.03
919428.17,15.11,1.51,184414.33,3.03
920284.59,15.12,1.53,184753.78,3.04
919777.19,15.12,1.52,184188.36,3.03
920134.39,15.13,1.53,183962.38,3.02
920821.26,15.14,1.54,184059.96,3.03
924277.36,15.2,1.6,187084.47,3.08
925918.1,15.22,1.62,188142.04,3.09
926337.88,15.23,1.63,188960.0,3.11
926321.75,15.23,1.63,188949.98,3.11
926047.81,15.23,1.63,188676.04,3.1
925554.54,15.22,1.62,188182.77,3.09
925718.33,15.23,1.63,189098.22,3.11
925210.93,15.22,1.62,188544.89,3.1
927503.23,15.26,1.66,189653.95,3.12
929143.98,15.28,1.69,190711.52,3.14
929482.12,15.29,1.69,190524.51,3.13
928974.72,15.29,1.69,189971.18,3.13
929017.98,15.29,1.69,189804.26,3.12
929149.33,15.29,1.69,189558.72,3.12
928622.87,15.28,1.68,189032.26,3.11
928617.19,15.28,1.69,188960.37,3.11
927935.24,15.27,1.68,188278.42,3.1
928575.99,15.29,1.69,188335.99,3.1
927970.78,15.28,1.68,187615.7,3.09
928657.66,15.29,1.7,187713.28,3.09
929298.4,15.31,1.71,187770.85,3.09
928805.13,15.3,1.7,187277.58,3.09
931266.63,15.34,1.74,190539.13,3.14
931623.83,15.35,1.75,190313.16,3.14
931961.97,15.36,1.76,190126.15,3.13
931264.57,15.35,1.75,189370.72,3.12
930848.05,15.34,1.75,188954.2,3.11
930780.65,15.34,1.75,188828.77,3.11
930705.44,15.34,1.75,188638.49,3.11
931028.13,15.35,1.75,188378.0,3.11
931884.55,15.37,1.77,188717.46,3.11
932222.69,15.37,1.78,188518.35,3.11
932560.83,15.38,1.78,188331.34,3.11
932485.63,15.38,1.78,188141.06,3.1
932823.77,15.39,1.79,187941.95,3.1
932297.32,15.38,1.79,187415.49,3.09
931789.92,15.38,1.78,186850.07,3.08
931092.52,15.37,1.77,186094.64,3.07
931425.76,15.37,1.78,186974.63,3.09
931763.91,15.38,1.78,186787.62,3.08
932620.32,15.4,1.8,187127.08,3.09
932015.12,15.39,1.79,186406.8,3.08
931939.92,15.39,1.79,186216.51,3.08
931872.52,15.39,1.79,186091.09,3.07
932210.66,15.4,1.8,185891.98,3.07
931684.21,15.39,1.79,185365.53,3.06
931178.07,15.39,1.79,184865.51,3.05
931036.13,15.38,1.79,184723.56,3.05
930530.0,15.38,1.78,184223.54,3.04
931216.87,15.39,1.79,184321.12,3.05
932146.65,15.41,1.81,185554.56,3.07
933377.4,15.43,1.83,186423.09,3.08
936833.49,15.48,1.89,189447.6,3.13
940289.58,15.54,1.94,192472.11,3.18
940646.78,15.55,1.95,192246.13,3.18
940120.32,15.54,1.95,191719.68,3.17
939576.41,15.54,1.95,191513.88,3.17
940217.15,15.56,1.96,191571.45,3.17
941719.09,15.58,1.99,192932.12,3.19
941882.88,15.59,1.99,193847.58,3.21
941185.48,15.58,1.98,193092.15,3.2
941349.27,15.59,1.99,194007.6,3.21
943171.57,15.62,2.02,194646.66,3.22
944673.5,15.65,2.05,196007.34,3.25
945314.24,15.66,2.06,196064.9,3.25
947136.54,15.69,2.09,196703.96,3.26
947474.68,15.7,2.1,196504.85,3.26
947338.7,15.7,2.1,196490.05,3.26
946831.31,15.69,2.09,195936.73,3.25
946695.33,15.69,2.09,195865.18,3.25
947573.4,15.71,2.11,195900.85,3.25
946876.0,15.7,2.1,195145.42,3.24
946740.03,15.7,2.1,195130.62,3.24
946604.05,15.7,2.1,195059.07,3.24
946468.07,15.7,2.1,195060.06,3.24
946332.1,15.7,2.1,194972.73,3.23
946636.27,15.71,2.11,194953.22,3.23
945938.87,15.7,2.1,194209.89,3.22
945938.87,15.7,2.1,194209.89,3.22
945802.89,15.7,2.1,194585.26,3.23
945666.91,15.7,2.1,194586.25,3.23
945530.94,15.7,2.1,194498.91,3.23
945308.04,15.7,2.1,194244.04,3.23
944800.64,15.69,2.09,193678.62,3.22
944293.24,15.68,2.09,193125.29,3.21
944045.84,15.68,2.08,192831.96,3.2
944341.86,15.69,2.09,192762.83,3.2
944341.86,15.69,2.09,192762.83,3.2
944648.59,15.69,2.1,193021.24,3.21
944276.6,15.69,2.09,192998.85,3.21
944759.45,15.7,2.1,193984.87,3.22
944043.0,15.69,2.09,193268.42,3.21
943536.87,15.68,2.08,192768.4,3.2
943479.18,15.68,2.08,192748.3,3.2
943079.17,15.68,2.08,192127.34,3.19
943079.17,15.68,2.08,192157.25,3.19
943244.73,15.68,2.08,192032.5,3.19
943408.52,15.69,2.09,192947.95,3.21
944290.82,15.7,2.11,192647.02,3.2
943792.17,15.7,2.1,192251.58,3.2
943656.19,15.7,2.1,192320.99,3.2
943520.21,15.7,2.1,192351.58,3.2
943816.23,15.71,2.11,192611.54,3.21
943680.26,15.71,2.11,192596.74,3.21
943280.25,15.7,2.1,191975.78,3.2
943144.27,15.7,2.1,191904.23,3.19
942772.27,15.7,2.1,191587.33,3.19
942772.27,15.7,2.1,191587.33,3.19
942372.27,15.69,2.09,190966.37,3.18
941972.26,15.69,2.09,190345.41,3.17
941972.26,15.69,2.09,190345.41,3.17
