ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
66,167,124600,6212,124600
67,169,125600,6212,125600
67,169,125600,6212,125600
67,169,126600,6212,126600
67,169,127070,6212,127070
68,171,127880,6212,127880
68,171,128880,6212,128880
69,173,129530,6212,129530
69,173,129530,6212,129530
69,173,129530,6212,129530
69,173,129760,6212,129760
69,173,130080,6212,130080
69,173,130400,6212,130400
70,174,131210,6212,131210
71,176,132210,6212,132210
71,176,133020,6212,133020
71,176,133020,6212,133020
71,176,133020,6212,133020
72,178,134020,6212,134020
72,178,134830,6212,134830
72,178,134830,6212,134830
72,178,134830,6212,134830
73,179,135640,6212,135640
73,179,135960,6212,135960
74,180,136960,6212,136960
75,182,137960,6212,137960
75,182,138960,6212,138960
76,184,139610,6212,139610
77,186,140610,6212,140610
77,186,141420,6212,141420
77,186,141420,6212,141420
77,186,142420,6212,142420
78,188,143420,6212,143420
78,188,144420,6212,144420
79,190,145230,6212,145230
79,190,145600,6212,145600
79,190,146070,6212,146070
80,192,147070,6212,147070
80,192,147540,6212,147540
81,194,148540,6212,148540
82,196,149540,6212,149540
82,196,150010,6212,150010
82,196,151010,6212,151010
82,196,151820,6212,151820
83,198,152630,6212,152630
83,198,153630,6212,153630
83,198,153630,6212,153630
84,202,154630,6212,154630
84,202,155100,6212,155100
84,202,156100,6212,156100
84,202,156570,6212,156570
84,202,156940,6212,156940
85,204,157940,6212,157940
85,204,158750,6212,158750
86,206,159560,6212,159560
86,206,160020,6212,160020
86,206,160830,6212,160830
87,208,161480,6212,161480
87,208,161710,6212,161710
87,208,161710,6212,161710
87,208,161710,6212,161710
87,208,161710,6212,161710
87,208,162710,6212,162710
88,210,163520,6212,163520
89,214,167520,6212,167520
89,214,168520,6212,168520
90,222,169520,6212,169520
90,222,170520,6212,170520
90,222,171520,6212,171520
90,222,172520,6212,172520
90,222,172990,6212,172990
91,224,173990,6212,173990
91,224,174990,6212,174990
91,224,175460,6212,175460
92,226,176460,6212,176460
92,226,177460,6212,177460
93,228,178270,6212,178270
93,228,179270,6212,179270
93,228,179740,6212,179740
94,230,180740,6212,180740
95,234,181740,6212,181740
95,234,182740,6212,182740
95,234,183740,6212,183740
96,236,184740,6212,184740
96,236,185200,6212,185200
96,236,186200,6212,186200
97,244,186200,6212,186200
97,244,187200,6212,187200
98,246,188200,6212,188200
98,246,189200,6212,189200
98,246,189520,6212,189520
99,248,190330,6212,190330
99,248,191140,6212,191140
99,248,191690,6212,191690
100,250,192160,6212,192160
100,250,192160,6212,192160
100,250,192390,6212,192390
101,252,192860,6212,192860
101,252,193080,6212,193080
101,252,194080,6212,194080
101,252,194890,6212,194890
102,254,195890,6212,195890
102,254,196700,6212,196700
102,254,196700,6212,196700
103,256,197170,6212,197170
103,256,198170,6212,198170
104,258,199170,6212,199170
104,258,199980,6212,199980
105,260,200980,6212,200980
105,260,201980,6212,201980
105,260,202450,6212,202450
106,262,203450,6212,203450
106,262,204260,6212,204260
107,264,205260,6212,205260
107,264,205730,6212,205730
107,264,205730,6212,205730
108,266,206540,6212,206540
108,266,207350,6212,207350
108,266,207350,6212,207350
109,268,208350,6212,208350
110,270,209350,6212,209350
110,270,209580,6212,209580
111,272,211580,6212,211580
111,272,211580,6212,211580
111,272,212390,6212,212390
112,280,212390,6212,212390
112,280,213390,6212,213390
113,282,214390,6212,214390
113,282,215200,6212,215200
114,284,216200,6212,216200
114,284,217200,6212,217200
115,286,218200,6212,218200
116,288,219010,6212,219010
116,288,219330,6212,219330
117,290,220140,6212,220140
117,290,221140,6212,221140
118,292,222140,6212,222140
118,292,222140,6212,222140
119,294,223140,6212,223140
119,294,223790,6212,223790
119,294,223790,6212,223790
119,294,224790,6212,224790
120,298,226790,6212,226790
120,298,227020,6212,227020
120,298,227490,6212,227490
120,298,228490,6212,228490
121,300,229300,6212,229300
121,300,230300,6212,230300
122,302,231300,6212,231300
122,302,232300,6212,232300
123,304,233110,6212,233110
123,304,233110,6212,233110
123,304,233920,6212,233920
123,304,234510,6212,234510
123,304,234830,6212,234830
124,306,235830,6212,235830
124,306,235830,6212,235830
124,306,235830,6212,235830
124,306,236300,6212,236300
125,308,237110,6212,237110
125,308,237110,6212,237110
125,308,238110,6212,238110
125,308,238340,6212,238340
126,310,239340,6212,239340
127,312,240340,6212,240340
128,314,241340,6212,241340
128,314,241340,6212,241340
128,314,241660,6212,241660
128,314,242130,6212,242130
129,316,243130,6212,243130
129,316,243130,6212,243130
129,316,243780,6212,243780
129,316,244590,6212,244590
130,324,252590,6212,252590
131,332,253590,6212,253590
131,332,254590,6212,254590
131,332,255590,6212,255590
132,334,256240,6212,256240
132,334,257240,6212,257240
132,334,257710,6212,257710
132,334,258710,6212,258710
132,334,259710,6212,259710
132,334,260710,6212,260710
132,334,261710,6212,261710
133,336,262710,6212,262710
133,336,262940,6212,262940
133,336,263940,6212,263940
133,336,264940,6212,264940
134,338,265750,6212,265750
135,340,266560,6212,266560
135,340,267030,6212,267030
135,340,268030,6212,268030
136,342,269030,6212,269030
136,342,270030,6212,270030
137,344,271030,6212,271030
137,344,271030,6212,271030
138,346,271580,6212,271580
138,346,272050,6212,272050
139,348,272700,6212,272700
139,348,272700,6212,272700
140,350,273700,6212,273700
141,352,274700,6212,274700
141,352,275510,6212,275510
141,352,275980,6212,275980
142,360,276980,6212,276980
142,360,277980,6212,277980
142,360,278980,6212,278980
142,360,279790,6212,279790
142,360,280790,6212,280790
143,368,288790,6212,288790
143,368,289600,6212,289600
143,368,290600,6212,290600
144,370,291150,6212,291150
144,370,292150,6212,292150
145,372,293150,6212,293150
145,372,293620,6212,293620
145,372,294620,6212,294620
145,372,295430,6212,295430
