ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
102,253,244450,6212,244450
103,261,252450,6212,252450
103,261,253450,6212,253450
104,263,254450,6212,254450
104,263,255450,6212,255450
104,263,255450,6212,255450
105,265,256260,6212,256260
106,267,257260,6212,257260
106,267,257260,6212,257260
106,267,258070,6212,258070
106,267,259070,6212,259070
107,268,259660,6212,259660
108,270,260660,6212,260660
108,270,261660,6212,261660
109,272,262660,6212,262660
109,272,263130,6212,263130
110,274,263780,6212,263780
110,274,264590,6212,264590
111,276,265590,6212,265590
112,278,266590,6212,266590
112,278,267590,6212,267590
113,286,275590,6212,275590
113,286,276590,6212,276590
114,288,277590,6212,277590
114,288,278590,6212,278590
115,290,279400,6212,279400
116,292,280400,6212,280400
116,292,280870,6212,280870
116,292,281870,6212,281870
116,292,281870,6212,281870
116,292,282870,6212,282870
117,294,283870,6212,283870
117,294,284870,6212,284870
117,294,284870,6212,284870
117,294,284870,6212,284870
117,294,284920,6212,284920
118,296,285920,6212,285920
119,298,286920,6212,286920
119,298,287240,6212,287240
119,298,288240,6212,288240
119,298,289240,6212,289240
120,300,290240,6212,290240
120,300,290240,6212,290240
121,302,291050,6212,291050
121,302,291050,6212,291050
121,302,291210,6212,291210
121,302,292210,6212,292210
121,302,292210,6212,292210
121,302,293020,6212,293020
121,302,293020,6212,293020
122,310,301020,6212,301020
123,314,305020,6212,305020
124,316,306020,6212,306020
124,316,306020,6212,306020
124,316,306670,6212,306670
125,318,308670,6212,308670
125,318,308670,6212,308670
126,320,309480,6212,309480
126,320,310480,6212,310480
126,320,310480,6212,310480
127,322,311480,6212,311480
127,322,311480,6212,311480
127,322,312480,6212,312480
128,324,313130,6212,313130
128,324,314130,6212,314130
129,326,315130,6212,315130
129,326,316130,6212,316130
129,326,316450,6212,316450
130,328,316920,6212,316920
130,328,317570,6212,317570
130,328,317800,6212,317800
130,328,318270,6212,318270
131,330,319270,6212,319270
132,334,323270,6212,323270
133,336,324080,6212,324080
133,336,324550,6212,324550
134,338,326550,6212,326550
134,338,327550,6212,327550
135,340,329550,6212,329550
136,342,330200,6212,330200
136,342,330850,6212,330850
137,344,331660,6212,331660
137,344,332660,6212,332660
138,346,333130,6212,333130
138,346,334130,6212,334130
138,346,334600,6212,334600
139,348,335600,6212,335600
140,352,339600,6212,339600
140,352,339920,6212,339920
140,352,340920,6212,340920
140,352,341140,6212,341140
141,354,342140,6212,342140
141,354,342140,6212,342140
142,356,343140,6212,343140
142,356,343140,6212,343140
142,356,344140,6212,344140
142,356,344610,6212,344610
143,358,345610,6212,345610
