ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
838419.54,13.95,0.61,319783.08,5.32
838131.84,13.95,0.6,320290.44,5.33
837983.37,13.95,0.6,320267.33,5.33
837834.9,13.95,0.6,320240.8,5.33
837686.42,13.95,0.6,320139.19,5.33
837537.95,13.95,0.6,320112.65,5.33
837379.25,13.94,0.6,319953.95,5.33
837239.5,13.94,0.6,319237.18,5.32
837369.88,13.95,0.6,319381.56,5.32
837221.41,13.95,0.6,319279.95,5.32
836153.93,13.95,0.6,319062.17,5.32
836005.46,13.95,0.6,319035.64,5.32
836005.46,13.95,0.6,319035.64,5.32
835856.99,13.95,0.6,318934.03,5.32
835897.23,13.95,0.61,318378.48,5.31
835937.46,13.95,0.61,318096.87,5.31
835937.46,13.95,0.61,318096.87,5.31
835788.99,13.95,0.61,318024.42,5.31
835651.13,13.95,0.61,317877.22,5.31
835651.13,13.95,0.61,317877.22,5.31
835909.75,13.96,0.61,318593.56,5.32
835761.28,13.96,0.61,318537.87,5.32
835612.81,13.96,0.61,318465.42,5.32
835473.05,13.96,0.61,317837.05,5.31
835473.05,13.96,0.61,317837.05,5.31
835222.86,13.96,0.61,317504.38,5.3
835083.11,13.96,0.61,316787.61,5.29
834832.92,13.95,0.61,316543.34,5.29
834684.45,13.95,0.61,316487.65,5.29
834535.98,13.95,0.61,316461.11,5.29
834387.51,13.95,0.61,316359.5,5.29
834681.05,13.96,0.62,316321.75,5.29
834532.58,13.96,0.62,316673.99,5.3
834532.58,13.96,0.62,316673.99,5.3
834160.57,13.95,0.61,316301.35,5.29
834160.57,13.95,0.61,316301.35,5.29
834200.8,13.96,0.61,316381.47,5.29
834200.8,13.96,0.61,316381.47,5.29
833913.1,13.95,0.61,316095.48,5.29
834198.46,13.96,0.61,316380.5,5.29
834049.98,13.96,0.61,316337.61,5.29
834049.98,13.96,0.61,316337.61,5.29
833759.41,13.95,0.61,316038.96,5.29
833799.64,13.96,0.61,316117.06,5.29
833659.89,13.96,0.61,315488.68,5.28
833759.7,13.96,0.62,315506.02,5.28
833611.23,13.96,0.62,315393.6,5.28
833462.76,13.96,0.62,315377.87,5.28
833641.16,13.96,0.62,315416.82,5.28
833641.16,13.96,0.62,315416.82,5.28
833492.69,13.96,0.62,315570.24,5.29
833118.86,13.96,0.61,315320.57,5.28
833118.86,13.96,0.61,315320.57,5.28
832960.15,13.96,0.61,315165.43,5.28
832811.68,13.96,0.61,315092.98,5.28
833097.04,13.96,0.62,315400.39,5.29
832948.57,13.96,0.62,315287.28,5.28
832988.8,13.96,0.62,315457.48,5.29
832840.33,13.96,0.62,315414.82,5.29
832840.33,13.96,0.62,315414.82,5.29
832840.33,13.96,0.62,315414.82,5.29
832691.86,13.96,0.62,315329.34,5.29
