ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
175,378,240400,6212,240400
175,378,241400,6212,241400
175,378,241870,6212,241870
176,382,242340,6212,242340
176,382,242340,6212,242340
176,382,243150,6212,243150
176,382,243960,6212,243960
176,382,243960,6212,243960
176,382,244960,6212,244960
176,382,245770,6212,245770
176,382,245990,6212,245990
177,386,246460,6212,246460
177,386,247270,6212,247270
177,386,247500,6212,247500
177,386,247970,6212,247970
177,386,248970,6212,248970
177,386,249130,6212,249130
178,390,250130,6212,250130
178,390,250780,6212,250780
178,390,251590,6212,251590
178,390,252140,6212,252140
179,394,252950,6212,252950
179,394,253420,6212,253420
179,394,253420,6212,253420
179,394,254230,6212,254230
179,394,255230,6212,255230
179,394,255690,6212,255690
180,398,256150,6212,256150
180,398,256150,6212,256150
180,398,256620,6212,256620
180,398,257620,6212,257620
180,398,257620,6212,257620
180,398,258430,6212,258430
180,398,259240,6212,259240
181,402,259890,6212,259890
181,402,260890,6212,260890
181,402,261890,6212,261890
182,404,262360,6212,262360
182,404,263170,6212,263170
182,404,263980,6212,263980
182,404,264450,6212,264450
183,408,264920,6212,264920
183,408,265920,6212,265920
183,408,266250,6212,266250
183,408,267250,6212,267250
183,408,268250,6212,268250
184,412,269250,6212,269250
184,412,270250,6212,270250
184,412,271060,6212,271060
184,412,271060,6212,271060
184,412,271710,6212,271710
185,416,272360,6212,272360
185,416,272360,6212,272360
185,416,272950,6212,272950
185,416,273110,6212,273110
185,416,273430,6212,273430
185,416,274430,6212,274430
185,416,275430,6212,275430
186,420,276240,6212,276240
186,420,276710,6212,276710
186,420,277520,6212,277520
186,420,278520,6212,278520
187,424,279330,6212,279330
187,424,279800,6212,279800
187,424,279800,6212,279800
187,424,280610,6212,280610
187,424,280610,6212,280610
187,424,281080,6212,281080
187,424,281730,6212,281730
187,424,281780,6212,281780
187,424,281780,6212,281780
187,424,282250,6212,282250
187,424,282360,6212,282360
187,424,282360,6212,282360
188,428,283360,6212,283360
188,428,283680,6212,283680
188,428,284490,6212,284490
188,428,284950,6212,284950
188,428,285760,6212,285760
188,428,285760,6212,285760
188,428,285990,6212,285990
188,428,285990,6212,285990
189,432,286990,6212,286990
189,432,287460,6212,287460
189,432,287930,6212,287930
189,432,288740,6212,288740
189,432,289330,6212,289330
190,436,289800,6212,289800
190,436,290800,6212,290800
190,436,291030,6212,291030
190,436,291350,6212,291350
190,436,292350,6212,292350
190,436,293350,6212,293350
191,440,294350,6212,294350
191,440,295160,6212,295160
191,440,295160,6212,295160
