ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1274720.11,20.94,0.44,205911.52,3.38
1274526.8,20.94,0.44,205166.82,3.37
1274526.8,20.94,0.44,205166.82,3.37
1274229.45,20.94,0.44,204879.27,3.37
1274024.48,20.94,0.44,204821.87,3.37
1274008.28,20.94,0.44,205002.42,3.37
1273803.31,20.94,0.44,204945.02,3.37
1273598.33,20.94,0.44,204945.02,3.37
1273721.57,20.95,0.45,205012.52,3.37
1273516.59,20.95,0.45,205203.35,3.38
1273311.62,20.95,0.45,205204.94,3.38
1273106.64,20.95,0.45,205145.95,3.38
1273339.95,20.95,0.46,204891.31,3.37
1274088.73,20.97,0.47,205140.84,3.38
1273364.76,20.96,0.46,204363.24,3.36
1273364.76,20.96,0.46,204363.24,3.36
1273364.76,20.96,0.46,204363.24,3.36
1273976.73,20.97,0.47,204490.67,3.37
1273854.11,20.97,0.47,204311.0,3.36
1274087.41,20.98,0.48,204056.35,3.36
1274596.76,20.99,0.49,204024.11,3.36
1274391.78,20.99,0.49,203966.71,3.36
1273872.35,20.98,0.49,203404.95,3.35
1274106.78,20.99,0.49,203829.44,3.36
1273901.8,20.99,0.49,203879.81,3.36
1273696.83,20.99,0.49,203772.04,3.36
1273162.86,20.98,0.49,203184.44,3.35
1272957.89,20.98,0.49,203127.04,3.35
1272659.68,20.98,0.48,202841.31,3.34
1272454.7,20.98,0.48,202841.31,3.34
1272249.73,20.98,0.48,202783.91,3.34
1272249.73,20.98,0.48,202783.91,3.34
1271870.32,20.98,0.48,202419.41,3.34
1271870.32,20.98,0.48,202419.41,3.34
1272104.75,20.98,0.48,202843.87,3.35
1272614.09,20.99,0.5,202811.63,3.35
1272614.09,20.99,0.5,203012.33,3.35
1272614.09,20.99,0.5,204464.77,3.37
1272597.9,21.0,0.5,204559.01,3.37
1272392.92,21.0,0.5,204587.92,3.38
1272971.37,21.01,0.51,204619.12,3.38
1272766.39,21.01,0.51,204620.71,3.38
1272535.63,21.01,0.51,204361.86,3.37
1272330.66,21.01,0.51,204302.87,3.37
1272565.09,21.01,0.51,204382.48,3.37
1272360.11,21.01,0.51,204657.38,3.38
1272079.68,21.01,0.51,204383.52,3.38
1272079.68,21.01,0.51,204383.52,3.38
1272314.11,21.01,0.52,204474.12,3.38
1272636.93,21.02,0.52,204283.22,3.37
1272107.83,21.01,0.51,203759.77,3.37
1271728.42,21.01,0.51,203611.77,3.36
1272056.13,21.01,0.52,204191.99,3.37
1275996.61,21.08,0.58,210509.96,3.48
1275791.64,21.08,0.58,210452.56,3.48
1275288.95,21.07,0.58,209962.34,3.47
1275272.76,21.08,0.58,210142.88,3.47
1274731.6,21.07,0.57,209601.72,3.46
1274715.4,21.07,0.57,209695.96,3.47
1274510.42,21.07,0.57,209724.87,3.47
1274510.42,21.07,0.57,209724.87,3.47
1274305.45,21.07,0.57,209740.16,3.47
1274289.25,21.07,0.58,209817.3,3.47
1274289.25,21.07,0.58,209817.3,3.47
1274412.49,21.08,0.58,209884.8,3.47
1274204.27,21.08,0.58,209958.72,3.47
1274602.49,21.08,0.59,210478.85,3.48
1274418.87,21.08,0.58,210203.05,3.48
1274402.68,21.08,0.59,210297.29,3.48
1274402.68,21.08,0.59,210297.29,3.48
1274645.4,21.09,0.59,210601.24,3.48
1274449.83,21.09,0.59,210489.84,3.48
1274244.85,21.09,0.59,210432.44,3.48
1274086.07,21.09,0.59,210312.61,3.48
1274300.67,21.09,0.59,210723.37,3.49
1274300.67,21.09,0.59,210723.37,3.49
1274095.7,21.09,0.59,210665.97,3.49
1274079.5,21.09,0.6,210846.51,3.49
1273874.52,21.09,0.6,210789.11,3.49
1273874.52,21.09,0.6,210789.11,3.49
1273669.55,21.09,0.6,210789.11,3.49
1273669.55,21.09,0.6,210789.11,3.49
1273301.85,21.09,0.59,210592.71,3.49
1273096.88,21.09,0.59,210594.29,3.49
1273096.88,21.09,0.59,210594.29,3.49
1272891.9,21.09,0.59,210535.31,3.49
1272686.93,21.09,0.59,210477.91,3.49
1272481.95,21.09,0.59,210477.91,3.49
1272323.17,21.09,0.59,210358.08,3.49
1272118.2,21.09,0.59,210373.37,3.49
1272118.2,21.09,0.59,210373.37,3.49
1271913.22,21.09,0.59,210300.68,3.49
1271708.24,21.09,0.59,210243.28,3.49
1271503.27,21.09,0.59,210243.28,3.49
1271745.99,21.09,0.6,210242.66,3.49
1271745.99,21.09,0.6,210242.66,3.49
1271541.01,21.09,0.6,210620.4,3.49
1271524.82,21.1,0.6,210714.64,3.5
1271319.84,21.1,0.6,210743.54,3.5
1271443.08,21.1,0.6,210811.04,3.5
1271443.08,21.1,0.6,210811.04,3.5
1271657.68,21.11,0.61,211433.25,3.51
1271653.14,21.11,0.61,210949.66,3.5
1271355.8,21.11,0.61,210582.68,3.5
1271355.8,21.11,0.61,210582.68,3.5
1271355.8,21.11,0.61,210582.68,3.5
1271355.8,21.11,0.61,210582.68,3.5
1271355.8,21.11,0.61,210582.68,3.5
1271355.8,21.11,0.61,210559.13,3.5
1271150.82,21.11,0.61,210574.42,3.5
1270945.85,21.11,0.61,210501.73,3.5
1270835.85,21.11,0.61,210391.73,3.49
1270835.85,21.11,0.61,210396.99,3.49
1270835.85,21.11,0.61,213384.04,3.54
1275680.03,21.19,0.69,218228.75,3.62
1275302.34,21.18,0.68,217864.23,3.62
1275097.36,21.18,0.68,217879.52,3.62
1274892.39,21.18,0.68,217806.83,3.62
1274876.19,21.18,0.69,217888.21,3.62
1274577.98,21.18,0.68,217490.27,3.61
1274373.0,21.18,0.68,217484.86,3.61
1274356.81,21.18,0.69,217579.1,3.62
1274151.83,21.18,0.69,217608.22,3.62
1274763.79,21.2,0.7,217735.65,3.62
1274159.88,21.19,0.69,217074.68,3.61
1273954.91,21.19,0.69,217089.97,3.61
1273954.91,21.19,0.69,217089.97,3.61
1273749.93,21.19,0.69,217017.28,3.61
1273745.4,21.19,0.69,216533.7,3.6
1273946.76,21.2,0.7,216662.53,3.61
1273741.79,21.2,0.7,216712.93,3.61
1273536.81,21.2,0.7,216605.13,3.61
1273536.81,21.2,0.7,216605.13,3.61
1273714.11,21.2,0.7,216547.73,3.6
1273714.11,21.2,0.7,216547.73,3.6
1273509.14,21.2,0.7,216919.06,3.61
1273219.56,21.2,0.7,216638.3,3.61
1273014.59,21.2,0.7,216580.9,3.61
1272809.61,21.2,0.7,216580.9,3.61
1273044.04,21.2,0.71,216671.5,3.61
1272839.07,21.2,0.71,216854.27,3.61
1272634.09,21.2,0.71,216796.87,3.61
1272429.12,21.2,0.71,216796.87,3.61
