ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
655511.24,10.94,0.72,177309.23,2.96
655597.65,10.95,0.73,177495.73,2.96
655820.94,10.95,0.73,177560.48,2.97
655718.72,10.95,0.73,177725.32,2.97
655718.72,10.95,0.73,177725.32,2.97
655805.12,10.96,0.73,177839.17,2.97
655702.9,10.96,0.73,177820.24,2.97
655600.68,10.96,0.73,177728.55,2.97
655687.09,10.96,0.74,177915.05,2.97
655584.87,10.96,0.74,177823.36,2.97
655910.81,10.97,0.74,178258.33,2.98
655808.59,10.97,0.74,178249.81,2.98
655706.37,10.97,0.74,178166.64,2.98
655501.93,10.97,0.74,178074.95,2.98
655133.76,10.96,0.74,177699.99,2.97
655508.13,10.97,0.75,177477.78,2.97
655302.62,10.97,0.74,177272.75,2.97
655200.4,10.97,0.74,177300.07,2.97
655204.05,10.97,0.74,177303.72,2.97
655616.24,10.97,0.75,177629.62,2.97
655514.02,10.97,0.75,177621.1,2.97
654930.85,10.97,0.74,177037.92,2.96
654828.62,10.97,0.74,176954.76,2.96
655219.04,10.97,0.75,176808.9,2.96
655219.04,10.97,0.75,176808.9,2.96
655039.44,10.97,0.75,176697.12,2.96
655039.44,10.97,0.75,176697.12,2.96
654543.86,10.96,0.74,176141.25,2.95
654934.28,10.97,0.75,175995.4,2.95
655684.59,10.99,0.76,176223.83,2.95
655479.78,10.98,0.76,176020.71,2.95
655348.18,10.98,0.76,175754.06,2.95
655760.37,10.99,0.77,175742.11,2.95
655264.8,10.98,0.76,175186.24,2.94
654780.38,10.98,0.75,175247.97,2.94
654076.52,10.97,0.74,174604.46,2.93
653974.3,10.97,0.74,174492.99,2.93
653872.08,10.97,0.74,174484.47,2.93
653769.86,10.97,0.74,174401.3,2.93
654160.28,10.97,0.75,174255.45,2.92
654486.23,10.98,0.76,174368.3,2.93
654384.01,10.98,0.76,174537.75,2.93
654015.84,10.98,0.75,174223.76,2.92
653913.62,10.98,0.75,174132.07,2.92
653913.62,10.98,0.75,174132.07,2.92
654239.56,10.98,0.76,174567.04,2.93
654137.34,10.98,0.76,174558.52,2.93
654035.12,10.98,0.76,174475.35,2.93
653349.55,10.97,0.75,173729.48,2.92
653247.32,10.97,0.75,173637.79,2.92
653333.73,10.98,0.75,173824.29,2.92
653114.04,10.97,0.75,173576.34,2.92
653200.45,10.98,0.75,173690.19,2.92
653098.23,10.98,0.75,173653.86,2.92
652280.46,10.98,0.75,173653.86,2.92
652606.41,10.98,0.76,173766.71,2.92
652504.19,10.98,0.76,173936.17,2.93
652401.97,10.98,0.76,173927.65,2.93
652243.34,10.98,0.76,173788.44,2.93
652141.12,10.98,0.76,173705.27,2.92
652038.9,10.98,0.76,173613.59,2.92
652262.18,10.99,0.76,173936.11,2.93
652159.96,10.99,0.76,173919.37,2.93
652057.74,10.99,0.76,173844.43,2.93
651955.52,10.99,0.76,173827.68,2.93
651853.3,10.99,0.76,173752.74,2.93
651751.08,10.99,0.76,173662.09,2.93
651648.86,10.99,0.76,173661.05,2.93
651546.64,10.99,0.77,173644.31,2.93
651444.42,10.99,0.77,173569.36,2.93
651834.84,11.0,0.77,173423.51,2.93
651339.26,10.99,0.77,172867.64,2.92
651237.04,10.99,0.77,172775.95,2.92
651134.82,10.99,0.77,172775.95,2.92
651221.22,10.99,0.77,172889.8,2.92
651221.22,10.99,0.77,172915.88,2.92
650853.05,10.99,0.76,172601.89,2.91
650750.83,10.99,0.76,172582.86,2.91
650648.61,10.99,0.76,172566.11,2.91
650546.39,10.99,0.76,172491.17,2.91
650444.17,10.99,0.77,172497.95,2.91
650341.95,10.99,0.77,172399.48,2.91
650239.73,10.99,0.77,172390.96,2.91
650137.51,10.99,0.77,172307.79,2.91
650137.51,10.99,0.77,172291.38,2.91
650463.46,10.99,0.77,172404.23,2.91
650463.46,10.99,0.77,174160.1,2.94
650361.23,10.99,0.77,174329.55,2.95
650155.73,10.99,0.77,174127.02,2.94
650053.51,10.99,0.77,174035.33,2.94
650143.42,10.99,0.77,175108.42,2.96
650041.2,10.99,0.77,175108.42,2.96
649824.05,10.99,0.77,174895.36,2.96
650214.47,11.0,0.78,174749.5,2.96
649856.3,10.99,0.77,174445.51,2.95
649360.73,10.99,0.76,173889.64,2.94
649258.5,10.99,0.76,173881.12,2.94
649344.91,10.99,0.77,173967.15,2.94
649670.86,11.0,0.77,174080.0,2.95
649568.64,11.0,0.77,174249.46,2.95
649655.04,11.0,0.78,174363.31,2.95
649552.82,11.0,0.78,174326.98,2.95
