ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
123,246,199010,6212,199010
123,246,199010,6212,199010
123,246,200010,6212,200010
123,246,200480,6212,200480
124,248,201480,6212,201480
124,248,202480,6212,202480
125,250,203480,6212,203480
125,250,204290,6212,204290
125,250,204290,6212,204290
126,252,205100,6212,205100
126,252,206100,6212,206100
127,254,206910,6212,206910
127,254,207910,6212,207910
128,256,208910,6212,208910
128,256,208910,6212,208910
128,256,209910,6212,209910
129,258,210720,6212,210720
129,258,211720,6212,211720
130,260,212720,6212,212720
130,260,213040,6212,213040
130,260,214040,6212,214040
131,262,214360,6212,214360
131,262,214950,6212,214950
131,262,214950,6212,214950
131,262,215110,6212,215110
131,262,215580,6212,215580
131,262,216050,6212,216050
132,264,217050,6212,217050
133,266,218050,6212,218050
133,266,218050,6212,218050
133,266,218860,6212,218860
133,266,219860,6212,219860
134,268,220860,6212,220860
134,268,221860,6212,221860
135,276,221860,6212,221860
136,278,222860,6212,222860
136,278,223670,6212,223670
137,280,224320,6212,224320
137,280,225320,6212,225320
137,280,225320,6212,225320
138,282,226130,6212,226130
138,282,227130,6212,227130
139,284,228130,6212,228130
139,284,228940,6212,228940
140,286,229940,6212,229940
140,286,230410,6212,230410
141,288,231410,6212,231410
141,288,232410,6212,232410
142,290,234410,6212,234410
142,290,234880,6212,234880
143,292,235880,6212,235880
143,292,236110,6212,236110
144,294,237110,6212,237110
144,294,237430,6212,237430
144,294,237750,6212,237750
145,296,238750,6212,238750
145,296,239340,6212,239340
145,296,240340,6212,240340
146,298,241340,6212,241340
146,298,241340,6212,241340
146,298,241660,6212,241660
146,298,241660,6212,241660
146,298,242470,6212,242470
147,300,243470,6212,243470
148,302,243940,6212,243940
148,302,244170,6212,244170
148,302,244490,6212,244490
149,304,244810,6212,244810
149,304,245620,6212,245620
149,304,246270,6212,246270
149,304,247270,6212,247270
149,304,248270,6212,248270
150,306,249270,6212,249270
150,306,250270,6212,250270
151,308,251270,6212,251270
152,310,251740,6212,251740
152,310,252740,6212,252740
152,310,253210,6212,253210
153,312,254210,6212,254210
153,312,254210,6212,254210
153,312,254680,6212,254680
154,314,255680,6212,255680
154,314,256680,6212,256680
154,314,257680,6212,257680
155,316,258680,6212,258680
155,316,259490,6212,259490
155,316,259810,6212,259810
156,318,260620,6212,260620
156,318,261620,6212,261620
157,326,269620,6212,269620
158,328,270090,6212,270090
158,328,271090,6212,271090
159,330,272090,6212,272090
159,330,272250,6212,272250
159,330,273250,6212,273250
160,332,274250,6212,274250
160,332,274900,6212,274900
161,334,275900,6212,275900
161,334,276900,6212,276900
162,336,277900,6212,277900
162,336,278900,6212,278900
163,338,279900,6212,279900
163,338,280900,6212,280900
164,340,281900,6212,281900
164,340,282900,6212,282900
165,342,283900,6212,283900
165,342,284710,6212,284710
166,344,285710,6212,285710
166,344,286710,6212,286710
167,346,287520,6212,287520
167,346,287520,6212,287520
167,346,287990,6212,287990
167,346,288990,6212,288990
168,348,289990,6212,289990
168,348,290990,6212,290990
169,350,291990,6212,291990
169,350,292990,6212,292990
170,352,293990,6212,293990
170,352,294990,6212,294990
170,352,294990,6212,294990
171,354,295460,6212,295460
171,354,295460,6212,295460
171,354,296460,6212,296460
171,354,296690,6212,296690
172,356,297690,6212,297690
172,356,297690,6212,297690
172,356,298690,6212,298690
172,356,298910,6212,298910
173,358,299910,6212,299910
173,358,300370,6212,300370
173,358,301180,6212,301180
174,360,302180,6212,302180
174,360,302990,6212,302990
175,362,303460,6212,303460
175,362,304460,6212,304460
176,364,305270,6212,305270
176,364,306270,6212,306270
176,364,306270,6212,306270
176,364,306270,6212,306270
177,366,307270,6212,307270
178,368,308270,6212,308270
178,368,309270,6212,309270
179,370,310270,6212,310270
179,370,310920,6212,310920
180,372,311920,6212,311920
180,372,312920,6212,312920
180,372,313920,6212,313920
180,372,314380,6212,314380
181,374,315380,6212,315380
181,374,316380,6212,316380
182,376,317380,6212,317380
182,376,317380,6212,317380
182,376,318380,6212,318380
183,378,318850,6212,318850
183,378,319850,6212,319850
184,380,320850,6212,320850
184,380,321170,6212,321170
184,380,321640,6212,321640
184,380,322110,6212,322110
184,380,322480,6212,322480
185,382,323290,6212,323290
185,382,323760,6212,323760
186,384,324760,6212,324760
186,384,324760,6212,324760
186,384,325760,6212,325760
187,386,326570,6212,326570
187,386,326570,6212,326570
187,386,327040,6212,327040
187,386,328040,6212,328040
188,388,329040,6212,329040
188,388,330040,6212,330040
189,390,330510,6212,330510
189,390,330730,6212,330730
189,390,331730,6212,331730
190,392,332730,6212,332730
191,396,332730,6212,332730
191,396,332730,6212,332730
191,396,333730,6212,333730
192,398,334730,6212,334730
192,398,335730,6212,335730
193,400,336730,6212,336730
193,400,337540,6212,337540
194,402,338000,6212,338000
194,402,339000,6212,339000
194,402,339000,6212,339000
195,404,340000,6212,340000
195,404,340220,6212,340220
195,404,340810,6212,340810
195,404,340810,6212,340810
196,406,341620,6212,341620
196,406,342620,6212,342620
196,406,342620,6212,342620
197,408,343620,6212,343620
198,410,344620,6212,344620
198,410,345430,6212,345430
198,410,345910,6212,345910
199,412,346910,6212,346910
199,412,347910,6212,347910
200,414,348560,6212,348560
200,414,349560,6212,349560
200,414,349720,6212,349720
200,414,350040,6212,350040
201,416,351040,6212,351040
201,416,352040,6212,352040
202,424,352040,6212,352040
203,426,353040,6212,353040
203,426,353040,6212,353040
203,426,353200,6212,353200
203,426,353360,6212,353360
203,426,354170,6212,354170
204,428,355170,6212,355170
204,428,355980,6212,355980
205,430,356980,6212,356980
205,430,357980,6212,357980
206,432,358980,6212,358980
206,432,359790,6212,359790
207,434,360790,6212,360790
207,434,361260,6212,361260
208,436,362260,6212,362260
209,438,363260,6212,363260
209,438,364070,6212,364070
209,438,365070,6212,365070
210,440,366070,6212,366070
210,440,366540,6212,366540
210,440,367540,6212,367540
211,442,368350,6212,368350
211,442,369350,6212,369350
212,444,370350,6212,370350
212,444,370350,6212,370350
213,446,371350,6212,371350
213,446,372350,6212,372350
213,446,372350,6212,372350
214,448,373350,6212,373350
214,448,374350,6212,374350
215,450,375350,6212,375350
215,450,376350,6212,376350
216,452,377350,6212,377350
216,452,377570,6212,377570
216,452,378570,6212,378570
217,454,379570,6212,379570
217,454,380570,6212,380570
218,456,381570,6212,381570
218,456,381570,6212,381570
219,458,382570,6212,382570
219,458,383570,6212,383570
219,458,384570,6212,384570
220,460,385570,6212,385570
220,460,385680,6212,385680
220,460,386490,6212,386490
221,462,387490,6212,387490
221,462,388490,6212,388490
222,464,389490,6212,389490
222,464,389490,6212,389490
222,464,390490,6212,390490
223,466,391300,6212,391300
223,466,391770,6212,391770
224,468,392580,6212,392580
224,468,393230,6212,393230
225,470,394230,6212,394230
225,470,395230,6212,395230
226,472,395600,6212,395600
226,472,396410,6212,396410
227,474,397410,6212,397410
227,474,398220,6212,398220
227,474,398220,6212,398220
228,476,399220,6212,399220
228,476,399220,6212,399220
228,476,400220,6212,400220
229,478,401220,6212,401220
229,478,402220,6212,402220
230,480,403220,6212,403220
230,480,403440,6212,403440
230,480,403910,6212,403910
231,482,404720,6212,404720
231,482,405720,6212,405720
232,484,406720,6212,406720
232,484,407530,6212,407530
233,486,408340,6212,408340
233,486,409340,6212,409340
234,488,410340,6212,410340
234,488,410340,6212,410340
234,488,411340,6212,411340
235,490,412340,6212,412340
235,490,412630,6212,412630
235,490,413100,6212,413100
235,490,414100,6212,414100
236,492,414910,6212,414910
236,492,415720,6212,415720
237,494,416530,6212,416530
237,494,416580,6212,416580
237,494,417050,6212,417050
237,494,417520,6212,417520
238,496,418520,6212,418520
238,496,419330,6212,419330
239,498,419650,6212,419650
