ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
78,240,184740,6212,184740
78,240,185200,6212,185200
78,240,186200,6212,186200
78,240,186200,6212,186200
79,244,187200,6212,187200
79,244,188200,6212,188200
79,244,189200,6212,189200
79,244,189520,6212,189520
79,244,190330,6212,190330
80,248,191140,6212,191140
80,248,191690,6212,191690
81,256,192160,6212,192160
81,256,192160,6212,192160
81,256,192390,6212,192390
81,256,192860,6212,192860
81,256,193080,6212,193080
81,256,194080,6212,194080
81,256,194890,6212,194890
81,256,195890,6212,195890
81,256,196700,6212,196700
81,256,196700,6212,196700
81,256,197170,6212,197170
81,256,198170,6212,198170
81,256,199170,6212,199170
81,256,199980,6212,199980
81,256,200980,6212,200980
81,256,201980,6212,201980
81,256,202450,6212,202450
82,264,203450,6212,203450
82,264,204260,6212,204260
83,272,205260,6212,205260
83,272,205730,6212,205730
83,272,205730,6212,205730
83,272,206540,6212,206540
83,272,207350,6212,207350
83,272,207350,6212,207350
83,272,208350,6212,208350
83,272,209350,6212,209350
83,272,209580,6212,209580
83,272,211580,6212,211580
83,272,211580,6212,211580
84,274,212390,6212,212390
84,274,212390,6212,212390
84,274,213390,6212,213390
84,274,214390,6212,214390
84,274,215200,6212,215200
84,274,216200,6212,216200
84,274,217200,6212,217200
84,274,218200,6212,218200
85,276,219010,6212,219010
85,276,219330,6212,219330
85,276,220140,6212,220140
86,284,221140,6212,221140
86,284,222140,6212,222140
86,284,222140,6212,222140
86,284,223140,6212,223140
87,286,223790,6212,223790
87,286,223790,6212,223790
87,286,224790,6212,224790
87,286,226790,6212,226790
87,286,227020,6212,227020
88,290,227490,6212,227490
89,292,228490,6212,228490
90,294,229300,6212,229300
90,294,230300,6212,230300
90,294,231300,6212,231300
91,302,232300,6212,232300
91,302,233110,6212,233110
91,302,233110,6212,233110
91,302,233920,6212,233920
91,302,234510,6212,234510
91,302,234830,6212,234830
92,304,235830,6212,235830
92,304,235830,6212,235830
92,304,235830,6212,235830
92,304,236300,6212,236300
92,304,237110,6212,237110
92,304,237110,6212,237110
93,306,238110,6212,238110
93,306,238340,6212,238340
93,306,239340,6212,239340
93,306,240340,6212,240340
94,308,241340,6212,241340
95,316,241340,6212,241340
95,316,241660,6212,241660
95,316,242130,6212,242130
95,316,243130,6212,243130
95,316,243130,6212,243130
95,316,243780,6212,243780
96,318,244590,6212,244590
97,326,252590,6212,252590
98,334,253590,6212,253590
98,334,254590,6212,254590
99,342,255590,6212,255590
99,342,256240,6212,256240
99,342,257240,6212,257240
99,342,257710,6212,257710
99,342,258710,6212,258710
99,342,259710,6212,259710
99,342,260710,6212,260710
99,342,261710,6212,261710
100,344,262710,6212,262710
100,344,262940,6212,262940
101,352,263940,6212,263940
101,352,264940,6212,264940
101,352,265750,6212,265750
101,352,266560,6212,266560
102,356,267030,6212,267030
102,356,268030,6212,268030
103,364,269030,6212,269030
103,364,270030,6212,270030
103,364,271030,6212,271030
103,364,271030,6212,271030
104,366,271580,6212,271580
104,366,272050,6212,272050
105,374,272700,6212,272700
105,374,272700,6212,272700
105,374,273700,6212,273700
105,374,274700,6212,274700
105,374,275510,6212,275510
105,374,275980,6212,275980
105,374,276980,6212,276980
106,376,277980,6212,277980
106,376,278980,6212,278980
106,376,279790,6212,279790
106,376,280790,6212,280790
107,384,288790,6212,288790
107,384,289600,6212,289600
108,388,290600,6212,290600
108,388,291150,6212,291150
108,388,292150,6212,292150
109,392,293150,6212,293150
110,396,293620,6212,293620
111,398,294620,6212,294620
111,398,295430,6212,295430
112,402,296080,6212,296080
112,402,297080,6212,297080
112,402,298080,6212,298080
113,406,299080,6212,299080
114,408,300080,6212,300080
114,408,301080,6212,301080
115,412,302080,6212,302080
116,414,303080,6212,303080
116,414,304080,6212,304080
117,422,304550,6212,304550
117,422,305550,6212,305550
118,430,305550,6212,305550
118,430,306550,6212,306550
118,430,306550,6212,306550
118,430,307550,6212,307550
118,430,308550,6212,308550
119,438,308550,6212,308550
119,438,309550,6212,309550
119,438,309780,6212,309780
119,438,310780,6212,310780
119,438,311780,6212,311780
119,438,311780,6212,311780
119,438,311780,6212,311780
119,438,312240,6212,312240
119,438,313240,6212,313240
120,440,314050,6212,314050
120,440,314050,6212,314050
120,440,315050,6212,315050
120,440,315270,6212,315270
120,440,316270,6212,316270
120,440,317080,6212,317080
121,442,318080,6212,318080
121,442,318540,6212,318540
122,446,319350,6212,319350
122,446,320160,6212,320160
122,446,320810,6212,320810
123,448,321810,6212,321810
123,448,322040,6212,322040
124,456,323040,6212,323040
125,458,324040,6212,324040
125,458,325040,6212,325040
125,458,326040,6212,326040
125,458,326510,6212,326510
125,458,326980,6212,326980
125,458,327980,6212,327980
126,466,328980,6212,328980
126,466,329980,6212,329980
126,466,330980,6212,330980
126,466,331300,6212,331300
126,466,332300,6212,332300
126,466,333110,6212,333110
126,466,333920,6212,333920
126,466,334920,6212,334920
126,466,335920,6212,335920
127,468,336920,6212,336920
128,472,337730,6212,337730
128,472,338540,6212,338540
128,472,339540,6212,339540
128,472,340010,6212,340010
128,472,341010,6212,341010
128,472,341010,6212,341010
128,472,341010,6212,341010
128,472,342010,6212,342010
128,472,342010,6212,342010
128,472,343010,6212,343010
128,472,343010,6212,343010
129,476,343820,6212,343820
129,476,344820,6212,344820
129,476,345050,6212,345050
129,476,346050,6212,346050
129,476,346860,6212,346860
130,480,347670,6212,347670
130,480,347670,6212,347670
131,482,348670,6212,348670
131,482,349020,6212,349020
131,482,350020,6212,350020
132,484,351020,6212,351020
132,484,351020,6212,351020
132,484,351340,6212,351340
132,484,352340,6212,352340
133,486,353340,6212,353340
133,486,353340,6212,353340
133,486,354340,6212,354340
134,488,355340,6212,355340
134,488,356150,6212,356150
134,488,357150,6212,357150
134,488,357150,6212,357150
135,496,358150,6212,358150
136,504,359150,6212,359150
137,506,360150,6212,360150
137,506,360620,6212,360620
137,506,361620,6212,361620
137,506,362620,6212,362620
137,506,363430,6212,363430
137,506,364240,6212,364240
137,506,365240,6212,365240
137,506,365240,6212,365240
137,506,365240,6212,365240
137,506,366240,6212,366240
137,506,366470,6212,366470
137,506,367470,6212,367470
137,506,368470,6212,368470
137,506,369280,6212,369280
138,508,369930,6212,369930
138,508,369930,6212,369930
138,508,370930,6212,370930
138,508,371930,6212,371930
138,508,372390,6212,372390
138,508,373200,6212,373200
139,510,374200,6212,374200
139,510,375200,6212,375200
139,510,376200,6212,376200
139,510,377200,6212,377200
139,510,378010,6212,378010
140,518,378010,6212,378010
141,520,379010,6212,379010
141,520,380010,6212,380010
141,520,381010,6212,381010
142,528,381480,6212,381480
142,528,382480,6212,382480
142,528,383480,6212,383480
142,528,383480,6212,383480
143,536,384480,6212,384480
143,536,385290,6212,385290
143,536,385520,6212,385520
143,536,386520,6212,386520
144,538,387520,6212,387520
144,538,388520,6212,388520
144,538,389520,6212,389520
144,538,389990,6212,389990
144,538,390990,6212,390990
144,538,391990,6212,391990
144,538,392990,6212,392990
144,538,393990,6212,393990
145,540,394800,6212,394800
145,540,395800,6212,395800
145,540,396800,6212,396800
145,540,397800,6212,397800
145,540,398030,6212,398030
145,540,398030,6212,398030
145,540,399030,6212,399030
146,544,399840,6212,399840
147,546,400840,6212,400840
148,548,401840,6212,401840
148,548,402160,6212,402160
148,548,403160,6212,403160
148,548,403160,6212,403160
148,548,404160,6212,404160
149,550,404970,6212,404970
149,550,405520,6212,405520
149,550,405520,6212,405520
149,550,405680,6212,405680
149,550,406000,6212,406000
150,552,406810,6212,406810
150,552,407280,6212,407280
150,552,408280,6212,408280
150,552,409090,6212,409090
150,552,409560,6212,409560
150,552,410020,6212,410020
151,560,411020,6212,411020
151,560,412020,6212,412020
151,560,413020,6212,413020
151,560,413240,6212,413240
151,560,413240,6212,413240
151,560,414240,6212,414240
152,568,422240,6212,422240
152,568,423240,6212,423240
153,572,424050,6212,424050
153,572,424050,6212,424050
153,572,425050,6212,425050
153,572,426050,6212,426050
153,572,426270,6212,426270
153,572,426920,6212,426920
153,572,427920,6212,427920
153,572,428920,6212,428920
154,574,429920,6212,429920
154,574,430570,6212,430570
155,578,431380,6212,431380
156,582,432380,6212,432380
156,582,433030,6212,433030
156,582,433500,6212,433500
156,582,433500,6212,433500
156,582,434310,6212,434310
156,582,434780,6212,434780
156,582,435250,6212,435250
156,582,435720,6212,435720
156,582,436190,6212,436190
157,586,437000,6212,437000
158,594,438000,6212,438000
158,594,438320,6212,438320
158,594,439320,6212,439320
159,596,440130,6212,440130
159,596,440600,6212,440600
159,596,441600,6212,441600
159,596,441920,6212,441920
159,596,442730,6212,442730
159,596,442890,6212,442890
159,596,443890,6212,443890
160,598,444540,6212,444540
161,606,444540,6212,444540
162,608,445540,6212,445540
162,608,446010,6212,446010
163,610,447010,6212,447010
163,610,447330,6212,447330
163,610,448330,6212,448330
164,618,449330,6212,449330
164,618,449700,6212,449700
164,618,450700,6212,450700
164,618,451700,6212,451700
164,618,452700,6212,452700
164,618,453700,6212,453700
164,618,454700,6212,454700
164,618,455700,6212,455700
164,618,456700,6212,456700
165,626,456700,6212,456700
165,626,456700,6212,456700
165,626,456930,6212,456930
165,626,457930,6212,457930
165,626,457930,6212,457930
165,626,458250,6212,458250
166,628,458720,6212,458720
166,628,459720,6212,459720
167,636,460720,6212,460720
167,636,461720,6212,461720
168,638,462530,6212,462530
168,638,463340,6212,463340
168,638,463820,6212,463820
168,638,464820,6212,464820
168,638,465820,6212,465820
168,638,466820,6212,466820
168,638,466820,6212,466820
168,638,467820,6212,467820
168,638,468820,6212,468820
168,638,469630,6212,469630
169,642,470630,6212,470630
170,644,471100,6212,471100
170,644,472100,6212,472100
170,644,472910,6212,472910
171,648,473720,6212,473720
172,652,474720,6212,474720
172,652,475720,6212,475720
172,652,476720,6212,476720
172,652,477530,6212,477530
172,652,477760,6212,477760
172,652,478760,6212,478760
172,652,478760,6212,478760
173,660,479760,6212,479760
173,660,479980,6212,479980
173,660,480450,6212,480450
174,662,481260,6212,481260
174,662,482260,6212,482260
175,664,483260,6212,483260
175,664,484260,6212,484260
175,664,485070,6212,485070
175,664,485660,6212,485660
176,666,486660,6212,486660
177,674,494660,6212,494660
177,674,495210,6212,495210
177,674,496020,6212,496020
177,674,496020,6212,496020
177,674,497020,6212,497020
177,674,498020,6212,498020
177,674,498020,6212,498020
178,676,499020,6212,499020
178,676,500020,6212,500020
178,676,500250,6212,500250
178,676,501250,6212,501250
178,676,501410,6212,501410
178,676,502410,6212,502410
178,676,503410,6212,503410
179,680,504410,6212,504410
179,680,504880,6212,504880
180,688,505350,6212,505350
180,688,505820,6212,505820
180,688,506820,6212,506820
180,688,507630,6212,507630
181,690,508630,6212,508630
181,690,509630,6212,509630
181,690,509950,6212,509950
181,690,510760,6212,510760
181,690,511080,6212,511080
181,690,511550,6212,511550
181,690,512360,6212,512360
181,690,512830,6212,512830
181,690,513830,6212,513830
181,690,514300,6212,514300
181,690,514300,6212,514300
181,690,514620,6212,514620
181,690,515620,6212,515620
181,690,516620,6212,516620
181,690,517430,6212,517430
181,690,518430,6212,518430
181,690,518900,6212,518900
181,690,519220,6212,519220
181,690,519690,6212,519690
181,690,520500,6212,520500
182,698,520970,6212,520970
182,698,521970,6212,521970
182,698,522970,6212,522970
182,698,523970,6212,523970
182,698,523970,6212,523970
182,698,524620,6212,524620
182,698,525620,6212,525620
182,698,526430,6212,526430
182,698,526430,6212,526430
182,698,527240,6212,527240
182,698,528240,6212,528240
182,698,529240,6212,529240
182,698,529710,6212,529710
182,698,529710,6212,529710
182,698,529710,6212,529710
182,698,530710,6212,530710
182,698,531710,6212,531710
183,702,532710,6212,532710
183,702,533710,6212,533710
183,702,534710,6212,534710
183,702,535030,6212,535030
184,710,536030,6212,536030
185,718,537030,6212,537030
185,718,537030,6212,537030
186,726,537030,6212,537030
186,726,538030,6212,538030
186,726,539030,6212,539030
186,726,539500,6212,539500
186,726,540500,6212,540500
186,726,540500,6212,540500
186,726,541150,6212,541150
186,726,542150,6212,542150
187,728,542620,6212,542620
187,728,542620,6212,542620
187,728,542730,6212,542730
187,728,543200,6212,543200
187,728,544200,6212,544200
187,728,544200,6212,544200
187,728,545200,6212,545200
187,728,546200,6212,546200
187,728,547200,6212,547200
188,730,548200,6212,548200
188,730,549200,6212,549200
188,730,550200,6212,550200
188,730,551200,6212,551200
188,730,551430,6212,551430
189,738,552430,6212,552430
189,738,553430,6212,553430
189,738,554240,6212,554240
189,738,555240,6212,555240
189,738,556240,6212,556240
189,738,556700,6212,556700
190,740,557700,6212,557700
190,740,558160,6212,558160
190,740,559160,6212,559160
190,740,559970,6212,559970
190,740,559970,6212,559970
190,740,560970,6212,560970
190,740,561970,6212,561970
190,740,562970,6212,562970
190,740,563780,6212,563780
191,742,564370,6212,564370
191,742,564840,6212,564840
192,750,565840,6212,565840
193,758,569840,6212,569840
194,766,569840,6212,569840
194,766,570310,6212,570310
194,766,570310,6212,570310
194,766,570630,6212,570630
194,766,571440,6212,571440
194,766,572440,6212,572440
194,766,573440,6212,573440
194,766,573440,6212,573440
194,766,574440,6212,574440
194,766,574670,6212,574670
194,766,575670,6212,575670
194,766,576670,6212,576670
194,766,577670,6212,577670
194,766,577670,6212,577670
194,766,578670,6212,578670
194,766,579140,6212,579140
194,766,579790,6212,579790
194,766,580790,6212,580790
194,766,581790,6212,581790
194,766,581790,6212,581790
195,768,582790,6212,582790
195,768,583260,6212,583260
195,768,583580,6212,583580
195,768,584390,6212,584390
195,768,585200,6212,585200
195,768,585670,6212,585670
195,768,586670,6212,586670
195,768,586670,6212,586670
195,768,587670,6212,587670
196,772,588670,6212,588670
197,774,589670,6212,589670
197,774,590670,6212,590670
198,776,590890,6212,590890
199,778,591890,6212,591890
200,786,592890,6212,592890
200,786,593890,6212,593890
201,790,594700,6212,594700
201,790,594700,6212,594700
201,790,595160,6212,595160
201,790,595380,6212,595380
202,794,596380,6212,596380
202,794,597380,6212,597380
202,794,597850,6212,597850
202,794,598850,6212,598850
202,794,599850,6212,599850
203,802,600850,6212,600850
204,810,608850,6212,608850
204,810,609170,6212,609170
204,810,609720,6212,609720
204,810,610720,6212,610720
204,810,610720,6212,610720
204,810,611720,6212,611720
204,810,612530,6212,612530
204,810,613000,6212,613000
204,810,613810,6212,613810
204,810,614810,6212,614810
204,810,615030,6212,615030
204,810,616030,6212,616030
204,810,616500,6212,616500
204,810,617310,6212,617310
204,810,618310,6212,618310
205,812,619120,6212,619120
205,812,619440,6212,619440
206,820,619440,6212,619440
207,822,620250,6212,620250
207,822,621060,6212,621060
207,822,621060,6212,621060
207,822,621060,6212,621060
208,826,621870,6212,621870
208,826,622870,6212,622870
209,828,623680,6212,623680
209,828,624000,6212,624000
209,828,624810,6212,624810
209,828,625810,6212,625810
209,828,626620,6212,626620
210,830,627620,6212,627620
211,832,628620,6212,628620
211,832,628940,6212,628940
211,832,629940,6212,629940
211,832,630400,6212,630400
212,834,631400,6212,631400
212,834,632210,6212,632210
213,836,633210,6212,633210
213,836,634210,6212,634210
214,838,635210,6212,635210
214,838,635210,6212,635210
215,842,636020,6212,636020
216,850,637020,6212,637020
216,850,637020,6212,637020
216,850,638020,6212,638020
216,850,638830,6212,638830
217,852,639830,6212,639830
217,852,640830,6212,640830
217,852,641830,6212,641830
217,852,642640,6212,642640
217,852,643450,6212,643450
217,852,643670,6212,643670
217,852,644670,6212,644670
217,852,645130,6212,645130
217,852,645940,6212,645940
217,852,646940,6212,646940
217,852,647940,6212,647940
217,852,648940,6212,648940
217,852,649940,6212,649940
217,852,650940,6212,650940
217,852,651940,6212,651940
217,852,651940,6212,651940
217,852,651940,6212,651940
217,852,652940,6212,652940
217,852,653940,6212,653940
217,852,654940,6212,654940
217,852,655940,6212,655940
217,852,656940,6212,656940
217,852,656940,6212,656940
217,852,656940,6212,656940
217,852,657940,6212,657940
217,852,658750,6212,658750
218,860,659750,6212,659750
218,860,660560,6212,660560
218,860,660560,6212,660560
218,860,661560,6212,661560
218,860,662560,6212,662560
218,860,663560,6212,663560
219,862,664560,6212,664560
219,862,664560,6212,664560
219,862,665560,6212,665560
219,862,666370,6212,666370
219,862,667370,6212,667370
220,870,668370,6212,668370
220,870,669370,6212,669370
220,870,670370,6212,670370
220,870,671370,6212,671370
220,870,672020,6212,672020
