ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
132,288,221140,6212,221140
132,288,222140,6212,222140
132,288,222140,6212,222140
133,290,223140,6212,223140
133,290,223790,6212,223790
133,290,223790,6212,223790
133,290,224790,6212,224790
134,292,226790,6212,226790
134,292,227020,6212,227020
135,294,227490,6212,227490
136,296,228490,6212,228490
136,296,229300,6212,229300
136,296,230300,6212,230300
137,298,231300,6212,231300
137,298,232300,6212,232300
138,300,233110,6212,233110
138,300,233110,6212,233110
138,300,233920,6212,233920
139,302,234510,6212,234510
139,302,234830,6212,234830
140,304,235830,6212,235830
141,312,235830,6212,235830
141,312,235830,6212,235830
141,312,236300,6212,236300
142,314,237110,6212,237110
142,314,237110,6212,237110
142,314,238110,6212,238110
142,314,238340,6212,238340
143,316,239340,6212,239340
143,316,240340,6212,240340
143,316,241340,6212,241340
143,316,241340,6212,241340
143,316,241660,6212,241660
143,316,242130,6212,242130
143,316,243130,6212,243130
144,324,243130,6212,243130
145,326,243780,6212,243780
145,326,244590,6212,244590
146,334,252590,6212,252590
147,336,253590,6212,253590
147,336,254590,6212,254590
148,338,255590,6212,255590
149,340,256240,6212,256240
149,340,257240,6212,257240
149,340,257710,6212,257710
149,340,258710,6212,258710
150,342,259710,6212,259710
150,342,260710,6212,260710
151,344,261710,6212,261710
151,344,262710,6212,262710
151,344,262940,6212,262940
152,346,263940,6212,263940
152,346,264940,6212,264940
152,346,265750,6212,265750
153,348,266560,6212,266560
153,348,267030,6212,267030
154,350,268030,6212,268030
155,354,269030,6212,269030
155,354,270030,6212,270030
155,354,271030,6212,271030
155,354,271030,6212,271030
156,356,271580,6212,271580
156,356,272050,6212,272050
156,356,272700,6212,272700
156,356,272700,6212,272700
157,358,273700,6212,273700
158,360,274700,6212,274700
159,362,275510,6212,275510
159,362,275980,6212,275980
159,362,276980,6212,276980
159,362,277980,6212,277980
160,364,278980,6212,278980
161,366,279790,6212,279790
161,366,280790,6212,280790
162,374,288790,6212,288790
162,374,289600,6212,289600
163,376,290600,6212,290600
164,378,291150,6212,291150
164,378,292150,6212,292150
165,380,293150,6212,293150
165,380,293620,6212,293620
165,380,294620,6212,294620
165,380,295430,6212,295430
166,382,296080,6212,296080
167,384,297080,6212,297080
167,384,298080,6212,298080
168,386,299080,6212,299080
168,386,300080,6212,300080
169,388,301080,6212,301080
169,388,302080,6212,302080
169,388,303080,6212,303080
170,390,304080,6212,304080
170,390,304550,6212,304550
170,390,305550,6212,305550
170,390,305550,6212,305550
171,392,306550,6212,306550
171,392,306550,6212,306550
171,392,307550,6212,307550
172,394,308550,6212,308550
172,394,308550,6212,308550
172,394,309550,6212,309550
172,394,309780,6212,309780
173,402,310780,6212,310780
173,402,311780,6212,311780
173,402,311780,6212,311780
173,402,311780,6212,311780
173,402,312240,6212,312240
173,402,313240,6212,313240
174,404,314050,6212,314050
174,404,314050,6212,314050
174,404,315050,6212,315050
174,404,315270,6212,315270
174,404,316270,6212,316270
174,404,317080,6212,317080
175,406,318080,6212,318080
176,408,318540,6212,318540
176,408,319350,6212,319350
177,410,320160,6212,320160
177,410,320810,6212,320810
177,410,321810,6212,321810
177,410,322040,6212,322040
178,412,323040,6212,323040
179,416,324040,6212,324040
179,416,325040,6212,325040
180,418,326040,6212,326040
180,418,326510,6212,326510
181,420,326980,6212,326980
181,420,327980,6212,327980
181,420,328980,6212,328980
181,420,329980,6212,329980
181,420,330980,6212,330980
181,420,331300,6212,331300
181,420,332300,6212,332300
181,420,333110,6212,333110
182,422,333920,6212,333920
183,424,334920,6212,334920
183,424,335920,6212,335920
184,426,336920,6212,336920
184,426,337730,6212,337730
185,428,338540,6212,338540
185,428,339540,6212,339540
185,428,340010,6212,340010
185,428,341010,6212,341010
186,436,341010,6212,341010
186,436,341010,6212,341010
186,436,342010,6212,342010
186,436,342010,6212,342010
187,438,343010,6212,343010
187,438,343010,6212,343010
188,440,343820,6212,343820
188,440,344820,6212,344820
188,440,345050,6212,345050
189,442,346050,6212,346050
189,442,346860,6212,346860
190,444,347670,6212,347670
190,444,347670,6212,347670
190,444,348670,6212,348670
190,444,349020,6212,349020
191,446,350020,6212,350020
191,446,351020,6212,351020
191,446,351020,6212,351020
191,446,351340,6212,351340
192,448,352340,6212,352340
192,448,353340,6212,353340
192,448,353340,6212,353340
193,450,354340,6212,354340
193,450,355340,6212,355340
193,450,356150,6212,356150
194,452,357150,6212,357150
194,452,357150,6212,357150
194,452,358150,6212,358150
195,454,359150,6212,359150
195,454,360150,6212,360150
196,456,360620,6212,360620
197,458,361620,6212,361620
197,458,362620,6212,362620
197,458,363430,6212,363430
198,460,364240,6212,364240
199,462,365240,6212,365240
199,462,365240,6212,365240
200,470,365240,6212,365240
200,470,366240,6212,366240
200,470,366470,6212,366470
201,472,367470,6212,367470
201,472,368470,6212,368470
201,472,369280,6212,369280
202,474,369930,6212,369930
202,474,369930,6212,369930
202,474,370930,6212,370930
202,474,371930,6212,371930
202,474,372390,6212,372390
203,476,373200,6212,373200
203,476,374200,6212,374200
203,476,375200,6212,375200
204,480,376200,6212,376200
204,480,377200,6212,377200
204,480,378010,6212,378010
204,480,378010,6212,378010
205,482,379010,6212,379010
205,482,380010,6212,380010
205,482,381010,6212,381010
205,482,381480,6212,381480
206,484,382480,6212,382480
206,484,383480,6212,383480
206,484,383480,6212,383480
206,484,384480,6212,384480
207,486,385290,6212,385290
207,486,385520,6212,385520
208,488,386520,6212,386520
208,488,387520,6212,387520
208,488,388520,6212,388520
209,490,389520,6212,389520
210,492,389990,6212,389990
211,494,390990,6212,390990
211,494,391990,6212,391990
212,496,392990,6212,392990
212,496,393990,6212,393990
212,496,394800,6212,394800
213,498,395800,6212,395800
213,498,396800,6212,396800
213,498,397800,6212,397800
213,498,398030,6212,398030
214,506,398030,6212,398030
215,508,399030,6212,399030
216,510,399840,6212,399840
216,510,400840,6212,400840
217,512,401840,6212,401840
217,512,402160,6212,402160
218,516,403160,6212,403160
218,516,403160,6212,403160
218,516,404160,6212,404160
219,518,404970,6212,404970
219,518,405520,6212,405520
219,518,405520,6212,405520
219,518,405680,6212,405680
219,518,406000,6212,406000
220,520,406810,6212,406810
220,520,407280,6212,407280
220,520,408280,6212,408280
221,522,409090,6212,409090
221,522,409560,6212,409560
