ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1180445.98,19.31,0.71,228541.35,3.74
1180278.95,19.31,0.71,228536.87,3.74
1180278.95,19.31,0.71,228490.72,3.74
1180435.8,19.32,0.71,229024.81,3.75
1180697.79,19.32,0.72,229120.15,3.75
1180002.68,19.31,0.71,228439.5,3.74
1180023.62,19.32,0.71,228743.02,3.74
1180028.8,19.32,0.72,228303.88,3.74
1179861.77,19.32,0.72,228226.74,3.74
1179765.75,19.32,0.72,228097.71,3.74
1179598.72,19.32,0.72,228093.23,3.74
1179229.7,19.32,0.71,227854.13,3.73
1178517.81,19.31,0.71,227110.9,3.72
1178350.78,19.31,0.71,227033.46,3.72
1178371.71,19.31,0.71,227130.79,3.72
1178204.68,19.31,0.71,227126.6,3.72
1177910.79,19.31,0.7,226915.36,3.72
1178157.8,19.31,0.71,227330.27,3.73
1178402.93,19.32,0.72,227138.47,3.72
1178235.9,19.32,0.72,227129.52,3.72
1178826.38,19.33,0.73,227130.19,3.72
1178114.49,19.32,0.72,226375.83,3.71
1177740.46,19.32,0.72,226108.42,3.71
1178002.37,19.33,0.72,225887.6,3.71
1177835.34,19.33,0.72,225814.92,3.71
1177551.02,19.32,0.72,225492.99,3.7
