ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
143,282,137110,6212,137110
143,282,137580,6212,137580
143,282,138390,6212,138390
143,282,138860,6212,138860
143,282,139670,6212,139670
143,282,140480,6212,140480
143,282,140480,6212,140480
144,284,140940,6212,140940
144,284,141490,6212,141490
144,284,141810,6212,141810
144,284,142620,6212,142620
144,284,143090,6212,143090
144,284,143900,6212,143900
144,284,144220,6212,144220
145,288,145030,6212,145030
145,288,145500,6212,145500
145,288,145970,6212,145970
145,288,146780,6212,146780
145,288,147590,6212,147590
146,292,148400,6212,148400
146,292,149050,6212,149050
146,292,149160,6212,149160
146,292,149970,6212,149970
146,292,150620,6212,150620
147,294,150940,6212,150940
147,294,151160,6212,151160
147,294,151160,6212,151160
147,294,151160,6212,151160
147,294,151970,6212,151970
147,294,152290,6212,152290
148,296,153100,6212,153100
148,296,153910,6212,153910
149,300,154380,6212,154380
149,300,154700,6212,154700
149,300,154700,6212,154700
149,300,155350,6212,155350
149,300,155350,6212,155350
149,300,155670,6212,155670
149,300,156480,6212,156480
149,300,157290,6212,157290
150,304,158100,6212,158100
150,304,158750,6212,158750
150,304,159220,6212,159220
150,304,159220,6212,159220
150,304,159220,6212,159220
151,308,159690,6212,159690
151,308,160010,6212,160010
151,308,160240,6212,160240
151,308,160710,6212,160710
151,308,161520,6212,161520
151,308,161750,6212,161750
151,308,161910,6212,161910
152,310,162230,6212,162230
152,310,162230,6212,162230
152,310,163040,6212,163040
152,310,163040,6212,163040
153,312,163850,6212,163850
153,312,164080,6212,164080
153,312,164310,6212,164310
153,312,165120,6212,165120
154,316,165590,6212,165590
154,316,165590,6212,165590
154,316,165590,6212,165590
154,316,166400,6212,166400
154,316,167210,6212,167210
154,316,167860,6212,167860
155,318,168670,6212,168670
155,318,169480,6212,169480
156,320,170290,6212,170290
156,320,170760,6212,170760
157,322,171570,6212,171570
157,322,172040,6212,172040
157,322,172360,6212,172360
157,322,173170,6212,173170
158,326,173640,6212,173640
158,326,173640,6212,173640
158,326,173960,6212,173960
158,326,174770,6212,174770
158,326,175580,6212,175580
158,326,175580,6212,175580
158,326,176230,6212,176230
159,330,176690,6212,176690
159,330,177010,6212,177010
159,330,177820,6212,177820
159,330,178630,6212,178630
159,330,179440,6212,179440
160,334,180090,6212,180090
160,334,180900,6212,180900
160,334,181270,6212,181270
160,334,181270,6212,181270
161,336,182080,6212,182080
161,336,182080,6212,182080
161,336,182890,6212,182890
162,338,183210,6212,183210
162,338,183680,6212,183680
162,338,184000,6212,184000
162,338,184000,6212,184000
162,338,184650,6212,184650
163,342,185460,6212,185460
163,342,185780,6212,185780
163,342,186590,6212,186590
163,342,187400,6212,187400
164,344,188210,6212,188210
164,344,189020,6212,189020
164,344,189670,6212,189670
164,344,189830,6212,189830
165,348,190060,6212,190060
165,348,190530,6212,190530
165,348,190850,6212,190850
165,348,191170,6212,191170
165,348,191980,6212,191980
166,350,192570,6212,192570
166,350,193380,6212,193380
166,350,193380,6212,193380
167,354,193850,6212,193850
167,354,194320,6212,194320
167,354,194870,6212,194870
168,358,195340,6212,195340
168,358,196150,6212,196150
168,358,196620,6212,196620
168,358,196620,6212,196620
168,358,196620,6212,196620
168,358,197080,6212,197080
168,358,197890,6212,197890
168,358,197890,6212,197890
168,358,198120,6212,198120
169,360,198580,6212,198580
169,360,199390,6212,199390
170,364,200200,6212,200200
170,364,200660,6212,200660
170,364,201130,6212,201130
170,364,201450,6212,201450
170,364,201450,6212,201450
170,364,201770,6212,201770
171,366,202420,6212,202420
171,366,202420,6212,202420
171,366,202890,6212,202890
171,366,203210,6212,203210
171,366,203430,6212,203430
172,368,204080,6212,204080
172,368,204890,6212,204890
173,370,205700,6212,205700
173,370,206170,6212,206170
173,370,206280,6212,206280
173,370,206750,6212,206750
174,374,207560,6212,207560
174,374,208370,6212,208370
174,374,209180,6212,209180
174,374,209990,6212,209990
175,376,210800,6212,210800
175,376,211610,6212,211610
175,376,211610,6212,211610
175,376,212080,6212,212080
176,378,212890,6212,212890
176,378,213360,6212,213360
176,378,213830,6212,213830
176,378,213830,6212,213830
177,380,214310,6212,214310
177,380,215120,6212,215120
177,380,215120,6212,215120
177,380,215440,6212,215440
177,380,215760,6212,215760
178,384,216410,6212,216410
178,384,216880,6212,216880
179,388,217350,6212,217350
179,388,217820,6212,217820
179,388,218170,6212,218170
179,388,218650,6212,218650
180,392,219120,6212,219120
180,392,219930,6212,219930
180,392,220740,6212,220740
180,392,221060,6212,221060
180,392,221710,6212,221710
180,392,222520,6212,222520
181,396,222840,6212,222840
181,396,223070,6212,223070
181,396,223880,6212,223880
181,396,223880,6212,223880
181,396,224040,6212,224040
181,396,224510,6212,224510
181,396,224510,6212,224510
181,396,225320,6212,225320
181,396,226130,6212,226130
182,400,226940,6212,226940
182,400,227170,6212,227170
182,400,227490,6212,227490
182,400,227960,6212,227960
182,400,228510,6212,228510
183,404,229160,6212,229160
183,404,229480,6212,229480
183,404,229710,6212,229710
183,404,230180,6212,230180
183,404,230180,6212,230180
183,404,230500,6212,230500
183,404,230500,6212,230500
183,404,231310,6212,231310
183,404,231780,6212,231780
183,404,232590,6212,232590
183,404,232590,6212,232590
184,408,233400,6212,233400
184,408,234210,6212,234210
184,408,234210,6212,234210
184,408,234530,6212,234530
184,408,235340,6212,235340
184,408,235660,6212,235660
184,408,236310,6212,236310
185,412,236780,6212,236780
185,412,236780,6212,236780
185,412,237250,6212,237250
185,412,237250,6212,237250
185,412,238060,6212,238060
185,412,238380,6212,238380
185,412,239190,6212,239190
185,412,239660,6212,239660
186,416,240130,6212,240130
186,416,240600,6212,240600
186,416,241250,6212,241250
186,416,242060,6212,242060
186,416,242870,6212,242870
186,416,243190,6212,243190
187,420,243510,6212,243510
187,420,243830,6212,243830
187,420,244060,6212,244060
187,420,244060,6212,244060
187,420,244870,6212,244870
187,420,245190,6212,245190
187,420,245780,6212,245780
187,420,246250,6212,246250
187,420,246470,6212,246470
188,424,247280,6212,247280
188,424,247280,6212,247280
188,424,247750,6212,247750
188,424,248220,6212,248220
188,424,248590,6212,248590
188,424,248590,6212,248590
188,424,249400,6212,249400
188,424,249400,6212,249400
188,424,249870,6212,249870
189,428,250680,6212,250680
189,428,251150,6212,251150
189,428,251370,6212,251370
189,428,252180,6212,252180
189,428,252650,6212,252650
190,432,253460,6212,253460
190,432,253460,6212,253460
190,432,253460,6212,253460
190,432,254270,6212,254270
190,432,255080,6212,255080
190,432,255550,6212,255550
190,432,256360,6212,256360
191,434,256680,6212,256680
191,434,257330,6212,257330
191,434,258140,6212,258140
192,436,258950,6212,258950
192,436,259180,6212,259180
192,436,259550,6212,259550
192,436,259550,6212,259550
192,436,259870,6212,259870
193,438,260520,6212,260520
193,438,260990,6212,260990
193,438,261460,6212,261460
194,440,262270,6212,262270
194,440,262740,6212,262740
194,440,263200,6212,263200
195,442,264010,6212,264010
195,442,264330,6212,264330
195,442,264790,6212,264790
195,442,265250,6212,265250
196,444,265710,6212,265710
196,444,266360,6212,266360
196,444,266590,6212,266590
197,446,267400,6212,267400
197,446,267400,6212,267400
197,446,267630,6212,267630
197,446,268100,6212,268100
197,446,268570,6212,268570
198,448,269380,6212,269380
198,448,269970,6212,269970
198,448,269970,6212,269970
198,448,270340,6212,270340
199,450,271150,6212,271150
199,450,271960,6212,271960
200,452,272770,6212,272770
200,452,273580,6212,273580
201,454,274390,6212,274390
201,454,275200,6212,275200
201,454,275430,6212,275430
202,456,275900,6212,275900
202,456,276130,6212,276130
202,456,276450,6212,276450
202,456,276770,6212,276770
202,456,277090,6212,277090
202,456,277090,6212,277090
