ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1271915.71,21.18,0.68,214948.74,3.58
1271617.49,21.17,0.67,214764.25,3.58
1271412.52,21.17,0.67,214706.85,3.58
1271207.54,21.17,0.67,214706.85,3.58
1271441.97,21.18,0.68,214797.44,3.58
1271237.0,21.18,0.68,214799.03,3.58
1271032.02,21.18,0.68,214740.05,3.58
1270827.05,21.18,0.68,214682.65,3.58
1270622.07,21.18,0.68,214682.65,3.58
1270417.1,21.18,0.68,214684.23,3.58
1270212.12,21.18,0.68,214625.25,3.58
1270445.43,21.19,0.69,214359.42,3.57
1270240.45,21.19,0.69,214289.14,3.57
1270035.47,21.19,0.69,214285.57,3.57
1269311.51,21.18,0.68,213519.15,3.56
1269295.32,21.18,0.68,213820.5,3.57
1269090.34,21.18,0.68,213835.79,3.57
1268885.36,21.18,0.68,213763.1,3.57
1268885.36,21.18,0.68,213763.1,3.57
1268692.05,21.18,0.68,213101.78,3.56
1268394.71,21.18,0.68,212730.86,3.55
1266754.9,21.18,0.68,212706.49,3.56
1266549.93,21.18,0.68,212708.07,3.56
1266344.95,21.18,0.68,212649.09,3.56
1266384.95,21.18,0.68,213370.23,3.57
1266179.97,21.18,0.68,213371.81,3.57
1265975.0,21.18,0.68,213312.83,3.57
1265958.8,21.18,0.69,213492.65,3.57
1265753.82,21.18,0.69,213435.26,3.57
1265548.85,21.18,0.69,213435.26,3.57
1265343.87,21.18,0.69,213423.41,3.57
1264964.47,21.18,0.68,213212.56,3.57
1266943.28,21.21,0.72,214433.63,3.59
1267177.71,21.22,0.72,214718.17,3.6
1267161.51,21.22,0.72,214812.41,3.6
1266956.54,21.22,0.72,214750.4,3.6
1266751.56,21.22,0.72,214693.0,3.6
1266546.59,21.22,0.72,214693.0,3.6
1266341.61,21.22,0.72,214635.6,3.6
1265962.2,21.22,0.72,214352.33,3.59
1265962.2,21.22,0.72,214352.33,3.59
1266196.63,21.22,0.72,214650.03,3.6
1265991.66,21.22,0.72,214650.03,3.6
1265786.68,21.22,0.73,214592.63,3.6
1265786.68,21.22,0.73,214592.63,3.6
1265581.71,21.22,0.73,214592.63,3.6
1265565.51,21.23,0.73,214686.87,3.6
1265186.11,21.22,0.72,214476.02,3.6
1264981.13,21.22,0.72,214418.62,3.6
1264776.15,21.22,0.72,214418.62,3.6
