ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
168,360,231090,6212,231090
168,360,231090,6212,231090
168,360,231900,6212,231900
169,364,232370,6212,232370
169,364,233180,6212,233180
169,364,233180,6212,233180
169,364,233830,6212,233830
169,364,234640,6212,234640
169,364,235450,6212,235450
169,364,236260,6212,236260
170,366,237260,6212,237260
170,366,237480,6212,237480
170,366,238480,6212,238480
171,370,239130,6212,239130
171,370,240130,6212,240130
171,370,240130,6212,240130
171,370,240450,6212,240450
171,370,240450,6212,240450
172,374,241450,6212,241450
172,374,242100,6212,242100
173,376,242750,6212,242750
173,376,243070,6212,243070
173,376,243070,6212,243070
173,376,243540,6212,243540
173,376,244350,6212,244350
173,376,244900,6212,244900
173,376,245220,6212,245220
174,380,246220,6212,246220
174,380,247220,6212,247220
174,380,248220,6212,248220
174,380,248680,6212,248680
175,384,249490,6212,249490
175,384,250490,6212,250490
176,386,251490,6212,251490
176,386,252140,6212,252140
176,386,252950,6212,252950
177,390,253950,6212,253950
177,390,254760,6212,254760
177,390,255080,6212,255080
177,390,255080,6212,255080
177,390,256080,6212,256080
177,390,256890,6212,256890
178,394,257540,6212,257540
178,394,258540,6212,258540
178,394,258770,6212,258770
179,398,259240,6212,259240
179,398,259240,6212,259240
179,398,259240,6212,259240
179,398,259470,6212,259470
179,398,260280,6212,260280
179,398,260280,6212,260280
180,400,260740,6212,260740
180,400,261210,6212,261210
180,400,262020,6212,262020
180,400,263020,6212,263020
181,402,264020,6212,264020
181,402,264250,6212,264250
181,402,264900,6212,264900
181,402,264900,6212,264900
182,404,265550,6212,265550
182,404,266550,6212,266550
182,404,266550,6212,266550
183,408,267550,6212,267550
183,408,268550,6212,268550
183,408,269360,6212,269360
183,408,270170,6212,270170
184,412,270640,6212,270640
184,412,271110,6212,271110
184,412,271920,6212,271920
184,412,272920,6212,272920
184,412,273570,6212,273570
185,416,274570,6212,274570
185,416,275040,6212,275040
185,416,275510,6212,275510
185,416,276320,6212,276320
185,416,277320,6212,277320
186,420,278130,6212,278130
186,420,278130,6212,278130
186,420,279130,6212,279130
186,420,280130,6212,280130
186,420,280600,6212,280600
186,420,281070,6212,281070
186,420,281070,6212,281070
186,420,281230,6212,281230
187,424,282230,6212,282230
187,424,282230,6212,282230
187,424,283230,6212,283230
187,424,284230,6212,284230
187,424,284550,6212,284550
187,424,285550,6212,285550
188,428,286550,6212,286550
188,428,287360,6212,287360
188,428,288360,6212,288360
188,428,288830,6212,288830
189,432,289640,6212,289640
189,432,290110,6212,290110
189,432,291110,6212,291110
189,432,291270,6212,291270
189,432,292270,6212,292270
189,432,293270,6212,293270
190,436,294270,6212,294270
190,436,295270,6212,295270
190,436,295380,6212,295380
190,436,295380,6212,295380
190,436,296380,6212,296380
190,436,296610,6212,296610
190,436,296610,6212,296610
190,436,297420,6212,297420
190,436,298010,6212,298010
191,440,298470,6212,298470
191,440,299470,6212,299470
191,440,300470,6212,300470
191,440,301280,6212,301280
192,442,302090,6212,302090
192,442,302740,6212,302740
193,444,303740,6212,303740
193,444,304060,6212,304060
193,444,304280,6212,304280
193,444,304280,6212,304280
193,444,304740,6212,304740
193,444,304740,6212,304740
193,444,304960,6212,304960
194,446,305510,6212,305510
194,446,306320,6212,306320
194,446,306320,6212,306320
195,448,307130,6212,307130
195,448,307940,6212,307940
195,448,307940,6212,307940
196,450,308940,6212,308940
196,450,309410,6212,309410
196,450,309880,6212,309880
197,452,310880,6212,310880
197,452,311350,6212,311350
197,452,311350,6212,311350
197,452,312160,6212,312160
197,452,312160,6212,312160
198,454,313160,6212,313160
198,454,313810,6212,313810
199,456,314620,6212,314620
199,456,315090,6212,315090
200,458,315900,6212,315900
200,458,316370,6212,316370
200,458,317370,6212,317370
201,460,318370,6212,318370
201,460,319180,6212,319180
202,462,320180,6212,320180
202,462,321180,6212,321180
203,464,322180,6212,322180
203,464,322730,6212,322730
203,464,322730,6212,322730
204,466,323730,6212,323730
204,466,324200,6212,324200
204,466,324520,6212,324520
205,468,325520,6212,325520
205,468,326520,6212,326520
206,470,327520,6212,327520
206,470,327520,6212,327520
206,470,327890,6212,327890
206,470,328890,6212,328890
207,472,329890,6212,329890
207,472,329890,6212,329890
207,472,330890,6212,330890
207,472,330890,6212,330890
208,474,331700,6212,331700
208,474,332290,6212,332290
209,476,333100,6212,333100
209,476,333910,6212,333910
210,478,334910,6212,334910
210,478,335230,6212,335230
210,478,336230,6212,336230
210,478,336230,6212,336230
210,478,336230,6212,336230
211,480,337230,6212,337230
211,480,338230,6212,338230
212,482,339230,6212,339230
212,482,339550,6212,339550
212,482,340100,6212,340100
213,484,341100,6212,341100
213,484,342100,6212,342100
214,486,343100,6212,343100
214,486,343910,6212,343910
215,488,344720,6212,344720
215,488,344720,6212,344720
215,488,345190,6212,345190
216,490,346190,6212,346190
216,490,346510,6212,346510
217,492,347510,6212,347510
217,492,347980,6212,347980
217,492,348790,6212,348790
218,494,349790,6212,349790
218,494,350600,6212,350600
219,496,351600,6212,351600
219,496,352410,6212,352410
219,496,352730,6212,352730
219,496,352960,6212,352960
220,498,353610,6212,353610
220,498,354610,6212,354610
221,500,355420,6212,355420
221,500,355420,6212,355420
221,500,356420,6212,356420
222,502,357420,6212,357420
222,502,358420,6212,358420
222,502,358580,6212,358580
223,504,359230,6212,359230
223,504,359230,6212,359230
223,504,360040,6212,360040
224,506,360630,6212,360630
224,506,361630,6212,361630
225,508,362440,6212,362440
225,508,362910,6212,362910
226,510,363910,6212,363910
226,510,364910,6212,364910
227,512,365910,6212,365910
227,512,366380,6212,366380
227,512,367380,6212,367380
228,514,367850,6212,367850
228,514,368850,6212,368850
228,514,369170,6212,369170
228,514,369170,6212,369170
229,516,370170,6212,370170
229,516,370170,6212,370170
229,516,370170,6212,370170
229,516,371170,6212,371170
230,518,372170,6212,372170
230,518,373170,6212,373170
230,518,373170,6212,373170
231,520,373980,6212,373980
231,520,374450,6212,374450
231,520,375450,6212,375450
232,522,376450,6212,376450
232,522,377450,6212,377450
233,524,378450,6212,378450
233,524,378770,6212,378770
233,524,378770,6212,378770
233,524,379770,6212,379770
234,526,380580,6212,380580
234,526,381580,6212,381580
234,526,381810,6212,381810
235,528,382810,6212,382810
235,528,383620,6212,383620
235,528,383850,6212,383850
236,530,384850,6212,384850
236,530,385400,6212,385400
237,532,386400,6212,386400
237,532,386630,6212,386630
237,532,387630,6212,387630
237,532,387630,6212,387630
238,534,387860,6212,387860
238,534,388860,6212,388860
239,536,389670,6212,389670
239,536,389670,6212,389670
239,536,390480,6212,390480
240,538,391480,6212,391480
240,538,392290,6212,392290
241,540,393290,6212,393290
241,540,394290,6212,394290
242,542,395290,6212,395290
242,542,395290,6212,395290
242,542,395290,6212,395290
242,542,395660,6212,395660
242,542,395660,6212,395660
242,542,395660,6212,395660
242,542,396660,6212,396660
243,544,397660,6212,397660
243,544,398660,6212,398660
244,546,399210,6212,399210
244,546,400210,6212,400210
245,548,400680,6212,400680
245,548,401150,6212,401150
245,548,402150,6212,402150
245,548,402470,6212,402470
246,550,403470,6212,403470
246,550,404470,6212,404470
247,552,405020,6212,405020
247,552,405020,6212,405020
247,552,405830,6212,405830
248,554,406380,6212,406380
248,554,407380,6212,407380
249,556,408380,6212,408380
249,556,408380,6212,408380
249,556,409380,6212,409380
250,558,410190,6212,410190
250,558,411190,6212,411190
250,558,411190,6212,411190
250,558,411510,6212,411510
250,558,411510,6212,411510
251,566,419510,6212,419510
251,566,419510,6212,419510
252,568,420510,6212,420510
252,568,421510,6212,421510
252,568,421510,6212,421510
252,568,421510,6212,421510
253,570,422510,6212,422510
253,570,423510,6212,423510
254,572,424320,6212,424320
254,572,424970,6212,424970
255,574,425970,6212,425970
255,574,426440,6212,426440
256,576,427250,6212,427250
256,576,427840,6212,427840
257,578,428840,6212,428840
257,578,429130,6212,429130
257,578,429130,6212,429130
257,578,429130,6212,429130
257,578,429600,6212,429600
257,578,430250,6212,430250
257,578,430620,6212,430620
