ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
905201.02,15.33,1.73,194526.81,3.29
905201.02,15.33,1.73,194526.62,3.29
905263.79,15.33,1.73,194142.07,3.29
905315.48,15.33,1.74,193737.88,3.28
905315.48,15.33,1.74,193634.97,3.28
904662.72,15.33,1.73,192909.08,3.27
904931.54,15.33,1.74,192909.08,3.27
905200.37,15.34,1.74,192983.56,3.27
905064.41,15.34,1.74,192983.36,3.27
905333.23,15.34,1.75,193057.84,3.27
905333.23,15.34,1.75,193057.84,3.27
905384.92,15.35,1.75,193057.84,3.27
905384.92,15.35,1.75,193046.32,3.27
905248.96,15.35,1.75,193046.12,3.27
905432.68,15.35,1.76,193130.75,3.27
905484.37,15.35,1.76,193130.93,3.27
905753.19,15.36,1.76,193201.52,3.28
905804.88,15.36,1.77,192797.32,3.27
906073.71,15.37,1.77,192797.13,3.27
905937.75,15.37,1.77,192796.93,3.27
905801.79,15.37,1.77,192796.74,3.27
905371.77,15.36,1.77,192526.41,3.27
905235.81,15.36,1.77,192500.54,3.27
905099.85,15.36,1.77,192500.34,3.27
904963.89,15.36,1.77,192500.15,3.27
905235.92,15.37,1.77,192500.15,3.27
905235.92,15.37,1.77,192500.15,3.27
905099.96,15.37,1.78,192499.95,3.27
905368.79,15.38,1.78,192499.76,3.27
905703.32,15.38,1.79,192920.88,3.28
905567.36,15.38,1.79,192886.36,3.28
905431.4,15.38,1.79,192866.74,3.28
905721.86,15.39,1.8,192566.54,3.27
905721.86,15.39,1.8,192569.81,3.27
906049.7,15.4,1.8,192569.81,3.27
905913.74,15.4,1.8,192570.08,3.27
905777.78,15.4,1.8,192505.7,3.27
905777.78,15.4,1.8,192505.7,3.27
905641.82,15.4,1.8,192505.51,3.27
905641.82,15.4,1.8,192402.6,3.27
905693.51,15.4,1.81,192402.78,3.27
905929.28,15.41,1.81,192402.59,3.27
905980.97,15.41,1.81,192402.77,3.27
906032.67,15.41,1.82,192402.95,3.27
905896.71,15.41,1.82,192402.75,3.27
906274.76,15.42,1.83,191686.23,3.26
906138.8,15.42,1.83,191622.69,3.26
906138.8,15.42,1.83,191622.5,3.26
906138.8,15.42,1.83,191519.59,3.26
906002.84,15.42,1.83,191416.69,3.26
905866.88,15.42,1.83,191416.49,3.26
905730.92,15.42,1.83,191416.3,3.26
906065.45,15.43,1.83,191469.65,3.26
906337.49,15.44,1.84,191469.46,3.26
906201.53,15.44,1.84,191469.27,3.26
906065.57,15.44,1.84,191469.27,3.26
905929.61,15.44,1.84,192823.06,3.29
905981.3,15.44,1.84,193192.27,3.29
906032.99,15.44,1.85,193192.45,3.29
906032.99,15.44,1.85,193192.26,3.29
906301.81,15.45,1.85,193266.74,3.29
906165.85,15.45,1.85,193163.83,3.29
906500.39,15.45,1.86,193163.64,3.29
906364.43,15.46,1.86,193163.44,3.29
906633.25,15.46,1.86,193163.25,3.29
906684.94,15.46,1.87,193281.56,3.3
906548.98,15.46,1.87,193281.93,3.3
906600.68,15.47,1.87,193281.93,3.3
906464.72,15.47,1.87,193210.93,3.3
906516.41,15.47,1.87,193308.55,3.3
906850.94,15.48,1.88,193361.91,3.3
907258.82,15.48,1.89,193126.04,3.3
907442.53,15.49,1.89,193126.04,3.3
907306.57,15.49,1.89,193126.04,3.3
907358.26,15.49,1.9,193126.22,3.3
907358.26,15.49,1.9,193126.03,3.3
907222.3,15.49,1.9,193091.86,3.3
907086.34,15.49,1.9,193091.67,3.3
906950.38,15.49,1.9,193238.38,3.3
907244.97,15.5,1.9,193274.02,3.3
907428.68,15.5,1.91,193273.83,3.3
907885.61,15.51,1.92,193730.76,3.31
907937.31,15.52,1.92,193853.87,3.31
908173.08,15.52,1.92,193853.87,3.31
908037.12,15.52,1.93,193852.23,3.31
908088.81,15.52,1.93,193975.34,3.32
908357.63,15.53,1.93,193975.14,3.32
908221.67,15.53,1.93,193975.14,3.32
908085.71,15.53,1.93,193974.95,3.32
907949.75,15.53,1.93,193974.75,3.32
908218.58,15.54,1.94,194188.9,3.32
908082.62,15.54,1.94,194188.7,3.32
