ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1578262.26,25.87,0.36,202213.94,3.31
1577966.03,25.86,0.35,202290.41,3.32
1578175.38,25.87,0.36,202217.41,3.31
1577969.18,25.87,0.36,202619.68,3.32
1577762.98,25.87,0.36,202616.37,3.32
1577399.26,25.87,0.35,202323.71,3.32
1577193.07,25.87,0.35,202246.35,3.32
1577174.91,25.87,0.36,202346.31,3.32
1576968.71,25.87,0.36,202349.22,3.32
1576762.51,25.87,0.36,202273.84,3.32
1576476.73,25.87,0.35,201952.13,3.31
1576270.53,25.87,0.35,201946.83,3.31
1575975.79,25.87,0.35,201735.19,3.31
1575769.6,25.87,0.35,201732.03,3.31
1575483.82,25.86,0.35,201448.92,3.31
1575483.82,25.86,0.35,201448.92,3.31
1575277.62,25.87,0.35,201371.41,3.31
1575277.62,25.87,0.35,201371.41,3.31
1575071.42,25.87,0.35,201296.02,3.31
1574865.22,25.87,0.35,201290.74,3.31
1574847.06,25.87,0.35,201390.69,3.31
1574640.87,25.87,0.35,201375.44,3.31
1574640.87,25.87,0.35,201375.44,3.31
1574434.67,25.87,0.35,201372.28,3.31
1574662.19,25.88,0.35,201657.42,3.31
1574644.03,25.88,0.36,201757.38,3.32
1574437.83,25.88,0.36,201760.3,3.32
1574556.37,25.89,0.36,201747.33,3.32
1574556.37,25.89,0.36,201722.99,3.32
1574556.37,25.89,0.36,201722.99,3.32
1574351.42,25.88,0.36,201862.29,3.32
1574125.53,25.88,0.35,201702.49,3.32
1574443.49,25.89,0.36,201990.26,3.32
1574425.33,25.89,0.36,202090.22,3.32
1574219.13,25.89,0.36,202093.12,3.32
1574200.97,25.9,0.37,202193.08,3.33
1574200.97,25.9,0.37,202219.42,3.33
1574200.97,25.9,0.37,202222.04,3.33
1573994.77,25.9,0.37,202206.79,3.33
1573976.61,25.9,0.37,202132.4,3.33
1573976.61,25.9,0.37,202132.4,3.33
1573976.61,25.9,0.37,202132.75,3.33
1573958.45,25.9,0.37,202494.68,3.33
1573768.31,25.9,0.37,202440.73,3.33
1573562.11,25.9,0.37,202384.21,3.33
1573355.92,25.9,0.37,202360.05,3.33
1573149.72,25.9,0.37,202284.93,3.33
1573268.26,25.91,0.37,202593.87,3.34
1573062.06,25.91,0.37,202518.48,3.34
1573043.9,25.91,0.37,202696.74,3.34
1573043.9,25.91,0.37,202696.74,3.34
1572837.71,25.91,0.37,202621.67,3.34
1572631.51,25.91,0.37,202616.06,3.34
1572429.96,25.92,0.37,202598.81,3.34
1572411.8,25.92,0.38,202584.04,3.34
1572710.01,25.92,0.38,203050.0,3.35
1572363.95,25.92,0.38,202750.41,3.34
1572157.75,25.92,0.38,202910.83,3.35
1572385.27,25.93,0.38,202998.09,3.35
1572179.07,25.93,0.38,203192.81,3.35
1571972.88,25.93,0.38,203189.65,3.35
1571599.16,25.93,0.38,202886.99,3.35
1571392.96,25.93,0.38,202809.48,3.35
1571374.8,25.93,0.38,202909.44,3.35
1571356.64,25.93,0.38,203059.56,3.35
1571150.44,25.93,0.38,203003.04,3.35
1571150.44,25.93,0.38,203003.04,3.35
1570872.2,25.93,0.38,202975.24,3.35
1571099.72,25.94,0.39,203313.75,3.36
1570893.52,25.94,0.39,203238.62,3.36
1570519.8,25.94,0.39,202935.96,3.35
1570818.01,25.94,0.39,203434.26,3.36
1570611.82,25.94,0.39,203430.95,3.36
1570593.66,25.95,0.39,203518.96,3.36
1570575.5,25.95,0.4,203618.92,3.36
1570239.33,25.95,0.39,203259.59,3.36
1570221.17,25.95,0.4,203409.71,3.36
1570339.71,25.95,0.4,203396.74,3.36
1570135.46,25.95,0.4,203170.58,3.36
1570135.46,25.95,0.4,203170.58,3.36
1570135.46,25.95,0.4,203170.58,3.36
1570135.46,25.95,0.4,203170.58,3.36
1569929.26,25.95,0.4,203417.12,3.36
1569911.1,25.96,0.4,203517.08,3.36
1569090.96,25.96,0.4,203473.75,3.37
1568884.76,25.96,0.4,203477.25,3.37
1568652.23,25.96,0.4,203468.22,3.37
1568446.03,25.96,0.4,203393.09,3.37
1568239.83,25.96,0.4,203387.54,3.37
1568033.63,25.96,0.4,203312.41,3.37
1568261.15,25.97,0.4,203729.47,3.37
1568054.96,25.97,0.4,203654.08,3.37
1567848.76,25.97,0.4,203648.8,3.37
1567475.04,25.97,0.4,203286.19,3.37
1567268.84,25.97,0.4,203282.88,3.37
1567062.65,25.97,0.4,203205.52,3.37
1567044.49,25.97,0.4,203305.48,3.37
1566838.29,25.97,0.4,203308.41,3.37
1567065.81,25.98,0.41,203374.02,3.37
1566859.61,25.98,0.41,203650.34,3.38
1566581.37,25.98,0.41,203694.2,3.38
1566375.17,25.98,0.41,203691.04,3.38
1566168.97,25.98,0.41,203613.53,3.38
1565962.77,25.98,0.41,203538.4,3.38
1565599.06,25.98,0.4,203185.8,3.37
1565392.86,25.98,0.4,203180.25,3.37
1565392.86,25.98,0.4,203180.25,3.37
1565186.66,25.98,0.4,203177.09,3.37
1564980.46,25.98,0.4,203099.58,3.37
1564774.27,25.98,0.4,203096.27,3.37
1564479.53,25.98,0.4,202811.77,3.37
1564461.37,25.98,0.4,202899.79,3.37
1564443.21,25.98,0.4,202999.75,3.37
1564652.56,25.99,0.41,203412.86,3.38
1564880.08,26.0,0.42,203478.46,3.38
1564880.08,26.0,0.42,203478.46,3.38
1564675.12,25.99,0.41,203267.24,3.38
1564301.4,25.99,0.41,203126.57,3.37
1564108.23,25.99,0.41,202879.78,3.37
1563902.03,25.99,0.41,202934.17,3.37
1563883.87,25.99,0.41,203034.13,3.37
1563677.67,25.99,0.41,203018.87,3.37
1563659.51,25.99,0.41,203118.83,3.38
1563659.51,25.99,0.41,203118.83,3.38
1563887.03,26.0,0.42,203430.87,3.38
1563680.83,26.0,0.42,203355.74,3.38
1563474.64,26.0,0.42,203350.2,3.38
1563456.48,26.01,0.42,203450.16,3.38
1563250.28,26.01,0.42,203453.67,3.38
1563044.08,26.01,0.42,203378.28,3.38
1562670.36,26.0,0.41,203127.11,3.38
1562464.17,26.0,0.41,203121.83,3.38
1562446.01,26.01,0.42,203221.79,3.38
1562239.81,26.01,0.42,203225.17,3.38
1562467.33,26.01,0.42,203290.78,3.38
1562467.33,26.01,0.42,203290.78,3.38
1562449.17,26.02,0.42,203637.17,3.39
1562431.01,26.02,0.43,203737.13,3.39
1562431.01,26.02,0.43,203737.13,3.39
1562224.81,26.02,0.43,203721.87,3.39
1562018.61,26.02,0.43,203718.56,3.39
1561796.24,26.02,0.42,203555.15,3.39
1561383.85,26.02,0.42,203474.47,3.39
1561383.85,26.02,0.42,203474.47,3.39
1561365.69,26.02,0.43,203562.49,3.39
1561365.69,26.02,0.43,203587.31,3.39
1561159.49,26.03,0.43,203530.8,3.39
1560953.29,26.03,0.43,203506.64,3.39
1560935.13,26.03,0.43,203606.6,3.4
1560728.94,26.03,0.43,203609.51,3.4
1560522.74,26.03,0.43,203534.12,3.4
1560316.54,26.03,0.43,203528.83,3.4
1560247.0,26.03,0.43,203090.44,3.39
1560021.12,26.03,0.43,202985.41,3.39
1560002.96,26.04,0.43,203085.37,3.39
1559796.76,26.04,0.43,203088.27,3.39
1559590.56,26.04,0.43,203012.98,3.39
