ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
66,132,105410,6212,105410
66,132,106410,6212,106410
67,134,106880,6212,106880
67,134,107880,6212,107880
67,134,108880,6212,108880
68,136,109690,6212,109690
68,136,110690,6212,110690
68,136,111010,6212,111010
69,138,111560,6212,111560
69,138,112560,6212,112560
70,140,113560,6212,113560
70,140,114020,6212,114020
70,140,115020,6212,115020
71,142,115830,6212,115830
71,142,116830,6212,116830
72,144,117830,6212,117830
72,144,118150,6212,118150
72,144,119150,6212,119150
72,144,119470,6212,119470
73,146,120470,6212,120470
73,146,120790,6212,120790
73,146,120790,6212,120790
73,146,121790,6212,121790
73,146,121790,6212,121790
74,148,122790,6212,122790
74,148,123790,6212,123790
75,150,124600,6212,124600
75,150,125600,6212,125600
75,150,125600,6212,125600
76,152,126600,6212,126600
76,152,127070,6212,127070
77,154,127880,6212,127880
77,154,128880,6212,128880
78,156,129530,6212,129530
78,156,129530,6212,129530
78,156,129530,6212,129530
78,156,129760,6212,129760
78,156,130080,6212,130080
78,156,130400,6212,130400
79,158,131210,6212,131210
79,158,132210,6212,132210
80,160,133020,6212,133020
80,160,133020,6212,133020
80,160,133020,6212,133020
80,160,134020,6212,134020
81,162,134830,6212,134830
81,162,134830,6212,134830
81,162,134830,6212,134830
81,162,135640,6212,135640
81,162,135960,6212,135960
82,164,136960,6212,136960
82,164,137960,6212,137960
83,166,138960,6212,138960
83,166,139610,6212,139610
84,168,140610,6212,140610
84,168,141420,6212,141420
84,168,141420,6212,141420
85,170,142420,6212,142420
85,170,143420,6212,143420
86,174,144420,6212,144420
86,174,145230,6212,145230
86,174,145600,6212,145600
86,174,146070,6212,146070
86,174,147070,6212,147070
87,176,147540,6212,147540
87,176,148540,6212,148540
88,178,149540,6212,149540
88,178,150010,6212,150010
88,178,151010,6212,151010
89,180,151820,6212,151820
89,180,152630,6212,152630
90,182,153630,6212,153630
90,182,153630,6212,153630
90,182,154630,6212,154630
90,182,155100,6212,155100
91,184,156100,6212,156100
91,184,156570,6212,156570
91,184,156940,6212,156940
92,186,157940,6212,157940
92,186,158750,6212,158750
93,188,159560,6212,159560
93,188,160020,6212,160020
93,188,160830,6212,160830
94,190,161480,6212,161480
94,190,161710,6212,161710
94,190,161710,6212,161710
94,190,161710,6212,161710
94,190,161710,6212,161710
94,190,162710,6212,162710
95,192,163520,6212,163520
96,196,167520,6212,167520
96,196,168520,6212,168520
97,204,169520,6212,169520
98,206,170520,6212,170520
98,206,171520,6212,171520
99,208,172520,6212,172520
99,208,172990,6212,172990
100,210,173990,6212,173990
100,210,174990,6212,174990
100,210,175460,6212,175460
101,212,176460,6212,176460
101,212,177460,6212,177460
102,214,178270,6212,178270
102,214,179270,6212,179270
103,216,179740,6212,179740
103,216,180740,6212,180740
103,216,181740,6212,181740
104,218,182740,6212,182740
104,218,183740,6212,183740
105,220,184740,6212,184740
105,220,185200,6212,185200
105,220,186200,6212,186200
105,220,186200,6212,186200
106,222,187200,6212,187200
106,222,188200,6212,188200
107,224,189200,6212,189200
107,224,189520,6212,189520
107,224,190330,6212,190330
108,226,191140,6212,191140
108,226,191690,6212,191690
109,228,192160,6212,192160
109,228,192160,6212,192160
109,228,192390,6212,192390
109,228,192860,6212,192860
109,228,193080,6212,193080
109,228,194080,6212,194080
110,230,194890,6212,194890
110,230,195890,6212,195890
111,232,196700,6212,196700
111,232,196700,6212,196700
111,232,197170,6212,197170
112,234,198170,6212,198170
112,234,199170,6212,199170
113,236,199980,6212,199980
113,236,200980,6212,200980
114,238,201980,6212,201980
114,238,202450,6212,202450
114,238,203450,6212,203450
115,240,204260,6212,204260
115,240,205260,6212,205260
116,242,205730,6212,205730
116,242,205730,6212,205730
116,242,206540,6212,206540
117,244,207350,6212,207350
117,244,207350,6212,207350
117,244,208350,6212,208350
118,246,209350,6212,209350
118,246,209580,6212,209580
119,248,211580,6212,211580
119,248,211580,6212,211580
119,248,212390,6212,212390
119,248,212390,6212,212390
120,250,213390,6212,213390
120,250,214390,6212,214390
121,252,215200,6212,215200
121,252,216200,6212,216200
122,254,217200,6212,217200
122,254,218200,6212,218200
123,256,219010,6212,219010
123,256,219330,6212,219330
124,258,220140,6212,220140
124,258,221140,6212,221140
125,260,222140,6212,222140
125,260,222140,6212,222140
125,260,223140,6212,223140
126,262,223790,6212,223790
126,262,223790,6212,223790
126,262,224790,6212,224790
126,262,226790,6212,226790
126,262,227020,6212,227020
127,264,227490,6212,227490
127,264,228490,6212,228490
128,266,229300,6212,229300
128,266,230300,6212,230300
129,268,231300,6212,231300
129,268,232300,6212,232300
130,270,233110,6212,233110
130,270,233110,6212,233110
130,270,233920,6212,233920
130,270,234510,6212,234510
130,270,234830,6212,234830
131,272,235830,6212,235830
131,272,235830,6212,235830
131,272,235830,6212,235830
131,272,236300,6212,236300
132,274,237110,6212,237110
132,274,237110,6212,237110
132,274,238110,6212,238110
132,274,238340,6212,238340
133,276,239340,6212,239340
133,276,240340,6212,240340
134,278,241340,6212,241340
134,278,241340,6212,241340
134,278,241660,6212,241660
134,278,242130,6212,242130
135,280,243130,6212,243130
135,280,243130,6212,243130
135,280,243780,6212,243780
136,282,244590,6212,244590
137,290,252590,6212,252590
137,290,253590,6212,253590
137,290,254590,6212,254590
138,292,255590,6212,255590
138,292,256240,6212,256240
139,294,257240,6212,257240
139,294,257710,6212,257710
140,296,258710,6212,258710
140,296,259710,6212,259710
140,296,260710,6212,260710
141,298,261710,6212,261710
141,298,262710,6212,262710
141,298,262940,6212,262940
142,300,263940,6212,263940
142,300,264940,6212,264940
143,302,265750,6212,265750
143,302,266560,6212,266560
143,302,267030,6212,267030
144,304,268030,6212,268030
144,304,269030,6212,269030
145,306,270030,6212,270030
145,306,271030,6212,271030
145,306,271030,6212,271030
146,308,271580,6212,271580
146,308,272050,6212,272050
147,310,272700,6212,272700
147,310,272700,6212,272700
147,310,273700,6212,273700
148,312,274700,6212,274700
148,312,275510,6212,275510
148,312,275980,6212,275980
148,312,276980,6212,276980
148,312,277980,6212,277980
149,314,278980,6212,278980
149,314,279790,6212,279790
150,316,280790,6212,280790
151,324,288790,6212,288790
151,324,289600,6212,289600
152,326,290600,6212,290600
152,326,291150,6212,291150
153,328,292150,6212,292150
153,328,293150,6212,293150
153,328,293620,6212,293620
154,330,294620,6212,294620
154,330,295430,6212,295430
155,332,296080,6212,296080
155,332,297080,6212,297080
156,334,298080,6212,298080
156,334,299080,6212,299080
157,336,300080,6212,300080
157,336,301080,6212,301080
157,336,302080,6212,302080
158,338,303080,6212,303080
158,338,304080,6212,304080
158,338,304550,6212,304550
159,340,305550,6212,305550
159,340,305550,6212,305550
159,340,306550,6212,306550
159,340,306550,6212,306550
160,342,307550,6212,307550
160,342,308550,6212,308550
160,342,308550,6212,308550
161,344,309550,6212,309550
161,344,309780,6212,309780
161,344,310780,6212,310780
162,346,311780,6212,311780
162,346,311780,6212,311780
162,346,311780,6212,311780
162,346,312240,6212,312240
163,348,313240,6212,313240
163,348,314050,6212,314050
163,348,314050,6212,314050
164,350,315050,6212,315050
164,350,315270,6212,315270
164,350,316270,6212,316270
165,352,317080,6212,317080
165,352,318080,6212,318080
166,354,318540,6212,318540
166,354,319350,6212,319350
167,356,320160,6212,320160
168,358,320810,6212,320810
168,358,321810,6212,321810
168,358,322040,6212,322040
169,360,323040,6212,323040
169,360,324040,6212,324040
169,360,325040,6212,325040
170,362,326040,6212,326040
170,362,326510,6212,326510
170,362,326980,6212,326980
170,362,327980,6212,327980
171,364,328980,6212,328980
171,364,329980,6212,329980
172,366,330980,6212,330980
172,366,331300,6212,331300
172,366,332300,6212,332300
173,368,333110,6212,333110
173,368,333920,6212,333920
174,370,334920,6212,334920
174,370,335920,6212,335920
175,372,336920,6212,336920
175,372,337730,6212,337730
176,374,338540,6212,338540
176,374,339540,6212,339540
177,376,340010,6212,340010
177,376,341010,6212,341010
177,376,341010,6212,341010
177,376,341010,6212,341010
178,378,342010,6212,342010
178,378,342010,6212,342010
178,378,343010,6212,343010
178,378,343010,6212,343010
179,380,343820,6212,343820
179,380,344820,6212,344820
179,380,345050,6212,345050
180,382,346050,6212,346050
180,382,346860,6212,346860
181,384,347670,6212,347670
181,384,347670,6212,347670
181,384,348670,6212,348670
181,384,349020,6212,349020
182,386,350020,6212,350020
182,386,351020,6212,351020
182,386,351020,6212,351020
182,386,351340,6212,351340
183,388,352340,6212,352340
183,388,353340,6212,353340
183,388,353340,6212,353340
183,388,354340,6212,354340
183,388,355340,6212,355340
184,390,356150,6212,356150
185,392,357150,6212,357150
185,392,357150,6212,357150
185,392,358150,6212,358150
186,394,359150,6212,359150
186,394,360150,6212,360150
186,394,360620,6212,360620
187,396,361620,6212,361620
187,396,362620,6212,362620
188,398,363430,6212,363430
188,398,364240,6212,364240
188,398,365240,6212,365240
188,398,365240,6212,365240
188,398,365240,6212,365240
188,398,366240,6212,366240
189,400,366470,6212,366470
189,400,367470,6212,367470
190,402,368470,6212,368470
190,402,369280,6212,369280
190,402,369930,6212,369930
190,402,369930,6212,369930
191,410,370930,6212,370930
192,412,371930,6212,371930
192,412,372390,6212,372390
192,412,373200,6212,373200
193,414,374200,6212,374200
193,414,375200,6212,375200
194,416,376200,6212,376200
194,416,377200,6212,377200
195,418,378010,6212,378010
195,418,378010,6212,378010
195,418,379010,6212,379010
196,420,380010,6212,380010
196,420,381010,6212,381010
197,422,381480,6212,381480
197,422,382480,6212,382480
198,424,383480,6212,383480
198,424,383480,6212,383480
198,424,384480,6212,384480
199,426,385290,6212,385290
199,426,385520,6212,385520
199,426,386520,6212,386520
199,426,387520,6212,387520
200,428,388520,6212,388520
200,428,389520,6212,389520
200,428,389990,6212,389990
201,430,390990,6212,390990
201,430,391990,6212,391990
202,432,392990,6212,392990
202,432,393990,6212,393990
203,434,394800,6212,394800
204,442,395800,6212,395800
