ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
1751382.87,28.84,0.35,197454.26,3.25
1751059.3,28.84,0.35,197465.31,3.25
1750953.41,28.84,0.35,197028.92,3.25
1750953.41,28.84,0.35,197028.92,3.25
1750737.92,28.84,0.35,196965.41,3.25
1750363.96,28.84,0.35,196678.0,3.24
1750146.92,28.84,0.35,196672.71,3.24
1750041.02,28.85,0.35,196236.32,3.23
1749880.68,28.85,0.35,194835.91,3.21
1750002.7,28.85,0.36,195028.5,3.22
1749679.14,28.85,0.36,195001.16,3.22
1749895.58,28.85,0.36,195072.12,3.22
1749572.02,28.85,0.36,195052.81,3.22
1749250.78,28.85,0.36,195080.52,3.22
1748878.84,28.85,0.36,194946.37,3.22
1748554.5,28.85,0.36,194923.79,3.22
1748404.06,28.85,0.36,195976.22,3.23
1748268.73,28.85,0.36,195962.95,3.23
1747943.62,28.85,0.36,196452.02,3.24
1747943.62,28.85,0.36,196452.02,3.24
1747726.58,28.85,0.36,196506.4,3.24
1747886.29,28.86,0.36,196777.88,3.25
1747586.23,28.86,0.36,196636.53,3.25
1747802.67,28.86,0.37,196707.5,3.25
1747466.69,28.86,0.37,196387.51,3.24
1747149.32,28.86,0.37,196512.48,3.25
1747028.84,28.86,0.37,195980.85,3.24
1746908.36,28.86,0.37,195773.5,3.23
1746546.42,28.86,0.37,195807.24,3.24
1746425.94,28.86,0.37,195275.61,3.23
1746447.59,28.86,0.37,195232.95,3.23
1746758.73,28.87,0.38,194805.16,3.22
1746758.73,28.87,0.38,194805.16,3.22
1746758.73,28.87,0.38,194850.4,3.22
1746758.73,28.87,0.38,194805.16,3.22
1746465.77,28.87,0.38,195332.63,3.23
1746331.86,28.87,0.38,195625.9,3.23
1745100.1,28.87,0.38,195412.5,3.23
1744883.06,28.87,0.38,195308.99,3.23
1744584.67,28.87,0.38,195264.13,3.23
1744284.73,28.87,0.38,195233.51,3.23
